Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,7,3,M,17
1,2,8,5,M,17
2,1,7,6,M,17
2,2,0,0,M,17
3,1,7,8,M,17
3,2,1,1,M,17
4,1,8,0,M,17
4,2,0,9,H,16
5,1,5,7,M,17
5,2,1,9,M,16
6,1,2,9,M,17
6,2,0,8,H,15
7,1,0,7,M,17
7,2,1,8,H,14
8,1,8,5,M,17
8,2,0,7,M,14
9,1,3,1,M,17
9,2,2,8,H,13
10,1,7,7,M,17
10,2,3,8,H,12
11,1,9,7,H,16
11,2,3,7,M,12
12,1,8,7,M,16
12,2,3,9,M,12
13,1,9,6,H,15
13,2,2,9,M,12
14,1,9,5,H,14
14,2,4,8,H,11
15,1,9,4,H,13
15,2,1,7,M,11
16,1,8,4,M,13
16,2,2,7,M,11
17,1,9,8,M,13
17,2,5,8,H,10
18,1,9,3,H,12
18,2,5,9,H,9
19,1,9,2,M,12
19,2,4,7,M,9
20,1,8,6,M,12
20,2,4,9,M,9
21,1,8,3,M,12
21,2,6,8,M,9
22,1,8,9,M,12
22,2,5,7,H,8
23,1,3,5,M,12
23,2,6,7,M,8
24,1,7,9,M,12
24,2,6,9,M,8
25,1,1,1,M,12
25,2,5,6,H,7
26,1,3,2,H,11
26,2,4,6,M,7
27,1,3,3,M,11
27,2,6,6,M,7
28,1,2,2,M,11
28,2,5,5,H,6
29,1,4,2,H,10
29,2,5,4,M,6
30,1,4,3,M,10
30,2,6,5,M,6
31,1,4,1,M,10
31,2,4,5,M,6
32,1,5,2,H,9
32,2,9,7,M,6
33,1,6,2,H,8
33,2,5,3,M,6
34,1,7,2,M,8
34,2,7,0,H,5
35,1,5,3,M,8
35,2,7,1,M,5
36,1,5,1,M,8
36,2,8,0,M,5
37,1,6,1,M,8
37,2,6,0,H,4
38,1,6,3,M,8
38,2,6,1,M,4
39,1,4,7,M,8
39,2,5,0,H,3
40,1,0,2,M,8
40,2,4,0,M,3
41,1,6,5,M,8
41,2,5,1,M,3
42,1,1,0,M,8
42,2,2,5,M,3
43,1,2,3,M,8
43,2,4,4,M,3
44,1,0,9,M,8
44,2,6,4,M,3
45,1,0,1,M,8
45,2,3,5,M,3
46,1,8,1,M,8
46,2,7,4,M,3
47,1,4,0,M,8
47,2,5,2,M,3
48,1,6,0,M,8
48,2,9,9,M,3
49,1,5,9,M,8
49,2,2,0,M,3
50,1,4,4,H,7
50,2,2,6,M,3
51,1,4,5,H,6
51,2,7,7,M,3
52,1,5,5,M,6
52,2,0,4,M,3
53,1,3,4,M,6
53,2,8,2,M,3
54,1,4,6,H,5
54,2,8,4,M,3
55,1,3,6,H,4
55,2,8,8,M,3
56,1,5,4,M,4
56,2,4,1,M,3
57,1,2,6,M,4
57,2,8,9,M,3
58,1,3,7,H,3
58,2,9,6,M,3
59,1,3,8,H,2
59,2,7,5,M,3
60,1,2,7,M,2
60,2,3,2,H,2
61,1,5,6,M,2
61,2,2,2,M,2
62,1,4,8,M,2
62,2,4,2,M,2
63,1,3,9,M,2
63,2,3,3,H,1
64,1,2,8,M,2
64,2,4,3,M,1
65,1,9,1,M,2
65,2,2,3,M,1
66,1,5,0,M,2
66,2,3,4,H,0
67,1,0,0,M,2
67,2,3,1,M,0
68,1,2,4,M,2
68,2,2,4,M,0
69,1,6,9,M,2
69,2,8,3,M,0
70,1,7,0,M,2
70,2,9,2,M,0
71,1,9,9,M,2
71,2,9,3,M,0
72,1,0,4,M,2
72,2,1,5,M,0
73,1,8,8,M,2
73,2,6,2,M,0
74,1,0,3,M,2
74,2,0,2,M,0
75,1,5,8,M,2
75,2,3,0,M,0
76,1,2,5,M,2
76,2,9,5,M,0
77,1,3,0,M,2
77,2,7,6,M,0
78,1,0,5,M,2
78,2,2,1,M,0
79,1,0,6,H,1
79,2,9,1,M,0
80,1,1,6,H,0
80,2,0,6,M,0
