Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,2,5,M,17
1,2,1,2,M,17
2,1,6,9,M,17
2,2,4,0,M,17
3,1,9,0,H,16
3,2,8,0,H,16
4,1,8,0,H,15
4,2,7,0,M,16
5,1,9,1,M,15
5,2,9,0,M,16
6,1,8,1,M,15
6,2,8,1,H,15
7,1,7,0,H,14
7,2,8,2,H,14
8,1,6,0,H,13
8,2,9,2,M,14
9,1,7,1,M,13
9,2,7,1,M,14
10,1,6,1,M,13
10,2,7,2,M,14
11,1,5,0,H,12
11,2,9,1,M,14
12,1,5,1,M,12
12,2,8,3,H,13
13,1,4,0,M,12
13,2,8,4,H,12
14,1,3,0,M,12
14,2,7,3,M,12
15,1,5,9,M,12
15,2,8,5,M,12
16,1,8,9,M,12
16,2,7,4,M,12
17,1,9,5,M,12
17,2,9,3,M,12
18,1,5,5,M,12
18,2,9,4,M,12
19,1,6,7,M,12
19,2,0,6,M,12
20,1,3,8,M,12
20,2,5,6,M,12
21,1,0,0,M,12
21,2,2,9,H,11
22,1,9,7,M,12
22,2,3,9,M,11
23,1,2,0,H,11
23,2,1,9,H,10
24,1,1,0,M,11
24,2,2,8,M,10
25,1,2,1,H,10
25,2,0,9,M,10
26,1,2,2,H,9
26,2,1,8,M,10
27,1,3,1,M,9
27,2,6,2,M,10
28,1,1,1,M,9
28,2,2,2,M,10
29,1,3,2,M,9
29,2,2,5,M,10
30,1,1,2,M,9
30,2,4,6,M,10
31,1,2,3,H,8
31,2,3,0,M,10
32,1,2,4,M,8
32,2,6,7,M,10
33,1,3,3,M,8
33,2,9,9,M,10
34,1,1,3,H,7
34,2,8,9,M,10
35,1,1,4,H,6
35,2,4,2,M,10
36,1,1,5,H,5
36,2,9,8,M,10
37,1,0,5,M,5
37,2,3,8,M,10
38,1,1,6,M,5
38,2,3,2,M,10
39,1,0,3,M,5
39,2,4,1,H,9
40,1,0,4,M,5
40,2,3,1,H,8
41,1,0,2,M,5
41,2,5,1,M,8
42,1,3,9,M,5
42,2,2,1,H,7
43,1,8,8,M,5
43,2,1,1,M,7
44,1,5,4,M,5
44,2,2,0,M,7
45,1,7,5,M,5
45,2,2,7,M,7
46,1,0,9,M,5
46,2,3,3,H,6
47,1,7,8,M,5
47,2,2,3,M,6
48,1,5,2,M,5
48,2,4,3,H,5
49,1,0,6,M,5
49,2,4,4,M,5
50,1,8,3,H,4
50,2,3,4,H,4
51,1,8,2,M,4
51,2,5,3,H,3
52,1,7,3,M,4
52,2,3,5,H,2
53,1,9,3,M,4
53,2,4,5,M,2
54,1,8,4,H,3
54,2,3,6,H,1
55,1,9,4,M,3
55,2,2,6,M,1
56,1,8,5,M,3
56,2,5,4,M,1
57,1,7,4,M,3
57,2,5,2,M,1
58,1,1,9,M,3
58,2,2,4,M,1
59,1,0,8,M,3
59,2,6,3,H,0
60,1,3,5,M,3
60,2,3,7,M,0
61,1,4,9,M,3
61,2,6,4,M,0
62,1,7,2,M,3
62,2,5,0,M,0
63,1,8,6,M,3
63,2,5,9,M,0
64,1,9,8,M,3
64,2,9,5,M,0
65,1,0,7,M,3
65,2,0,1,M,0
66,1,5,8,M,3
66,2,9,7,M,0
67,1,4,1,M,3
67,2,5,5,M,0
68,1,6,6,M,3
68,2,1,3,M,0
69,1,3,4,M,3
69,2,9,6,M,0
70,1,7,6,M,3
70,2,6,5,M,0
71,1,4,4,M,3
71,2,8,7,M,0
72,1,6,8,M,3
72,2,5,7,M,0
73,1,8,7,M,3
73,2,1,5,M,0
74,1,7,7,M,3
74,2,0,4,M,0
75,1,9,6,M,3
75,2,1,4,M,0
76,1,3,6,M,3
76,2,6,9,M,0
77,1,4,7,M,3
77,2,7,6,M,0
78,1,2,7,M,3
78,2,7,5,M,0
79,1,5,7,M,3
79,2,7,8,M,0
80,1,4,8,M,3
80,2,4,9,M,0
81,1,6,2,M,3
81,2,0,7,M,0
82,1,2,8,M,3
82,2,6,0,M,0
83,1,7,9,M,3
83,2,6,8,M,0
84,1,5,6,M,3
84,2,1,6,M,0
85,1,9,9,M,3
85,2,5,8,M,0
86,1,6,4,H,2
86,2,7,9,M,0
87,1,6,3,H,1
87,2,6,6,M,0
88,1,5,3,M,1
88,2,1,7,M,0
89,1,6,5,H,0
89,2,0,8,M,0
