Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,0,5,M,17
1,2,7,4,M,17
2,1,0,8,M,17
2,2,3,8,M,17
3,1,8,5,H,16
3,2,1,4,M,17
4,1,8,4,H,15
4,2,9,8,M,17
5,1,8,3,M,15
5,2,8,8,M,17
6,1,9,5,M,15
6,2,5,3,H,16
7,1,7,4,M,15
7,2,6,3,M,16
8,1,7,5,H,14
8,2,5,2,H,15
9,1,7,6,M,14
9,2,6,2,M,15
10,1,8,6,M,14
10,2,5,4,H,14
11,1,9,4,M,14
11,2,4,2,H,13
12,1,6,5,H,13
12,2,6,4,M,13
13,1,6,4,M,13
13,2,4,4,H,12
14,1,6,6,M,13
14,2,5,5,H,11
15,1,5,5,H,12
15,2,3,2,M,11
16,1,5,4,M,12
16,2,5,1,M,11
17,1,5,6,M,12
17,2,6,5,M,11
18,1,4,5,H,11
18,2,4,5,H,10
19,1,4,6,M,11
19,2,4,6,M,10
20,1,4,4,M,11
20,2,3,4,M,10
21,1,3,5,M,11
21,2,5,6,H,9
22,1,9,9,M,11
22,2,3,5,M,9
23,1,0,3,M,11
23,2,4,3,H,8
24,1,3,7,M,11
24,2,3,3,M,8
25,1,4,8,M,11
25,2,6,6,H,7
26,1,4,3,M,11
26,2,4,1,H,6
27,1,8,2,M,11
27,2,4,0,M,6
28,1,1,9,M,11
28,2,5,7,M,6
29,1,2,0,H,10
29,2,7,6,M,6
30,1,2,1,H,9
30,2,6,7,M,6
31,1,1,1,M,9
31,2,3,1,M,6
32,1,3,1,M,9
32,2,7,7,M,6
33,1,2,2,H,8
33,2,1,0,M,6
34,1,3,0,M,8
34,2,8,7,M,6
35,1,1,2,M,8
35,2,0,4,M,6
36,1,1,0,H,7
36,2,1,3,M,6
37,1,3,2,M,7
37,2,6,9,M,6
38,1,0,0,H,6
38,2,9,5,M,6
39,1,2,3,H,5
39,2,2,3,M,6
40,1,2,4,H,4
40,2,7,3,M,6
41,1,2,5,H,3
41,2,8,9,M,6
42,1,2,6,M,3
42,2,6,1,M,6
43,1,3,4,M,3
43,2,8,5,M,6
44,1,1,3,M,3
44,2,7,2,M,6
45,1,1,4,M,3
45,2,9,6,M,6
46,1,0,1,M,3
46,2,9,1,M,6
47,1,1,5,M,3
47,2,4,8,M,6
48,1,3,3,M,3
48,2,0,2,M,6
49,1,7,2,M,3
49,2,7,9,M,6
50,1,7,7,M,3
50,2,0,7,M,6
51,1,8,7,M,3
51,2,0,9,M,6
52,1,0,6,M,3
52,2,2,0,M,6
53,1,5,8,M,3
53,2,7,5,M,6
54,1,9,3,M,3
54,2,4,7,M,6
55,1,7,3,H,2
55,2,1,6,M,6
56,1,6,3,H,1
56,2,9,7,M,6
57,1,5,3,H,0
57,2,5,8,M,6
58,1,6,2,M,0
58,2,3,7,M,6
59,1,5,2,M,0
59,2,0,6,M,6
60,1,8,0,M,0
60,2,3,0,M,6
61,1,4,7,M,0
61,2,1,7,M,6
62,1,0,7,M,0
62,2,0,3,M,6
63,1,4,2,M,0
63,2,2,6,H,5
64,1,0,2,M,0
64,2,2,7,H,4
65,1,7,9,M,0
65,2,3,6,M,4
66,1,5,7,M,0
66,2,2,5,M,4
67,1,4,1,M,0
67,2,2,8,H,3
68,1,9,7,M,0
68,2,1,8,M,3
69,1,6,7,M,0
69,2,2,9,M,3
70,1,9,1,M,0
70,2,0,5,M,3
71,1,6,8,M,0
71,2,6,8,M,3
72,1,0,4,M,0
72,2,8,6,M,3
73,1,4,0,M,0
73,2,0,1,H,2
74,1,1,7,M,0
74,2,1,1,H,1
75,1,5,0,M,0
75,2,2,1,H,0
