Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,7,5,M,17
1,2,3,8,M,17
2,1,5,8,H,16
2,2,1,7,M,17
3,1,6,8,M,16
3,2,1,5,M,17
4,1,5,9,M,16
4,2,7,4,M,17
5,1,4,8,M,16
5,2,3,4,M,17
6,1,5,7,H,15
6,2,0,8,M,17
7,1,5,6,H,14
7,2,7,0,M,17
8,1,6,6,M,14
8,2,3,2,M,17
9,1,6,7,M,14
9,2,2,4,M,17
10,1,5,5,H,13
10,2,1,3,M,17
11,1,6,5,M,13
11,2,2,7,M,17
12,1,4,6,H,12
12,2,1,6,M,17
13,1,4,7,H,11
13,2,8,8,M,17
14,1,3,7,M,11
14,2,9,3,M,17
15,1,4,5,H,10
15,2,4,4,M,17
16,1,3,6,M,10
16,2,7,1,H,16
17,1,4,4,M,10
17,2,8,1,H,15
18,1,5,4,H,9
18,2,8,2,M,15
19,1,5,3,M,9
19,2,8,0,M,15
20,1,6,4,M,9
20,2,7,2,M,15
21,1,3,5,M,9
21,2,6,1,M,15
22,1,7,6,M,9
22,2,9,1,H,14
23,1,3,9,M,9
23,2,9,2,M,14
24,1,8,9,M,9
24,2,9,0,M,14
25,1,0,6,M,9
25,2,6,9,H,13
26,1,2,1,H,8
26,2,6,8,M,13
27,1,2,0,M,8
27,2,5,9,H,12
28,1,3,1,H,7
28,2,4,9,H,11
29,1,3,0,M,7
29,2,4,8,M,11
30,1,2,2,M,7
30,2,3,9,M,11
31,1,3,2,M,7
31,2,5,8,M,11
32,1,4,1,H,6
32,2,7,9,M,11
33,1,1,1,H,5
33,2,5,5,M,11
34,1,4,0,M,5
34,2,0,6,M,11
35,1,5,1,M,5
35,2,7,3,M,11
36,1,4,2,M,5
36,2,8,6,M,11
37,1,0,1,M,5
37,2,5,7,M,11
38,1,1,2,M,5
38,2,5,4,M,11
39,1,1,0,M,5
39,2,6,3,M,11
40,1,2,6,H,4
40,2,2,8,H,10
41,1,1,6,M,4
41,2,1,8,H,9
42,1,2,5,H,3
42,2,2,9,M,9
43,1,1,5,M,3
43,2,1,9,M,9
44,1,2,7,H,2
44,2,4,0,M,9
45,1,2,4,M,2
45,2,4,2,M,9
46,1,2,8,M,2
46,2,1,0,M,9
47,1,1,7,M,2
47,2,3,6,M,9
48,1,8,7,M,2
48,2,7,6,M,9
49,1,9,6,M,2
49,2,6,4,H,8
50,1,2,9,M,2
50,2,6,5,H,7
51,1,0,0,M,2
51,2,6,6,H,6
52,1,6,0,M,2
52,2,5,6,M,6
53,1,3,8,M,2
53,2,7,5,M,6
54,1,0,2,M,2
54,2,6,7,H,5
55,1,1,9,M,2
55,2,7,7,M,5
56,1,9,8,M,2
56,2,3,0,M,5
57,1,7,8,M,2
57,2,0,7,M,5
58,1,8,4,M,2
58,2,0,3,M,5
59,1,5,2,M,2
59,2,0,0,M,5
60,1,8,2,M,2
60,2,2,2,M,5
61,1,5,0,M,2
61,2,3,1,H,4
62,1,6,3,M,2
62,2,4,1,H,3
63,1,9,7,M,2
63,2,5,1,M,3
64,1,7,3,M,2
64,2,2,1,H,2
65,1,0,7,M,2
65,2,2,0,M,2
66,1,9,0,M,2
66,2,1,1,H,1
67,1,0,8,M,2
67,2,0,1,H,0
68,1,7,4,M,2
68,2,0,2,M,0
69,1,7,7,M,2
69,2,1,2,M,0
70,1,9,4,M,2
70,2,1,4,M,0
71,1,1,3,M,2
71,2,8,3,M,0
72,1,7,0,M,2
72,2,5,0,M,0
73,1,0,4,M,2
73,2,0,9,M,0
74,1,8,1,M,2
74,2,6,2,M,0
75,1,4,3,M,2
75,2,4,6,M,0
76,1,9,2,M,2
76,2,4,3,M,0
77,1,4,9,M,2
77,2,3,5,M,0
78,1,8,3,M,2
78,2,0,5,M,0
79,1,8,8,M,2
79,2,0,4,M,0
80,1,6,2,M,2
80,2,9,9,M,0
81,1,6,1,H,1
81,2,3,7,M,0
82,1,7,1,H,0
82,2,6,0,M,0
