Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,8,8,M,17
1,2,1,9,M,17
2,1,4,4,H,16
2,2,0,1,M,17
3,1,4,3,M,16
3,2,6,2,H,16
4,1,5,4,H,15
4,2,6,3,H,15
5,1,6,4,M,15
5,2,7,3,M,15
6,1,5,5,M,15
6,2,6,4,H,14
7,1,5,3,M,15
7,2,5,4,M,14
8,1,4,5,M,15
8,2,6,1,H,13
9,1,3,4,H,14
9,2,5,2,M,13
10,1,3,3,M,14
10,2,6,0,M,13
11,1,2,4,M,14
11,2,5,1,H,12
12,1,3,5,M,14
12,2,7,4,M,12
13,1,3,7,M,14
13,2,5,0,M,12
14,1,9,6,M,14
14,2,4,1,H,11
15,1,0,0,M,14
15,2,7,1,H,10
16,1,5,1,M,14
16,2,4,0,M,10
17,1,5,0,M,14
17,2,7,2,M,10
18,1,5,8,M,14
18,2,6,5,H,9
19,1,9,1,M,14
19,2,5,5,M,9
20,1,2,2,M,14
20,2,7,0,M,9
21,1,1,7,M,14
21,2,5,3,M,9
22,1,0,5,M,14
22,2,3,1,M,9
23,1,7,5,M,14
23,2,6,6,M,9
24,1,0,6,M,14
24,2,7,5,M,9
25,1,6,3,M,14
25,2,8,1,H,8
26,1,3,6,M,14
26,2,4,2,M,8
27,1,0,8,H,13
27,2,8,0,M,8
28,1,0,7,M,13
28,2,9,1,M,8
29,1,0,9,H,12
29,2,8,2,M,8
30,1,1,9,H,11
30,2,0,2,M,8
31,1,1,8,H,10
31,2,4,5,M,8
32,1,2,9,M,10
32,2,3,8,M,8
33,1,2,8,H,9
33,2,0,3,H,7
34,1,2,7,M,9
34,2,0,4,M,7
35,1,3,8,H,8
35,2,1,3,H,6
36,1,4,8,H,7
36,2,1,2,M,6
37,1,4,7,M,7
37,2,2,3,M,6
38,1,4,9,M,7
38,2,1,4,M,6
39,1,3,9,M,7
39,2,3,7,M,6
40,1,5,9,M,7
40,2,2,0,M,6
41,1,4,1,M,7
41,2,3,6,H,5
42,1,1,1,M,7
42,2,4,6,M,5
43,1,6,0,M,7
43,2,3,5,M,5
44,1,4,0,M,7
44,2,2,6,H,4
45,1,6,6,H,6
45,2,2,7,H,3
46,1,6,5,M,6
46,2,2,5,M,3
47,1,7,6,H,5
47,2,1,6,H,2
48,1,6,7,M,5
48,2,2,8,M,2
49,1,7,7,M,5
49,2,1,5,M,2
50,1,5,6,H,4
50,2,0,6,M,2
51,1,5,7,M,4
51,2,1,7,H,1
52,1,8,6,M,4
52,2,1,8,M,1
53,1,4,6,M,4
53,2,0,7,H,0
54,1,6,8,M,4
54,2,0,8,M,0
55,1,9,8,M,4
55,2,4,3,M,0
56,1,8,0,H,3
56,2,8,6,M,0
57,1,9,0,M,3
57,2,3,9,M,0
58,1,7,0,M,3
58,2,9,0,M,0
59,1,8,1,H,2
59,2,4,9,M,0
60,1,7,1,M,2
60,2,8,9,M,0
61,1,8,2,H,1
61,2,3,0,M,0
62,1,7,2,M,1
62,2,2,9,M,0
63,1,8,3,H,0
63,2,9,5,M,0
