Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,2,8,M,17
1,2,6,2,M,17
2,1,8,7,M,17
2,2,5,5,M,17
3,1,1,7,M,17
3,2,5,1,M,17
4,1,6,3,M,17
4,2,5,6,M,17
5,1,0,7,M,17
5,2,8,8,M,17
6,1,4,2,M,17
6,2,1,1,M,17
7,1,0,4,M,17
7,2,9,1,M,17
8,1,0,1,H,16
8,2,5,0,M,17
9,1,0,0,H,15
9,2,7,1,M,17
10,1,1,1,M,15
10,2,1,4,M,17
11,1,0,2,H,14
11,2,1,8,M,17
12,1,1,0,M,14
12,2,7,6,M,17
13,1,0,3,M,14
13,2,3,2,M,17
14,1,1,2,M,14
14,2,0,9,M,17
15,1,3,5,M,14
15,2,3,4,M,17
16,1,0,8,M,14
16,2,0,1,M,17
17,1,3,0,M,14
17,2,9,9,M,17
18,1,2,9,M,14
18,2,6,8,M,17
19,1,9,7,M,14
19,2,4,5,M,17
20,1,4,5,M,14
20,2,0,4,M,17
21,1,2,5,H,13
21,2,8,7,M,17
22,1,2,6,H,12
22,2,2,0,H,16
23,1,1,6,M,12
23,2,3,0,M,16
24,1,2,7,M,12
24,2,2,1,H,15
25,1,2,4,H,11
25,2,1,0,M,15
26,1,2,3,M,11
26,2,3,1,M,15
27,1,3,6,H,10
27,2,2,2,H,14
28,1,4,6,H,9
28,2,1,2,M,14
29,1,1,5,M,9
29,2,2,3,M,14
30,1,3,7,M,9
30,2,1,5,M,14
31,1,1,4,M,9
31,2,0,0,M,14
32,1,4,7,M,9
32,2,0,8,M,14
33,1,5,6,H,8
33,2,8,1,H,13
34,1,5,7,M,8
34,2,8,2,H,12
35,1,6,6,H,7
35,2,7,2,M,12
36,1,6,5,M,7
36,2,8,0,M,12
37,1,6,7,M,7
37,2,9,2,M,12
38,1,5,5,M,7
38,2,8,3,H,11
39,1,7,6,M,7
39,2,7,3,M,11
40,1,3,4,M,7
40,2,9,3,M,11
41,1,8,1,M,7
41,2,8,4,M,11
42,1,8,2,M,7
42,2,4,9,M,11
43,1,5,9,M,7
43,2,6,4,M,11
44,1,3,8,M,7
44,2,7,5,M,11
45,1,8,8,M,7
45,2,7,9,H,10
46,1,7,8,M,7
46,2,7,8,M,10
47,1,4,9,H,6
47,2,8,9,H,9
48,1,4,8,M,6
48,2,6,9,H,8
49,1,3,9,H,5
49,2,5,9,H,7
50,1,9,2,M,5
50,2,5,8,M,7
51,1,6,9,M,5
51,2,7,7,M,7
52,1,3,2,M,5
52,2,4,3,M,7
53,1,9,0,M,5
53,2,4,0,M,7
54,1,9,9,M,5
54,2,3,6,H,6
55,1,6,2,M,5
55,2,3,5,H,5
56,1,5,4,M,5
56,2,2,5,M,5
57,1,7,0,H,4
57,2,2,6,M,5
58,1,7,1,H,3
58,2,3,7,H,4
59,1,8,0,M,3
59,2,4,6,M,4
60,1,6,0,M,3
60,2,3,8,H,3
61,1,7,2,H,2
61,2,4,7,M,3
62,1,7,3,H,1
62,2,3,9,H,2
63,1,7,4,H,0
63,2,2,9,M,2
64,1,6,4,M,0
64,2,2,8,M,2
65,1,8,3,M,0
65,2,2,7,M,2
66,1,6,1,M,0
66,2,4,8,M,2
67,1,8,4,M,0
67,2,6,0,M,2
68,1,7,5,M,0
68,2,9,7,M,2
69,1,3,3,M,0
69,2,7,0,M,2
70,1,5,2,M,0
70,2,4,1,M,2
71,1,8,5,M,0
71,2,6,6,M,2
72,1,9,3,M,0
72,2,0,5,M,2
73,1,3,1,M,0
73,2,3,3,M,2
74,1,5,8,M,0
74,2,6,5,M,2
75,1,9,4,M,0
75,2,8,6,M,2
76,1,1,9,M,0
76,2,4,2,M,2
77,1,8,6,M,0
77,2,5,4,M,2
78,1,4,1,M,0
78,2,2,4,M,2
79,1,8,9,M,0
79,2,1,6,M,2
80,1,1,8,M,0
80,2,6,7,M,2
81,1,9,6,M,0
81,2,7,4,M,2
82,1,1,3,M,0
82,2,1,9,M,2
83,1,9,1,M,0
83,2,8,5,M,2
84,1,5,3,M,0
84,2,5,7,M,2
85,1,6,8,M,0
85,2,0,3,M,2
86,1,2,1,M,0
86,2,5,3,H,1
87,1,4,3,M,0
87,2,6,3,H,0
