Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,8,5,M,17
1,2,0,2,M,17
2,1,1,9,M,17
2,2,7,4,M,17
3,1,0,2,M,17
3,2,5,4,H,16
4,1,4,4,M,17
4,2,5,3,H,15
5,1,7,6,M,17
5,2,4,3,H,14
6,1,1,1,M,17
6,2,3,3,H,13
7,1,5,8,M,17
7,2,3,2,M,13
8,1,3,0,H,16
8,2,6,3,H,12
9,1,3,1,M,16
9,2,4,2,M,12
10,1,4,0,M,16
10,2,7,3,H,11
11,1,2,0,H,15
11,2,6,4,H,10
12,1,1,0,H,14
12,2,5,5,M,10
13,1,2,1,M,14
13,2,5,2,M,10
14,1,0,0,M,14
14,2,8,3,M,10
15,1,3,5,M,14
15,2,6,2,M,10
16,1,3,7,M,14
16,2,4,4,H,9
17,1,9,0,H,13
17,2,6,5,M,9
18,1,9,1,H,12
18,2,2,3,M,9
19,1,8,1,M,12
19,2,3,4,M,9
20,1,9,2,M,12
20,2,4,5,H,8
21,1,8,0,M,12
21,2,3,5,M,8
22,1,7,3,H,11
22,2,7,2,M,8
23,1,6,3,H,10
23,2,4,6,H,7
24,1,8,3,H,9
24,2,4,7,M,7
25,1,7,2,M,9
25,2,5,6,M,7
26,1,7,4,M,9
26,2,3,6,H,6
27,1,8,4,M,9
27,2,2,6,M,6
28,1,9,3,M,9
28,2,3,7,H,5
29,1,6,2,M,9
29,2,3,8,H,4
30,1,8,2,M,9
30,2,2,8,M,4
31,1,6,4,M,9
31,2,3,9,M,4
32,1,5,3,M,9
32,2,4,8,M,4
33,1,4,7,H,8
33,2,2,7,M,4
34,1,4,6,M,8
34,2,0,1,M,4
35,1,5,7,H,7
35,2,6,6,M,4
36,1,4,8,M,7
36,2,7,1,M,4
37,1,6,7,H,6
37,2,9,6,M,4
38,1,6,6,M,6
38,2,8,0,M,4
39,1,6,8,M,6
39,2,5,9,M,4
40,1,5,6,M,6
40,2,1,2,M,4
41,1,7,7,H,5
41,2,0,8,M,4
42,1,7,8,M,5
42,2,4,0,H,3
43,1,8,7,H,4
43,2,5,0,M,3
44,1,8,8,M,4
44,2,4,1,M,3
45,1,9,7,M,4
45,2,3,0,H,2
46,1,8,6,M,4
46,2,3,1,M,2
47,1,3,9,M,4
47,2,2,0,H,1
48,1,5,1,M,4
48,2,2,1,M,1
49,1,0,6,H,3
49,2,1,0,H,0
50,1,0,7,H,2
50,2,1,1,M,0
51,1,1,6,M,2
51,2,0,0,M,0
52,1,1,7,M,2
52,2,6,9,M,0
53,1,0,5,H,1
53,2,9,2,M,0
54,1,1,5,M,1
54,2,1,4,M,0
55,1,0,8,H,0
55,2,7,7,M,0
