Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,3,5,M,17
1,2,1,7,M,17
2,1,2,9,M,17
2,2,5,0,H,16
3,1,1,0,H,16
3,2,6,0,H,15
4,1,2,0,M,16
4,2,4,0,M,15
5,1,1,1,H,15
5,2,5,1,M,15
6,1,0,1,M,15
6,2,7,0,H,14
7,1,1,2,H,14
7,2,6,1,M,14
8,1,0,0,M,14
8,2,7,1,M,14
9,1,1,3,M,14
9,2,8,0,M,14
10,1,2,2,M,14
10,2,8,2,M,14
11,1,0,2,H,13
11,2,5,5,M,14
12,1,0,3,H,12
12,2,1,4,H,13
13,1,0,4,H,11
13,2,0,4,M,13
14,1,2,1,M,11
14,2,1,5,M,13
15,1,1,4,M,11
15,2,1,3,H,12
16,1,0,5,H,10
16,2,0,3,M,12
17,1,1,5,M,10
17,2,2,4,M,12
18,1,0,6,M,10
18,2,1,2,H,11
19,1,6,2,M,10
19,2,2,2,H,10
20,1,0,9,M,10
20,2,1,1,H,9
21,1,4,3,H,9
21,2,0,2,M,9
22,1,4,4,M,9
22,2,2,1,H,8
23,1,3,3,H,8
23,2,0,1,M,8
24,1,2,3,H,7
24,2,3,1,M,8
25,1,3,2,M,7
25,2,2,3,H,7
26,1,4,2,M,7
26,2,1,0,M,7
27,1,5,3,H,6
27,2,3,3,M,7
28,1,5,4,M,6
28,2,2,0,M,7
29,1,5,2,M,6
29,2,3,2,M,7
30,1,2,4,M,6
30,2,6,9,M,7
31,1,3,4,M,6
31,2,4,2,M,7
32,1,6,3,H,5
32,2,8,3,M,7
33,1,7,3,M,5
33,2,7,6,M,7
34,1,6,4,M,5
34,2,2,5,M,7
35,1,6,7,M,5
35,2,9,7,M,7
36,1,2,5,H,4
36,2,4,7,M,7
37,1,2,6,H,3
37,2,9,5,M,7
38,1,3,6,M,3
38,2,0,9,M,7
39,1,1,6,M,3
39,2,0,8,M,7
40,1,2,7,H,2
40,2,6,7,M,7
41,1,1,7,M,2
41,2,5,8,M,7
42,1,3,7,M,2
42,2,9,9,M,7
43,1,2,8,M,2
43,2,1,9,H,6
44,1,9,6,M,2
44,2,1,8,H,5
45,1,4,8,M,2
45,2,2,9,M,5
46,1,8,3,M,2
46,2,2,8,M,5
47,1,5,6,M,2
47,2,4,1,M,5
48,1,9,3,M,2
48,2,9,1,M,5
49,1,8,8,M,2
49,2,4,3,M,5
50,1,5,9,M,2
50,2,9,6,M,5
51,1,5,7,M,2
51,2,8,9,H,4
52,1,7,4,M,2
52,2,7,9,M,4
53,1,4,6,M,2
53,2,8,8,H,3
54,1,7,1,M,2
54,2,7,8,M,3
55,1,9,8,M,2
55,2,8,7,H,2
56,1,8,5,M,2
56,2,8,6,H,1
57,1,6,6,M,2
57,2,9,8,M,1
58,1,1,9,M,2
58,2,8,5,H,0
59,1,7,8,M,2
59,2,7,7,M,0
60,1,8,0,M,2
60,2,8,4,M,0
61,1,9,0,M,2
61,2,7,5,M,0
62,1,9,2,M,2
62,2,9,2,M,0
63,1,9,1,M,2
63,2,8,1,M,0
64,1,3,8,M,2
64,2,9,3,M,0
65,1,0,8,M,2
65,2,0,5,M,0
66,1,9,5,M,2
66,2,5,2,M,0
67,1,9,9,M,2
67,2,6,2,M,0
68,1,7,9,M,2
68,2,6,4,M,0
69,1,5,8,H,1
69,2,7,2,M,0
70,1,6,8,H,0
70,2,5,9,M,0
