Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,6,9,M,17
1,2,4,1,H,16
2,1,4,7,M,17
2,2,4,2,M,16
3,1,6,6,M,17
3,2,5,1,H,15
4,1,9,9,M,17
4,2,6,1,H,14
5,1,3,6,H,16
5,2,6,0,M,14
6,1,4,6,M,16
6,2,6,2,M,14
7,1,3,7,M,16
7,2,7,1,H,13
8,1,2,6,H,15
8,2,3,1,M,13
9,1,2,7,M,15
9,2,4,0,M,13
10,1,2,5,M,15
10,2,7,2,M,13
11,1,1,6,H,14
11,2,5,2,M,13
12,1,3,5,M,14
12,2,7,0,M,13
13,1,1,7,M,14
13,2,8,1,M,13
14,1,1,5,M,14
14,2,5,0,M,13
15,1,0,6,H,13
15,2,1,4,H,12
16,1,0,7,H,12
16,2,0,4,M,12
17,1,0,8,H,11
17,2,1,3,H,11
18,1,1,8,H,10
18,2,1,5,H,10
19,1,0,9,M,10
19,2,2,5,M,10
20,1,0,5,H,9
20,2,0,5,M,10
21,1,0,4,M,9
21,2,1,6,M,10
22,1,1,9,M,9
22,2,0,3,M,10
23,1,2,8,H,8
23,2,2,3,M,10
24,1,2,9,M,8
24,2,1,2,M,10
25,1,3,8,H,7
25,2,2,4,M,10
26,1,3,9,M,7
26,2,9,1,M,10
27,1,4,8,M,7
27,2,9,7,M,10
28,1,2,3,M,7
28,2,3,0,M,10
29,1,5,7,M,7
29,2,7,6,H,9
30,1,8,1,M,7
30,2,7,7,M,9
31,1,6,4,M,7
31,2,6,6,H,8
32,1,2,4,M,7
32,2,7,5,M,8
33,1,4,3,M,7
33,2,8,6,H,7
34,1,7,0,M,7
34,2,5,6,H,6
35,1,6,8,M,7
35,2,5,7,M,6
36,1,8,2,M,7
36,2,9,6,H,5
37,1,9,0,M,7
37,2,5,5,M,5
38,1,7,1,M,7
38,2,8,7,M,5
39,1,9,6,M,7
39,2,8,5,M,5
40,1,7,2,M,7
40,2,6,7,M,5
41,1,5,1,H,6
41,2,9,5,M,5
42,1,6,1,H,5
42,2,6,5,M,5
43,1,6,0,M,5
43,2,4,6,H,4
44,1,4,1,H,4
44,2,4,5,M,4
45,1,4,0,M,4
45,2,3,6,M,4
46,1,3,1,H,3
46,2,4,7,H,3
47,1,5,2,M,3
47,2,3,7,M,3
48,1,6,2,M,3
48,2,4,8,H,2
49,1,5,0,M,3
49,2,3,8,M,2
50,1,3,0,M,3
50,2,4,9,M,2
51,1,4,2,M,3
51,2,5,8,M,2
52,1,2,1,H,2
52,2,0,6,M,2
53,1,2,2,M,2
53,2,2,0,M,2
54,1,2,0,M,2
54,2,8,8,M,2
55,1,3,2,M,2
55,2,6,3,M,2
56,1,1,1,M,2
56,2,9,3,M,2
57,1,0,3,M,2
57,2,2,7,M,2
58,1,8,9,M,2
58,2,8,4,M,2
59,1,6,3,M,2
59,2,2,1,M,2
60,1,7,5,H,1
60,2,0,7,H,1
61,1,6,5,M,1
61,2,1,7,M,1
62,1,7,4,M,1
62,2,0,8,H,0
63,1,7,6,H,0
63,2,1,8,M,0
