Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,0,6,M,17
1,2,7,2,M,17
2,1,8,3,M,17
2,2,5,9,M,17
3,1,7,9,M,17
3,2,2,5,M,17
4,1,3,7,M,17
4,2,1,3,H,16
5,1,0,2,M,17
5,2,0,3,M,16
6,1,4,3,M,17
6,2,1,2,M,16
7,1,1,4,M,17
7,2,1,4,H,15
8,1,8,9,M,17
8,2,2,3,M,15
9,1,7,0,M,17
9,2,0,4,M,15
10,1,2,6,M,17
10,2,2,4,M,15
11,1,3,3,M,17
11,2,1,5,H,14
12,1,2,4,M,17
12,2,0,5,M,14
13,1,7,5,M,17
13,2,1,6,H,13
14,1,3,6,M,17
14,2,1,7,M,13
15,1,6,5,M,17
15,2,2,6,M,13
16,1,9,0,M,17
16,2,0,6,M,13
17,1,0,4,M,17
17,2,3,0,M,13
18,1,0,9,M,17
18,2,2,1,M,13
19,1,6,3,M,17
19,2,0,7,M,13
20,1,7,6,M,17
20,2,1,1,M,13
21,1,5,0,H,16
21,2,4,8,M,13
22,1,6,0,H,15
22,2,5,0,M,13
23,1,5,1,M,15
23,2,5,2,M,13
24,1,4,0,H,14
24,2,6,0,M,13
25,1,6,1,M,14
25,2,1,0,M,13
26,1,4,1,M,14
26,2,6,3,M,13
27,1,3,0,M,14
27,2,5,3,M,13
28,1,5,7,H,13
28,2,3,3,M,13
29,1,5,8,H,12
29,2,5,5,H,12
30,1,5,6,H,11
30,2,6,5,M,12
31,1,4,6,M,11
31,2,4,5,H,11
32,1,4,8,M,11
32,2,5,4,M,11
33,1,5,9,M,11
33,2,4,6,M,11
34,1,5,5,H,10
34,2,3,5,H,10
35,1,4,5,M,10
35,2,5,6,M,10
36,1,4,7,M,10
36,2,3,4,M,10
37,1,6,6,M,10
37,2,3,6,M,10
38,1,6,7,M,10
38,2,4,4,M,10
39,1,6,8,M,10
39,2,8,4,M,10
40,1,5,4,M,10
40,2,0,1,M,10
41,1,7,1,M,10
41,2,7,3,M,10
42,1,1,3,M,10
42,2,0,8,M,10
43,1,8,4,H,9
43,2,4,9,M,10
44,1,8,5,M,9
44,2,9,4,H,9
45,1,7,4,H,8
45,2,9,5,H,8
46,1,7,3,M,8
46,2,9,6,H,7
47,1,6,4,M,8
47,2,8,5,M,7
48,1,9,4,M,8
48,2,9,7,M,7
49,1,6,9,M,8
49,2,9,3,M,7
50,1,2,0,M,8
50,2,8,6,M,7
51,1,9,5,M,8
51,2,8,8,M,7
52,1,8,8,M,8
52,2,7,6,H,6
53,1,9,6,M,8
53,2,7,7,H,5
54,1,3,2,H,7
54,2,8,7,M,5
55,1,3,1,M,7
55,2,7,5,H,4
56,1,2,2,H,6
56,2,6,6,M,4
57,1,2,1,M,6
57,2,7,4,H,3
58,1,1,2,M,6
58,2,6,4,M,3
59,1,4,2,H,5
59,2,6,7,M,3
60,1,2,3,M,5
60,2,7,8,H,2
61,1,5,2,H,4
61,2,7,9,M,2
62,1,5,3,M,4
62,2,6,8,M,2
63,1,6,2,H,3
63,2,4,0,M,2
64,1,7,2,M,3
64,2,6,2,M,2
65,1,7,7,M,3
65,2,5,7,M,2
66,1,9,2,M,3
66,2,7,0,M,2
67,1,0,5,M,3
67,2,4,3,M,2
68,1,0,0,M,3
68,2,2,0,M,2
69,1,8,2,M,3
69,2,4,1,M,2
70,1,9,8,M,3
70,2,0,9,M,2
71,1,1,9,M,3
71,2,0,0,M,2
72,1,0,3,M,3
72,2,8,1,M,2
73,1,0,1,M,3
73,2,6,9,M,2
74,1,3,9,M,3
74,2,4,2,M,2
75,1,8,1,M,3
75,2,0,2,M,2
76,1,2,7,H,2
76,2,3,1,M,2
77,1,2,8,M,2
77,2,9,9,M,2
78,1,1,7,H,1
78,2,4,7,M,2
79,1,1,6,M,1
79,2,8,2,M,2
80,1,1,8,M,1
80,2,2,7,M,2
81,1,0,7,H,0
81,2,2,8,M,2
82,1,0,8,M,0
82,2,1,9,M,2
83,1,8,6,M,0
83,2,6,1,H,1
84,1,9,7,M,0
84,2,5,1,H,0
