Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,5,6,M,17
1,2,5,6,H,16
2,1,9,2,M,17
2,2,5,7,H,15
3,1,2,7,M,17
3,2,5,5,M,15
4,1,8,9,M,17
4,2,6,6,M,15
5,1,9,8,M,17
5,2,5,8,H,14
6,1,8,2,M,17
6,2,4,7,M,14
7,1,2,2,M,17
7,2,4,6,M,14
8,1,9,0,M,17
8,2,4,8,M,14
9,1,1,6,H,16
9,2,5,9,M,14
10,1,1,7,H,15
10,2,6,7,M,14
11,1,0,7,M,15
11,2,6,8,M,14
12,1,1,5,H,14
12,2,0,5,H,13
13,1,1,8,M,14
13,2,0,6,M,13
14,1,2,5,M,14
14,2,1,5,M,13
15,1,0,6,M,14
15,2,0,4,H,12
16,1,1,4,H,13
16,2,1,4,M,12
17,1,2,4,M,13
17,2,0,3,M,12
18,1,2,6,M,13
18,2,9,2,M,12
19,1,0,5,M,13
19,2,3,9,M,12
20,1,0,4,M,13
20,2,2,2,M,12
21,1,1,3,H,12
21,2,2,6,M,12
22,1,0,3,M,12
22,2,5,4,M,12
23,1,2,3,M,12
23,2,3,7,M,12
24,1,1,2,M,12
24,2,9,6,M,12
25,1,5,8,M,12
25,2,4,4,M,12
26,1,8,3,M,12
26,2,4,9,M,12
27,1,5,9,M,12
27,2,9,5,M,12
28,1,0,2,M,12
28,2,2,0,M,12
29,1,6,7,M,12
29,2,2,8,M,12
30,1,3,6,M,12
30,2,6,5,M,12
31,1,2,9,M,12
31,2,3,5,M,12
32,1,6,4,M,12
32,2,8,2,M,12
33,1,3,7,M,12
33,2,5,2,M,12
34,1,8,4,M,12
34,2,8,4,M,12
35,1,9,7,M,12
35,2,2,1,M,12
36,1,8,8,M,12
36,2,1,9,M,12
37,1,7,9,M,12
37,2,9,4,M,12
38,1,4,7,M,12
38,2,9,1,M,12
39,1,5,2,H,11
39,2,1,0,H,11
40,1,4,2,H,10
40,2,0,0,M,11
41,1,4,3,M,10
41,2,1,1,H,10
42,1,3,2,M,10
42,2,1,2,H,9
43,1,5,1,M,10
43,2,1,3,H,8
44,1,6,2,M,10
44,2,2,3,H,7
45,1,4,1,H,9
45,2,0,1,M,7
46,1,4,0,H,8
46,2,0,2,M,7
47,1,5,3,H,7
47,2,3,3,H,6
48,1,3,0,M,7
48,2,3,2,M,6
49,1,5,0,H,6
49,2,3,4,M,6
50,1,6,3,M,6
50,2,4,3,H,5
51,1,3,1,M,6
51,2,2,4,M,5
52,1,5,4,H,5
52,2,4,2,M,5
53,1,6,0,H,4
53,2,5,3,M,5
54,1,4,4,M,4
54,2,7,3,H,4
55,1,6,1,M,4
55,2,8,3,M,4
56,1,5,5,H,3
56,2,7,4,H,3
57,1,7,0,H,2
57,2,6,3,M,3
58,1,6,5,M,2
58,2,7,5,H,2
59,1,4,5,M,2
59,2,7,2,H,1
60,1,7,1,M,2
60,2,8,5,M,1
61,1,8,0,M,2
61,2,7,1,M,1
62,1,4,6,M,2
62,2,6,2,M,1
63,1,1,0,M,2
63,2,6,4,M,1
64,1,3,9,M,2
64,2,7,6,H,0
65,1,3,5,M,2
65,2,8,6,M,0
66,1,7,7,M,2
66,2,7,7,M,0
67,1,2,1,M,2
67,2,2,5,M,0
68,1,9,5,M,2
68,2,0,9,M,0
69,1,3,4,M,2
69,2,9,9,M,0
70,1,1,1,M,2
70,2,8,9,M,0
71,1,3,3,M,2
71,2,1,6,M,0
72,1,9,3,M,2
72,2,2,7,M,0
73,1,9,1,M,2
73,2,9,8,M,0
74,1,9,4,M,2
74,2,1,7,M,0
75,1,4,9,M,2
75,2,8,1,M,0
76,1,0,1,M,2
76,2,8,7,M,0
77,1,7,4,H,1
77,2,7,8,M,0
78,1,7,3,H,0
78,2,0,8,M,0
