Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,7,5,M,17
1,2,0,5,M,17
2,1,2,2,M,17
2,2,0,9,M,17
3,1,1,8,M,17
3,2,1,4,H,16
4,1,2,7,M,17
4,2,0,4,M,16
5,1,1,5,M,17
5,2,1,5,H,15
6,1,1,0,M,17
6,2,2,5,M,15
7,1,6,2,H,16
7,2,1,3,M,15
8,1,6,3,H,15
8,2,1,6,H,14
9,1,6,4,M,15
9,2,1,7,M,14
10,1,5,2,H,14
10,2,2,6,H,13
11,1,7,3,M,14
11,2,2,7,H,12
12,1,5,1,M,14
12,2,3,6,M,12
13,1,5,3,H,13
13,2,2,4,M,12
14,1,4,3,M,13
14,2,2,8,H,11
15,1,6,1,M,13
15,2,0,6,M,11
16,1,5,4,M,13
16,2,3,7,M,11
17,1,7,2,H,12
17,2,3,8,M,11
18,1,7,1,M,12
18,2,1,8,M,11
19,1,4,2,H,11
19,2,2,9,H,10
20,1,8,2,M,11
20,2,1,9,M,10
21,1,3,2,M,11
21,2,3,9,M,10
22,1,4,1,M,11
22,2,0,3,M,10
23,1,4,6,M,11
23,2,8,2,M,10
24,1,1,4,M,11
24,2,6,0,M,10
25,1,8,0,M,11
25,2,9,9,M,10
26,1,8,8,M,11
26,2,5,0,M,10
27,1,3,6,M,11
27,2,4,6,M,10
28,1,9,2,H,10
28,2,8,0,M,10
29,1,9,3,H,9
29,2,2,1,M,10
30,1,9,4,H,8
30,2,7,8,M,10
31,1,8,4,M,8
31,2,7,0,M,10
32,1,9,5,M,8
32,2,4,7,M,10
33,1,8,3,M,8
33,2,4,0,M,10
34,1,9,1,M,8
34,2,8,7,H,9
35,1,6,7,M,8
35,2,8,8,M,9
36,1,0,8,M,8
36,2,9,7,M,9
37,1,6,8,M,8
37,2,7,7,H,8
38,1,2,6,M,8
38,2,7,6,M,8
39,1,5,8,M,8
39,2,8,6,M,8
40,1,0,3,M,8
40,2,6,7,H,7
41,1,4,5,M,8
41,2,5,7,M,7
42,1,9,7,H,7
42,2,6,8,M,7
43,1,9,8,M,7
43,2,6,6,M,7
44,1,9,6,M,7
44,2,3,1,H,6
45,1,8,7,H,6
45,2,3,0,M,6
46,1,8,6,M,6
46,2,4,1,H,5
47,1,7,7,H,5
47,2,3,2,M,5
48,1,7,6,M,5
48,2,4,2,M,5
49,1,7,8,M,5
49,2,5,1,H,4
50,1,0,7,M,5
50,2,5,2,M,4
51,1,4,7,M,5
51,2,6,1,H,3
52,1,3,0,M,5
52,2,6,2,M,3
53,1,0,6,M,5
53,2,7,1,H,2
54,1,7,4,M,5
54,2,7,2,M,2
55,1,6,0,M,5
55,2,8,1,M,2
56,1,5,6,M,5
56,2,7,5,M,2
57,1,1,9,H,4
57,2,0,2,M,2
58,1,2,9,H,3
58,2,9,4,M,2
59,1,2,8,M,3
59,2,5,9,M,2
60,1,3,9,H,2
60,2,1,0,M,2
61,1,0,9,M,2
61,2,9,8,M,2
62,1,4,9,H,1
62,2,8,4,M,2
63,1,4,8,M,1
63,2,4,9,M,2
64,1,3,8,M,1
64,2,2,2,M,2
65,1,5,9,H,0
65,2,2,0,M,2
66,1,6,9,M,0
66,2,4,5,M,2
67,1,1,2,M,0
67,2,2,3,M,2
68,1,6,6,M,0
68,2,9,3,M,2
69,1,0,2,M,0
69,2,9,6,M,2
70,1,0,5,M,0
70,2,5,8,M,2
71,1,1,3,M,0
71,2,5,4,M,2
72,1,2,1,M,0
72,2,0,8,M,2
73,1,1,7,M,0
73,2,4,4,M,2
74,1,7,0,M,0
74,2,5,3,M,2
75,1,9,0,M,0
75,2,6,5,M,2
76,1,8,9,M,0
76,2,6,9,M,2
77,1,3,3,M,0
77,2,3,4,H,1
78,1,2,3,M,0
78,2,3,3,H,0
