Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,6,3,H,16
1,2,5,1,M,17
2,1,6,2,M,16
2,2,6,0,M,17
3,1,6,4,H,15
3,2,9,0,M,17
4,1,6,5,M,15
4,2,0,0,M,17
5,1,5,3,H,14
5,2,2,8,M,17
6,1,5,4,H,13
6,2,6,4,M,17
7,1,5,2,M,13
7,2,4,7,M,17
8,1,7,4,H,12
8,2,8,7,M,17
9,1,7,3,H,11
9,2,4,9,M,17
10,1,4,3,M,11
10,2,1,4,M,17
11,1,7,2,M,11
11,2,3,3,M,17
12,1,4,4,M,11
12,2,7,9,M,17
13,1,8,4,M,11
13,2,9,5,H,16
14,1,7,5,M,11
14,2,8,5,H,15
15,1,8,3,H,10
15,2,8,4,M,15
16,1,8,2,M,10
16,2,9,4,M,15
17,1,9,3,M,10
17,2,7,5,H,14
18,1,5,5,M,10
18,2,7,4,M,14
19,1,6,9,M,10
19,2,8,6,M,14
20,1,1,3,M,10
20,2,9,6,H,13
21,1,9,7,M,10
21,2,7,6,M,13
22,1,7,9,M,10
22,2,6,5,H,12
23,1,8,0,M,10
23,2,6,6,M,12
24,1,7,8,M,10
24,2,5,5,M,12
25,1,1,4,M,10
25,2,9,7,H,11
26,1,9,9,M,10
26,2,9,8,M,11
27,1,4,7,M,10
27,2,3,1,M,11
28,1,5,6,H,9
28,2,3,9,M,11
29,1,6,6,H,8
29,2,5,4,M,11
30,1,4,6,H,7
30,2,4,3,M,11
31,1,6,7,M,7
31,2,1,8,M,11
32,1,3,6,H,6
32,2,5,3,M,11
33,1,5,7,M,6
33,2,6,7,M,11
34,1,4,5,M,6
34,2,2,4,M,11
35,1,2,6,H,5
35,2,2,6,M,11
36,1,3,5,M,5
36,2,9,9,H,10
37,1,1,6,M,5
37,2,8,9,H,9
38,1,3,7,M,5
38,2,8,8,H,8
39,1,2,5,M,5
39,2,7,8,H,7
40,1,7,6,M,5
40,2,6,8,H,6
41,1,2,7,M,5
41,2,6,9,M,6
42,1,3,3,M,5
42,2,7,7,M,6
43,1,1,9,M,5
43,2,5,8,H,5
44,1,3,2,M,5
44,2,5,7,M,5
45,1,8,5,M,5
45,2,5,9,M,5
46,1,1,2,M,5
46,2,4,8,H,4
47,1,1,0,H,4
47,2,3,8,M,4
48,1,0,0,H,3
48,2,0,9,M,4
49,1,1,1,M,3
49,2,2,3,M,4
50,1,2,0,M,3
50,2,0,7,M,4
51,1,0,1,M,3
51,2,0,6,M,4
52,1,1,7,M,3
52,2,2,5,M,4
53,1,8,1,M,3
53,2,1,9,M,4
54,1,5,9,M,3
54,2,2,0,M,4
55,1,7,0,M,3
55,2,0,4,M,4
56,1,0,9,M,3
56,2,3,5,M,4
57,1,1,5,M,3
57,2,8,3,M,4
58,1,0,4,M,3
58,2,6,2,H,3
59,1,4,1,M,3
59,2,6,3,M,3
60,1,4,0,M,3
60,2,5,2,H,2
61,1,2,2,M,3
61,2,6,1,M,2
62,1,9,5,M,3
62,2,4,2,H,1
63,1,8,9,M,3
63,2,4,1,M,1
64,1,8,8,M,3
64,2,7,2,H,0
65,1,3,4,M,3
65,2,8,2,M,0
66,1,6,0,M,3
66,2,7,3,M,0
67,1,4,2,M,3
67,2,7,1,M,0
68,1,6,1,H,2
68,2,3,2,M,0
69,1,7,1,H,1
69,2,1,1,M,0
70,1,5,1,H,0
70,2,2,9,M,0
