Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,5,5,M,17
1,2,1,2,H,16
2,1,5,9,M,17
2,2,1,1,M,16
3,1,9,7,M,17
3,2,1,3,H,15
4,1,8,9,M,17
4,2,2,2,M,15
5,1,1,9,M,17
5,2,0,3,H,14
6,1,4,4,M,17
6,2,1,4,H,13
7,1,1,8,M,17
7,2,2,4,H,12
8,1,5,2,H,16
8,2,2,3,H,11
9,1,4,2,H,15
9,2,0,2,H,10
10,1,5,3,M,15
10,2,3,3,M,10
11,1,3,2,M,15
11,2,0,4,H,9
12,1,4,1,M,15
12,2,3,4,M,9
13,1,5,1,M,15
13,2,0,1,H,8
14,1,4,3,M,15
14,2,0,5,M,8
15,1,6,2,H,14
15,2,1,5,H,7
16,1,6,3,H,13
16,2,1,6,M,7
17,1,7,2,M,13
17,2,2,5,M,7
18,1,6,4,M,13
18,2,0,0,H,6
19,1,7,3,H,12
19,2,1,0,M,6
20,1,7,4,M,12
20,2,5,1,M,6
21,1,6,1,M,12
21,2,9,1,M,6
22,1,8,3,H,11
22,2,3,0,M,6
23,1,9,3,H,10
23,2,4,6,M,6
24,1,8,4,M,10
24,2,2,0,M,6
25,1,9,4,M,10
25,2,4,9,M,6
26,1,8,2,M,10
26,2,7,1,M,6
27,1,9,2,M,10
27,2,4,4,M,6
28,1,3,6,H,9
28,2,7,9,M,6
29,1,3,7,M,9
29,2,0,6,M,6
30,1,2,6,H,8
30,2,7,4,M,6
31,1,2,7,H,7
31,2,6,8,M,6
32,1,2,5,H,6
32,2,6,0,M,6
33,1,2,8,M,6
33,2,6,3,M,6
34,1,3,5,M,6
34,2,1,7,M,6
35,1,2,4,H,5
35,2,9,8,M,6
36,1,2,3,H,4
36,2,4,2,M,6
37,1,1,3,M,4
37,2,5,9,M,6
38,1,1,4,M,4
38,2,5,5,M,6
39,1,3,3,M,4
39,2,8,9,M,6
40,1,4,6,H,3
40,2,7,7,M,6
41,1,2,2,M,3
41,2,2,8,M,6
42,1,1,5,M,3
42,2,6,5,M,6
43,1,1,7,M,3
43,2,9,0,M,6
44,1,4,5,M,3
44,2,5,2,M,6
45,1,1,6,M,3
45,2,2,1,M,6
46,1,4,7,M,3
46,2,9,5,M,6
47,1,5,6,H,2
47,2,8,1,M,6
48,1,3,4,M,2
48,2,8,3,M,6
49,1,6,6,M,2
49,2,4,3,M,6
50,1,5,7,M,2
50,2,8,0,M,6
51,1,6,8,M,2
51,2,5,7,M,6
52,1,2,9,M,2
52,2,2,9,M,6
53,1,9,8,M,2
53,2,1,8,M,6
54,1,4,9,H,1
54,2,5,6,M,6
55,1,3,9,M,1
55,2,8,7,M,6
56,1,4,8,H,0
56,2,5,3,M,6
57,1,3,8,M,0
57,2,5,4,M,6
58,1,5,8,M,0
58,2,6,2,M,6
59,1,5,0,M,0
59,2,4,5,M,6
60,1,7,0,M,0
60,2,8,5,M,6
61,1,7,7,M,0
61,2,5,0,M,6
62,1,0,8,M,0
62,2,7,5,M,6
63,1,0,6,M,0
63,2,2,6,M,6
64,1,1,2,M,0
64,2,9,6,M,6
65,1,7,9,M,0
65,2,4,8,H,5
66,1,9,5,M,0
66,2,3,8,H,4
67,1,3,1,M,0
67,2,3,7,M,4
68,1,8,8,M,0
68,2,5,8,H,3
69,1,8,1,M,0
69,2,3,9,M,3
70,1,6,0,M,0
70,2,4,7,M,3
71,1,0,7,M,0
71,2,8,6,M,3
72,1,0,1,M,0
72,2,8,4,M,3
73,1,7,8,M,0
73,2,7,8,M,3
74,1,6,5,M,0
74,2,9,7,M,3
75,1,7,5,M,0
75,2,6,7,M,3
76,1,0,0,M,0
76,2,9,9,M,3
77,1,5,4,M,0
77,2,4,0,M,3
78,1,1,1,M,0
78,2,3,5,M,3
79,1,0,9,M,0
79,2,7,2,M,3
80,1,2,0,M,0
80,2,8,8,M,3
81,1,8,6,M,0
81,2,8,2,M,3
82,1,0,4,M,0
82,2,9,3,M,3
83,1,9,0,M,0
83,2,6,1,M,3
84,1,6,9,M,0
84,2,0,7,H,2
85,1,1,0,M,0
85,2,0,8,H,1
86,1,9,1,M,0
86,2,0,9,H,0
