Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,5,4,M,17
1,2,0,5,M,17
2,1,5,2,H,16
2,2,5,8,H,16
3,1,6,2,M,16
3,2,6,8,H,15
4,1,4,2,M,16
4,2,6,7,M,15
5,1,5,3,H,15
5,2,5,9,H,14
6,1,4,3,M,15
6,2,4,8,M,14
7,1,6,3,M,15
7,2,5,7,H,13
8,1,5,1,M,15
8,2,4,7,M,13
9,1,1,5,M,15
9,2,6,9,M,13
10,1,6,0,M,15
10,2,4,9,M,13
11,1,6,8,M,15
11,2,7,8,H,12
12,1,0,6,M,15
12,2,5,6,H,11
13,1,3,0,M,15
13,2,8,8,H,10
14,1,8,2,M,15
14,2,9,8,H,9
15,1,6,5,M,15
15,2,7,9,M,9
16,1,9,2,M,15
16,2,5,5,M,9
17,1,4,7,M,15
17,2,6,6,H,8
18,1,0,0,M,15
18,2,7,6,H,7
19,1,7,7,M,15
19,2,8,7,M,7
20,1,4,4,M,15
20,2,7,7,M,7
21,1,9,1,M,15
21,2,7,5,M,7
22,1,6,4,M,15
22,2,4,6,M,7
23,1,0,7,M,15
23,2,6,5,M,7
24,1,4,0,M,15
24,2,9,7,M,7
25,1,9,6,H,14
25,2,8,9,M,7
26,1,9,5,H,13
26,2,9,9,M,7
27,1,8,6,M,13
27,2,8,6,M,7
28,1,9,4,H,12
28,2,5,1,M,7
29,1,9,3,M,12
29,2,0,7,M,7
30,1,9,7,H,11
30,2,6,4,M,7
31,1,8,5,M,11
31,2,2,9,M,7
32,1,9,8,H,10
32,2,9,3,M,7
33,1,8,7,M,10
33,2,4,1,M,7
34,1,8,4,M,10
34,2,3,7,M,7
35,1,8,8,M,10
35,2,4,0,M,7
36,1,9,9,M,10
36,2,9,6,M,7
37,1,7,1,M,10
37,2,3,5,H,6
38,1,1,6,M,10
38,2,2,5,M,6
39,1,2,3,M,10
39,2,3,4,H,5
40,1,0,2,M,10
40,2,2,4,M,5
41,1,8,1,M,10
41,2,4,5,M,5
42,1,3,8,M,10
42,2,4,4,M,5
43,1,3,2,M,10
43,2,3,6,H,4
44,1,3,6,M,10
44,2,2,6,M,4
45,1,0,5,M,10
45,2,3,3,H,3
46,1,6,1,M,10
46,2,4,3,M,3
47,1,3,5,M,10
47,2,2,3,M,3
48,1,4,8,M,10
48,2,3,2,H,2
49,1,0,8,M,10
49,2,3,1,H,1
50,1,6,6,M,10
50,2,2,1,H,0
51,1,5,6,M,10
51,2,3,0,M,0
52,1,9,0,H,9
52,2,4,2,M,0
53,1,8,0,H,8
53,2,2,2,M,0
54,1,7,0,H,7
54,2,2,0,M,0
55,1,0,1,M,7
55,2,1,1,M,0
56,1,8,9,M,7
56,2,5,2,M,0
57,1,2,8,M,7
57,2,6,1,M,0
58,1,0,3,M,7
58,2,0,6,M,0
59,1,7,5,M,7
59,2,8,1,M,0
60,1,6,7,M,7
60,2,7,3,M,0
61,1,2,2,M,7
61,2,0,9,M,0
62,1,1,8,M,7
62,2,1,7,M,0
63,1,1,9,H,6
63,2,3,9,M,0
64,1,2,9,H,5
64,2,8,3,M,0
65,1,3,9,H,4
65,2,1,5,M,0
66,1,4,9,H,3
66,2,0,4,M,0
67,1,5,9,M,3
67,2,0,2,M,0
68,1,0,9,M,3
68,2,9,1,M,0
69,1,5,7,M,3
69,2,0,3,M,0
70,1,2,5,M,3
70,2,7,0,M,0
71,1,3,1,M,3
71,2,7,4,M,0
72,1,7,8,M,3
72,2,9,2,M,0
73,1,5,8,M,3
73,2,5,0,M,0
74,1,4,5,M,3
74,2,1,0,M,0
75,1,5,0,M,3
75,2,1,8,M,0
76,1,4,1,M,3
76,2,1,9,M,0
77,1,2,0,M,3
77,2,1,6,M,0
78,1,0,4,M,3
78,2,8,5,M,0
79,1,6,9,M,3
79,2,6,3,M,0
80,1,5,5,M,3
80,2,0,8,M,0
81,1,1,0,M,3
81,2,0,1,M,0
82,1,1,4,M,3
82,2,3,8,M,0
83,1,7,4,M,3
83,2,8,4,M,0
84,1,7,2,M,3
84,2,1,4,M,0
85,1,2,6,M,3
85,2,2,8,M,0
86,1,3,4,M,3
86,2,2,7,M,0
87,1,1,1,M,3
87,2,0,0,M,0
88,1,2,4,M,3
88,2,1,3,M,0
89,1,3,3,M,3
89,2,6,2,M,0
90,1,1,3,M,3
90,2,8,0,M,0
91,1,7,6,M,3
91,2,7,2,M,0
92,1,4,6,M,3
92,2,7,1,M,0
93,1,2,7,H,2
93,2,5,3,M,0
94,1,3,7,H,1
94,2,9,4,M,0
95,1,1,7,H,0
95,2,1,2,M,0
