Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,3,9,M,17
1,2,7,3,M,17
2,1,6,4,M,17
2,2,6,5,M,17
3,1,1,0,M,17
3,2,3,2,M,17
4,1,0,4,M,17
4,2,6,4,M,17
5,1,6,8,M,17
5,2,8,7,H,16
6,1,0,2,M,17
6,2,9,7,M,16
7,1,4,4,M,17
7,2,8,6,H,15
8,1,8,2,M,17
8,2,7,6,M,15
9,1,8,4,M,17
9,2,9,6,M,15
10,1,9,4,M,17
10,2,8,5,H,14
11,1,9,7,M,17
11,2,7,7,M,14
12,1,5,0,H,16
12,2,8,4,H,13
13,1,6,0,H,15
13,2,9,4,M,13
14,1,7,0,H,14
14,2,9,5,M,13
15,1,8,0,M,14
15,2,7,5,M,13
16,1,4,0,H,13
16,2,8,8,M,13
17,1,5,1,M,13
17,2,8,3,H,12
18,1,7,1,M,13
18,2,7,4,M,12
19,1,6,1,M,13
19,2,9,3,M,12
20,1,4,1,H,12
20,2,8,2,H,11
21,1,3,0,H,11
21,2,8,1,H,10
22,1,2,0,H,10
22,2,9,2,M,10
23,1,2,1,H,9
23,2,9,1,M,10
24,1,3,1,H,8
24,2,8,0,H,9
25,1,2,2,M,8
25,2,9,0,M,9
26,1,1,1,H,7
26,2,7,1,M,9
27,1,3,2,M,7
27,2,7,2,M,9
28,1,0,1,H,6
28,2,7,0,M,9
29,1,4,2,M,6
29,2,2,5,M,9
30,1,0,0,M,6
30,2,7,8,M,9
31,1,1,2,M,6
31,2,2,7,H,8
32,1,3,6,M,6
32,2,3,7,H,7
33,1,4,9,M,6
33,2,3,8,M,7
34,1,7,4,H,5
34,2,2,6,M,7
35,1,7,3,M,5
35,2,3,6,M,7
36,1,7,5,H,4
36,2,2,8,M,7
37,1,6,5,M,4
37,2,4,7,M,7
38,1,8,5,M,4
38,2,1,7,H,6
39,1,7,6,M,4
39,2,1,8,M,6
40,1,7,9,M,4
40,2,1,6,M,6
41,1,8,9,M,4
41,2,0,7,H,5
42,1,6,6,M,4
42,2,0,6,M,5
43,1,5,5,H,3
43,2,0,8,M,5
44,1,4,5,M,3
44,2,6,1,M,5
45,1,5,4,H,2
45,2,0,5,H,4
46,1,5,6,M,2
46,2,1,5,M,4
47,1,5,3,H,1
47,2,0,4,H,3
48,1,5,2,H,0
48,2,1,4,M,3
49,1,6,3,M,0
49,2,0,3,M,3
50,1,6,2,M,0
50,2,5,9,M,3
51,1,4,3,M,0
51,2,2,9,M,3
52,1,9,3,M,0
52,2,2,3,M,3
53,1,4,6,M,0
53,2,1,2,M,3
54,1,2,9,M,0
54,2,2,2,M,3
55,1,5,8,M,0
55,2,3,3,H,2
56,1,8,1,M,0
56,2,4,3,M,2
57,1,0,6,M,0
57,2,3,4,H,1
58,1,1,4,M,0
58,2,3,5,H,0
