Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,0,6,M,17
1,2,7,4,M,17
2,1,0,1,M,17
2,2,9,8,M,17
3,1,6,6,M,17
3,2,4,0,H,16
4,1,4,6,M,17
4,2,5,0,H,15
5,1,8,2,M,17
5,2,3,0,M,15
6,1,7,3,M,17
6,2,4,1,M,15
7,1,6,2,M,17
7,2,6,0,H,14
8,1,4,9,M,17
8,2,6,1,M,14
9,1,8,5,M,17
9,2,7,0,M,14
10,1,4,1,M,17
10,2,5,1,M,14
11,1,9,5,M,17
11,2,4,3,M,14
12,1,4,3,M,17
12,2,3,7,M,14
13,1,0,2,M,17
13,2,7,7,M,14
14,1,5,3,M,17
14,2,1,4,M,14
15,1,5,7,M,17
15,2,0,4,M,14
16,1,2,1,H,16
16,2,8,5,H,13
17,1,1,1,M,16
17,2,8,6,M,13
18,1,2,2,M,16
18,2,8,4,M,13
19,1,3,1,M,16
19,2,7,5,H,12
20,1,2,0,H,15
20,2,7,6,M,12
21,1,1,0,M,15
21,2,9,5,H,11
22,1,3,0,M,15
22,2,6,5,H,10
23,1,7,2,M,15
23,2,9,4,M,10
24,1,5,5,M,15
24,2,6,4,M,10
25,1,8,8,M,15
25,2,9,6,M,10
26,1,8,3,M,15
26,2,5,5,H,9
27,1,8,0,M,15
27,2,6,6,M,9
28,1,5,1,M,15
28,2,5,4,M,9
29,1,6,8,M,15
29,2,4,5,M,9
30,1,1,7,M,15
30,2,5,6,M,9
31,1,7,0,M,15
31,2,6,3,M,9
32,1,5,6,M,15
32,2,5,3,M,9
33,1,4,2,M,15
33,2,6,8,M,9
34,1,4,4,M,15
34,2,1,8,M,9
35,1,0,7,M,15
35,2,4,2,M,9
36,1,7,6,M,15
36,2,3,5,M,9
37,1,7,5,M,15
37,2,3,3,H,8
38,1,7,7,M,15
38,2,3,2,H,7
39,1,4,8,M,15
39,2,3,4,H,6
40,1,3,5,H,14
40,2,4,4,M,6
41,1,2,5,H,13
41,2,2,2,M,6
42,1,4,5,M,13
42,2,2,3,M,6
43,1,3,6,H,12
43,2,2,4,M,6
44,1,2,6,H,11
44,2,3,1,M,6
45,1,1,5,M,11
45,2,1,2,M,6
46,1,3,7,M,11
46,2,6,7,M,6
47,1,1,6,M,11
47,2,1,3,H,5
48,1,2,4,H,10
48,2,0,3,H,4
49,1,1,4,M,10
49,2,0,2,M,4
50,1,3,4,H,9
50,2,2,1,M,4
51,1,2,7,H,8
51,2,0,5,M,4
52,1,2,8,M,8
52,2,0,0,M,4
53,1,2,3,H,7
53,2,5,8,M,4
54,1,3,3,M,7
54,2,9,1,M,4
55,1,1,3,M,7
55,2,8,7,M,4
56,1,0,8,M,7
56,2,2,8,M,4
57,1,4,7,M,7
57,2,4,7,M,4
58,1,1,2,M,7
58,2,4,6,M,4
59,1,6,9,H,6
59,2,7,8,M,4
60,1,5,9,H,5
60,2,0,6,M,4
61,1,7,9,H,4
61,2,2,0,M,4
62,1,5,8,M,4
62,2,7,3,M,4
63,1,7,8,M,4
63,2,7,9,M,4
64,1,8,9,H,3
64,2,5,9,M,4
65,1,9,9,M,3
65,2,2,6,M,4
66,1,4,0,M,3
66,2,2,9,M,4
67,1,7,4,M,3
67,2,1,7,M,4
68,1,0,4,M,3
68,2,1,5,M,4
69,1,9,0,M,3
69,2,9,2,M,4
70,1,9,2,M,3
70,2,3,8,M,4
71,1,6,3,H,2
71,2,8,8,M,4
72,1,6,4,H,1
72,2,1,9,M,4
73,1,6,5,H,0
73,2,4,9,M,4
74,1,5,4,M,0
74,2,2,7,M,4
75,1,3,8,M,0
75,2,9,0,M,4
76,1,2,9,M,0
76,2,6,9,M,4
77,1,9,1,M,0
77,2,1,1,M,4
78,1,6,0,M,0
78,2,9,7,M,4
79,1,7,1,M,0
79,2,2,5,M,4
80,1,8,7,M,0
80,2,1,6,M,4
81,1,9,6,M,0
81,2,8,9,M,4
82,1,0,3,M,0
82,2,8,2,H,3
83,1,9,3,M,0
83,2,8,3,M,3
84,1,5,0,M,0
84,2,7,2,H,2
85,1,0,9,M,0
85,2,7,1,M,2
86,1,8,4,M,0
86,2,8,1,M,2
87,1,6,7,M,0
87,2,6,2,H,1
88,1,0,0,M,0
88,2,5,2,H,0
