Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,2,0,H,16
1,2,5,0,M,17
2,1,2,1,H,15
2,2,7,2,M,17
3,1,1,0,H,14
3,2,9,6,M,17
4,1,3,0,H,13
4,2,3,0,M,17
5,1,3,1,H,12
5,2,4,8,H,16
6,1,4,0,M,12
6,2,4,7,M,16
7,1,2,2,M,12
7,2,4,9,M,16
8,1,0,0,M,12
8,2,5,8,H,15
9,1,1,1,H,11
9,2,3,8,H,14
10,1,0,1,H,10
10,2,3,9,M,14
11,1,0,2,M,10
11,2,3,7,M,14
12,1,4,1,M,10
12,2,2,8,H,13
13,1,3,2,M,10
13,2,2,7,M,13
14,1,1,2,M,10
14,2,5,9,M,13
15,1,6,7,M,10
15,2,1,8,H,12
16,1,1,8,M,10
16,2,2,9,M,12
17,1,1,7,M,10
17,2,6,8,M,12
18,1,5,5,M,10
18,2,1,7,M,12
19,1,0,4,M,10
19,2,0,8,M,12
20,1,5,8,M,10
20,2,1,9,M,12
21,1,7,5,M,10
21,2,5,7,M,12
22,1,7,0,M,10
22,2,4,5,M,12
23,1,4,2,H,9
23,2,8,9,M,12
24,1,4,3,H,8
24,2,6,0,M,12
25,1,5,2,M,8
25,2,4,3,M,12
26,1,3,3,M,8
26,2,7,0,M,12
27,1,4,4,H,7
27,2,3,3,M,12
28,1,3,4,M,7
28,2,8,8,M,12
29,1,5,3,M,7
29,2,9,2,M,12
30,1,4,5,M,7
30,2,7,3,H,11
31,1,5,4,M,7
31,2,7,4,M,11
32,1,4,8,M,7
32,2,8,3,H,10
33,1,7,8,M,7
33,2,9,3,H,9
34,1,8,9,H,6
34,2,8,4,M,9
35,1,9,9,M,6
35,2,8,2,M,9
36,1,8,8,H,5
36,2,9,4,M,9
37,1,9,8,M,5
37,2,6,3,H,8
38,1,7,9,M,5
38,2,6,4,M,8
39,1,8,7,H,4
39,2,6,2,M,8
40,1,7,7,M,4
40,2,5,3,M,8
41,1,8,6,H,3
41,2,8,5,M,8
42,1,8,5,H,2
42,2,5,4,M,8
43,1,9,6,M,2
43,2,7,1,M,8
44,1,8,4,M,2
44,2,2,1,M,8
45,1,9,5,M,2
45,2,1,6,M,8
46,1,7,6,M,2
46,2,2,3,M,8
47,1,9,7,M,2
47,2,0,6,M,8
48,1,2,8,M,2
48,2,6,6,H,7
49,1,8,0,H,1
49,2,6,5,M,7
50,1,9,0,M,1
50,2,5,6,M,7
51,1,8,1,H,0
51,2,7,6,H,6
52,1,9,1,M,0
52,2,6,7,M,6
53,1,7,1,M,0
53,2,7,5,M,6
54,1,8,2,M,0
54,2,8,6,M,6
55,1,9,3,M,0
55,2,7,7,M,6
56,1,2,4,M,0
56,2,0,3,M,6
57,1,0,5,M,0
57,2,5,2,M,6
58,1,4,6,M,0
58,2,0,7,M,6
59,1,6,9,M,0
59,2,3,1,M,6
60,1,0,8,M,0
60,2,3,2,H,5
61,1,2,5,M,0
61,2,2,2,H,4
62,1,6,1,M,0
62,2,4,2,H,3
63,1,2,7,M,0
63,2,1,2,M,3
64,1,5,6,M,0
64,2,4,1,M,3
65,1,0,9,M,0
65,2,0,1,M,3
66,1,3,6,M,0
66,2,5,1,M,3
67,1,3,7,M,0
67,2,8,7,M,3
68,1,5,7,M,0
68,2,3,4,M,3
69,1,4,7,M,0
69,2,3,5,H,2
70,1,0,3,M,0
70,2,3,6,M,2
71,1,6,5,M,0
71,2,2,5,H,1
72,1,5,1,M,0
72,2,2,6,M,1
73,1,7,4,M,0
73,2,2,4,M,1
74,1,3,9,M,0
74,2,1,5,H,0
