Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,7,9,M,17
1,2,6,6,M,17
2,1,9,8,M,17
2,2,7,5,M,17
3,1,2,7,M,17
3,2,2,0,M,17
4,1,8,8,M,17
4,2,2,9,M,17
5,1,3,3,H,16
5,2,0,6,M,17
6,1,3,4,M,16
6,2,8,9,M,17
7,1,3,2,M,16
7,2,6,2,H,16
8,1,4,3,H,15
8,2,6,3,M,16
9,1,4,2,M,15
9,2,7,2,M,16
10,1,5,3,H,14
10,2,5,2,H,15
11,1,4,4,M,14
11,2,5,3,M,15
12,1,6,3,M,14
12,2,5,1,M,15
13,1,5,2,M,14
13,2,6,1,M,15
14,1,2,3,M,14
14,2,4,2,H,14
15,1,5,4,M,14
15,2,4,1,M,14
16,1,0,1,M,14
16,2,4,3,M,14
17,1,4,9,M,14
17,2,3,2,H,13
18,1,5,0,H,13
18,2,3,1,M,13
19,1,4,0,M,13
19,2,2,2,H,12
20,1,5,1,M,13
20,2,2,3,M,12
21,1,6,0,H,12
21,2,2,1,M,12
22,1,7,0,H,11
22,2,1,2,M,12
23,1,8,0,H,10
23,2,3,3,M,12
24,1,9,0,M,10
24,2,5,0,M,12
25,1,8,1,M,10
25,2,1,3,M,12
26,1,6,1,M,10
26,2,8,3,M,12
27,1,7,1,M,10
27,2,1,5,M,12
28,1,5,7,M,10
28,2,1,8,H,11
29,1,8,5,M,10
29,2,1,9,M,11
30,1,1,4,H,9
30,2,1,7,H,10
31,1,2,4,M,9
31,2,0,8,M,10
32,1,1,3,H,8
32,2,2,7,M,10
33,1,1,2,H,7
33,2,0,7,M,10
34,1,0,4,M,7
34,2,2,8,M,10
35,1,1,1,H,6
35,2,1,6,M,10
36,1,2,2,M,6
36,2,7,0,M,10
37,1,0,3,M,6
37,2,6,5,M,10
38,1,0,2,M,6
38,2,8,4,H,9
39,1,1,0,H,5
39,2,8,5,H,8
40,1,2,0,M,5
40,2,9,4,M,8
41,1,0,0,M,5
41,2,8,6,H,7
42,1,1,5,M,5
42,2,7,6,M,7
43,1,2,1,M,5
43,2,7,4,H,6
44,1,7,5,M,5
44,2,7,3,M,6
45,1,5,6,M,5
45,2,8,7,H,5
46,1,6,9,M,5
46,2,8,8,M,5
47,1,1,6,M,5
47,2,9,7,M,5
48,1,1,7,M,5
48,2,6,4,H,4
49,1,7,7,M,5
49,2,7,7,H,3
50,1,4,1,M,5
50,2,5,4,H,2
51,1,8,4,M,5
51,2,9,5,M,2
52,1,9,3,H,4
52,2,4,4,M,2
53,1,8,3,M,4
53,2,5,5,M,2
54,1,9,4,H,3
54,2,6,7,H,1
55,1,9,5,H,2
55,2,9,6,M,1
56,1,9,2,M,2
56,2,7,8,M,1
57,1,9,6,M,2
57,2,5,7,H,0
58,1,8,2,M,2
58,2,6,8,M,0
59,1,4,6,M,2
59,2,5,6,M,0
60,1,6,5,H,1
60,2,5,8,M,0
61,1,6,4,M,1
61,2,4,7,M,0
62,1,5,5,H,0
62,2,6,0,M,0
