Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,8,0,M,17
1,2,6,6,M,17
2,1,9,3,M,17
2,2,7,3,M,17
3,1,9,7,M,17
3,2,1,3,M,17
4,1,3,7,M,17
4,2,2,4,M,17
5,1,8,5,M,17
5,2,8,5,M,17
6,1,2,4,H,16
6,2,1,8,M,17
7,1,3,4,M,16
7,2,6,2,M,17
8,1,2,5,M,16
8,2,6,1,H,16
9,1,2,3,H,15
9,2,7,1,H,15
10,1,2,2,H,14
10,2,7,2,M,15
11,1,1,3,M,14
11,2,6,0,M,15
12,1,1,2,M,14
12,2,8,1,H,14
13,1,1,4,M,14
13,2,8,0,M,14
14,1,3,3,M,14
14,2,5,1,H,13
15,1,3,2,M,14
15,2,4,1,H,12
16,1,2,1,H,13
16,2,4,2,H,11
17,1,2,0,H,12
17,2,3,2,H,10
18,1,3,1,M,12
18,2,2,2,H,9
19,1,1,1,M,12
19,2,2,3,M,9
20,1,1,0,M,12
20,2,4,3,M,9
21,1,3,0,H,11
21,2,2,1,M,9
22,1,4,0,H,10
22,2,7,0,M,9
23,1,5,0,H,9
23,2,9,1,M,9
24,1,5,1,M,9
24,2,3,1,M,9
25,1,4,1,M,9
25,2,8,2,M,9
26,1,6,0,H,8
26,2,1,2,M,9
27,1,7,0,M,8
27,2,3,3,M,9
28,1,6,1,M,8
28,2,5,0,M,9
29,1,8,6,M,8
29,2,4,0,M,9
30,1,0,2,M,8
30,2,5,2,H,8
31,1,0,1,M,8
31,2,5,3,M,8
32,1,7,9,M,8
32,2,4,5,M,8
33,1,1,7,M,8
33,2,8,9,M,8
34,1,4,4,M,8
34,2,1,0,M,8
35,1,8,8,H,7
35,2,8,3,M,8
36,1,8,7,M,7
36,2,6,4,M,8
37,1,9,8,M,7
37,2,9,4,M,8
38,1,7,8,M,7
38,2,9,0,M,8
39,1,8,9,H,6
39,2,0,3,M,8
40,1,9,9,M,6
40,2,4,9,M,8
41,1,5,5,M,6
41,2,0,2,M,8
42,1,1,8,M,6
42,2,3,8,M,8
43,1,2,6,M,6
43,2,5,7,M,8
44,1,9,0,M,6
44,2,9,5,M,8
45,1,7,5,M,6
45,2,3,6,M,8
46,1,9,5,M,6
46,2,6,3,M,8
47,1,9,1,M,6
47,2,1,5,M,8
48,1,0,3,M,6
48,2,2,7,M,8
49,1,4,8,H,5
49,2,7,9,M,8
50,1,4,9,M,5
50,2,3,9,H,7
51,1,4,7,M,5
51,2,2,9,H,6
52,1,5,8,H,4
52,2,2,8,M,6
53,1,3,8,H,3
53,2,1,9,H,5
54,1,6,8,M,3
54,2,0,9,M,5
55,1,2,8,M,3
55,2,6,5,M,5
56,1,5,9,M,3
56,2,9,6,M,5
57,1,5,7,M,3
57,2,0,8,M,5
58,1,3,9,M,3
58,2,7,7,H,4
59,1,0,8,H,2
59,2,7,6,M,4
60,1,0,7,H,1
60,2,7,8,M,4
61,1,0,6,M,1
61,2,8,7,H,3
62,1,0,9,H,0
62,2,8,8,M,3
63,1,1,9,M,0
63,2,6,7,M,3
64,1,0,0,M,0
64,2,8,6,M,3
65,1,4,3,M,0
65,2,9,7,M,3
66,1,6,3,M,0
66,2,0,7,M,3
67,1,1,5,M,0
67,2,3,0,M,3
68,1,2,9,M,0
68,2,6,9,M,3
69,1,7,4,M,0
69,2,4,6,M,3
70,1,5,4,M,0
70,2,0,1,M,3
71,1,4,6,M,0
71,2,7,5,M,3
72,1,8,3,M,0
72,2,5,8,M,3
73,1,0,4,M,0
73,2,5,9,M,3
74,1,7,6,M,0
74,2,9,8,M,3
75,1,8,1,M,0
75,2,6,8,M,3
76,1,6,4,M,0
76,2,0,4,M,3
77,1,5,6,M,0
77,2,5,5,M,3
78,1,6,5,M,0
78,2,8,4,M,3
79,1,7,7,M,0
79,2,7,4,M,3
80,1,6,6,M,0
80,2,4,8,M,3
81,1,7,1,M,0
81,2,0,5,M,3
82,1,9,6,M,0
82,2,3,5,M,3
83,1,9,2,M,0
83,2,1,4,M,3
84,1,1,6,M,0
84,2,0,6,M,3
85,1,3,5,M,0
85,2,2,0,M,3
86,1,9,4,M,0
86,2,1,6,M,3
87,1,5,3,M,0
87,2,5,6,M,3
88,1,7,3,M,0
88,2,3,7,M,3
89,1,2,7,M,0
89,2,3,4,H,2
90,1,6,7,M,0
90,2,4,4,H,1
91,1,8,4,M,0
91,2,5,4,H,0
