Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,2,5,H,16
1,2,3,9,M,17
2,1,2,4,M,16
2,2,1,5,M,17
3,1,2,6,M,16
3,2,2,2,M,17
4,1,3,5,M,16
4,2,6,2,M,17
5,1,1,5,H,15
5,2,6,5,M,17
6,1,1,4,M,15
6,2,0,6,M,17
7,1,0,5,H,14
7,2,0,3,M,17
8,1,1,6,M,14
8,2,8,6,M,17
9,1,0,4,M,14
9,2,9,8,M,17
10,1,0,6,M,14
10,2,2,9,M,17
11,1,9,0,M,14
11,2,1,8,M,17
12,1,6,8,M,14
12,2,7,8,M,17
13,1,5,1,M,14
13,2,4,9,M,17
14,1,9,4,M,14
14,2,8,2,M,17
15,1,5,3,M,14
15,2,9,5,M,17
16,1,9,1,M,14
16,2,8,4,M,17
17,1,3,4,M,14
17,2,6,9,M,17
18,1,4,1,H,13
18,2,4,6,M,17
19,1,4,0,M,13
19,2,6,8,H,16
20,1,4,2,H,12
20,2,5,8,M,16
21,1,3,1,M,12
21,2,6,7,H,15
22,1,4,3,H,11
22,2,5,7,M,15
23,1,3,2,M,11
23,2,6,6,M,15
24,1,3,3,M,11
24,2,7,7,M,15
25,1,5,2,M,11
25,2,4,8,M,15
26,1,4,4,H,10
26,2,7,9,M,15
27,1,4,5,M,10
27,2,4,2,M,15
28,1,5,4,M,10
28,2,7,1,H,14
29,1,4,7,H,9
29,2,6,1,M,14
30,1,4,6,M,9
30,2,7,2,M,14
31,1,3,7,M,9
31,2,8,1,H,13
32,1,5,7,H,8
32,2,7,0,M,13
33,1,6,7,H,7
33,2,8,0,M,13
34,1,5,6,M,7
34,2,9,1,H,12
35,1,5,8,M,7
35,2,9,2,H,11
36,1,7,7,H,6
36,2,9,3,H,10
37,1,8,7,H,5
37,2,8,3,M,10
38,1,6,6,M,5
38,2,9,4,H,9
39,1,8,6,M,5
39,2,9,0,M,9
40,1,8,8,M,5
40,2,0,5,M,9
41,1,4,8,M,5
41,2,8,7,M,9
42,1,7,8,M,5
42,2,5,4,M,9
43,1,9,7,M,5
43,2,7,4,M,9
44,1,7,6,M,5
44,2,4,3,M,9
45,1,2,0,M,5
45,2,3,5,M,9
46,1,6,9,M,5
46,2,3,6,M,9
47,1,5,0,M,5
47,2,2,6,M,9
48,1,7,9,M,5
48,2,5,3,H,8
49,1,8,5,M,5
49,2,6,3,M,8
50,1,1,9,M,5
50,2,5,2,H,7
51,1,8,4,M,5
51,2,5,1,H,6
52,1,9,3,M,5
52,2,5,0,H,5
53,1,8,3,M,5
53,2,4,1,H,4
54,1,1,0,M,5
54,2,3,1,H,3
55,1,8,2,M,5
55,2,3,0,M,3
56,1,1,8,M,5
56,2,2,1,H,2
57,1,0,8,H,4
57,2,1,1,H,1
58,1,0,9,H,3
58,2,3,2,M,1
59,1,0,7,H,2
59,2,4,0,M,1
60,1,1,7,M,2
60,2,0,1,H,0
61,1,6,4,M,2
61,2,1,2,M,0
62,1,7,3,M,2
62,2,0,2,M,0
63,1,8,1,M,2
63,2,2,0,M,0
64,1,0,0,M,2
64,2,6,0,M,0
65,1,0,3,H,1
65,2,0,0,M,0
66,1,0,2,H,0
66,2,1,0,M,0
