Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,0,1,M,17
1,2,7,1,M,17
2,1,9,3,M,17
2,2,9,8,H,16
3,1,8,8,H,16
3,2,9,9,H,15
4,1,7,8,M,16
4,2,8,8,M,15
5,1,8,7,H,15
5,2,9,7,M,15
6,1,8,9,H,14
6,2,8,9,M,15
7,1,7,7,M,14
7,2,6,8,M,15
8,1,9,9,M,14
8,2,2,5,H,14
9,1,8,6,M,14
9,2,2,4,M,14
10,1,7,9,H,13
10,2,3,5,H,13
11,1,9,8,M,13
11,2,3,6,M,13
12,1,6,9,H,12
12,2,2,6,M,13
13,1,9,7,M,12
13,2,3,4,M,13
14,1,5,9,H,11
14,2,4,5,M,13
15,1,4,9,H,10
15,2,1,5,H,12
16,1,4,8,M,10
16,2,1,4,M,12
17,1,5,8,M,10
17,2,1,6,M,12
18,1,3,9,M,10
18,2,0,5,H,11
19,1,6,8,M,10
19,2,0,4,H,10
20,1,3,1,M,10
20,2,0,3,M,10
21,1,6,0,M,10
21,2,0,6,H,9
22,1,0,3,M,10
22,2,0,7,H,8
23,1,0,6,M,10
23,2,1,7,M,8
24,1,6,4,M,10
24,2,0,8,H,7
25,1,3,7,M,10
25,2,1,8,M,7
26,1,4,3,H,9
26,2,0,9,M,7
27,1,5,3,M,9
27,2,4,8,M,7
28,1,4,2,H,8
28,2,5,0,M,7
29,1,3,2,M,8
29,2,8,5,M,7
30,1,5,2,M,8
30,2,6,6,M,7
31,1,4,4,H,7
31,2,6,3,M,7
32,1,5,4,M,7
32,2,2,0,M,7
33,1,3,3,M,7
33,2,7,2,M,7
34,1,4,5,H,6
34,2,5,2,M,7
35,1,3,4,M,6
35,2,9,1,M,7
36,1,3,5,M,6
36,2,8,4,M,7
37,1,4,1,M,6
37,2,1,3,M,7
38,1,4,6,H,5
38,2,8,7,M,7
39,1,4,7,M,5
39,2,7,4,M,7
40,1,5,5,M,5
40,2,0,1,M,7
41,1,3,6,M,5
41,2,3,2,M,7
42,1,5,6,M,5
42,2,6,4,M,7
43,1,7,5,M,5
43,2,2,3,M,7
44,1,7,3,M,5
44,2,4,2,M,7
45,1,2,5,M,5
45,2,8,2,M,7
46,1,3,8,M,5
46,2,6,2,M,7
47,1,9,0,M,5
47,2,7,0,M,7
48,1,2,6,M,5
48,2,7,5,M,7
49,1,7,0,M,5
49,2,2,1,M,7
50,1,0,5,M,5
50,2,6,0,M,7
51,1,1,6,M,5
51,2,2,9,H,6
52,1,9,1,H,4
52,2,3,9,H,5
53,1,8,1,M,4
53,2,1,9,H,4
54,1,9,2,H,3
54,2,4,9,H,3
55,1,8,2,M,3
55,2,5,9,M,3
56,1,0,9,M,3
56,2,3,8,M,3
57,1,2,3,M,3
57,2,2,8,M,3
58,1,1,5,M,3
58,2,8,3,M,3
59,1,1,0,M,3
59,2,8,1,M,3
60,1,4,0,M,3
60,2,1,0,M,3
61,1,2,9,M,3
61,2,4,6,M,3
62,1,2,7,M,3
62,2,9,6,M,3
63,1,2,4,M,3
63,2,3,3,M,3
64,1,2,0,M,3
64,2,9,0,M,3
65,1,9,4,M,3
65,2,2,2,M,3
66,1,8,0,M,3
66,2,5,8,H,2
67,1,7,6,M,3
67,2,5,7,H,1
68,1,0,7,M,3
68,2,4,7,M,1
69,1,0,4,M,3
69,2,6,7,M,1
70,1,8,4,M,3
70,2,5,6,H,0
71,1,7,1,M,3
71,2,5,5,M,0
72,1,6,2,M,3
72,2,1,2,M,0
73,1,5,0,M,3
73,2,4,0,M,0
74,1,9,5,M,3
74,2,8,6,M,0
75,1,2,2,H,2
75,2,6,5,M,0
76,1,2,1,M,2
76,2,2,7,M,0
77,1,1,2,H,1
77,2,4,1,M,0
78,1,1,1,M,1
78,2,3,7,M,0
79,1,1,3,M,1
79,2,5,3,M,0
80,1,0,2,H,0
80,2,5,1,M,0
