Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,9,6,M,17
1,2,5,6,M,17
2,1,4,3,M,17
2,2,3,5,M,17
3,1,9,8,M,17
3,2,7,3,M,17
4,1,0,0,H,16
4,2,6,3,M,17
5,1,0,1,H,15
5,2,7,6,H,16
6,1,1,1,H,14
6,2,7,7,H,15
7,1,0,2,H,13
7,2,6,6,M,15
8,1,1,0,M,13
8,2,7,8,M,15
9,1,1,2,H,12
9,2,8,6,M,15
10,1,2,2,M,12
10,2,8,7,M,15
11,1,1,3,H,11
11,2,6,7,M,15
12,1,0,3,H,10
12,2,7,5,H,14
13,1,0,4,M,10
13,2,6,5,M,14
14,1,2,1,M,10
14,2,7,4,M,14
15,1,2,3,M,10
15,2,8,5,M,14
16,1,1,4,M,10
16,2,9,8,H,13
17,1,2,7,M,10
17,2,8,8,H,12
18,1,1,7,M,10
18,2,9,9,H,11
19,1,1,8,M,10
19,2,8,9,H,10
20,1,8,0,M,10
20,2,7,9,M,10
21,1,5,1,M,10
21,2,9,7,H,9
22,1,5,5,M,10
22,2,9,6,H,8
23,1,8,7,M,10
23,2,9,5,H,7
24,1,4,9,M,10
24,2,9,4,M,7
25,1,6,7,M,10
25,2,5,3,M,7
26,1,9,3,M,10
26,2,8,1,M,7
27,1,5,8,M,10
27,2,5,9,M,7
28,1,4,2,M,10
28,2,3,9,H,6
29,1,7,3,M,10
29,2,2,9,M,6
30,1,0,9,M,10
30,2,3,8,H,5
31,1,2,8,M,10
31,2,4,8,M,5
32,1,5,2,M,10
32,2,2,8,M,5
33,1,8,4,M,10
33,2,3,7,H,4
34,1,7,5,M,10
34,2,4,9,M,4
35,1,3,0,M,10
35,2,4,7,M,4
36,1,3,7,M,10
36,2,3,6,M,4
37,1,9,5,M,10
37,2,2,7,M,4
38,1,2,4,M,10
38,2,4,1,M,4
39,1,5,4,M,10
39,2,4,3,M,4
40,1,9,7,M,10
40,2,3,2,M,4
41,1,3,1,M,10
41,2,6,0,M,4
42,1,2,6,H,9
42,2,6,8,M,4
43,1,3,6,H,8
43,2,4,5,M,4
44,1,4,6,H,7
44,2,1,1,M,4
45,1,4,7,M,7
45,2,3,0,H,3
46,1,5,6,H,6
46,2,4,0,M,3
47,1,6,6,H,5
47,2,2,0,H,2
48,1,7,6,M,5
48,2,1,0,H,1
49,1,3,5,M,5
49,2,0,0,H,0
50,1,1,6,M,5
50,2,0,1,M,0
51,1,6,5,M,5
51,2,2,1,M,0
52,1,2,5,M,5
52,2,3,1,M,0
53,1,5,7,M,5
53,2,1,5,M,0
54,1,4,5,M,5
54,2,9,3,M,0
55,1,4,1,M,5
55,2,7,1,M,0
56,1,7,2,M,5
56,2,5,8,M,0
57,1,9,2,M,5
57,2,6,2,M,0
58,1,8,6,M,5
58,2,1,3,M,0
59,1,9,9,M,5
59,2,6,4,M,0
60,1,5,9,M,5
60,2,4,2,M,0
61,1,7,1,H,4
61,2,0,6,M,0
62,1,6,1,M,4
62,2,3,4,M,0
63,1,7,0,M,4
63,2,4,4,M,0
64,1,8,1,H,3
64,2,6,1,M,0
65,1,8,2,M,3
65,2,2,4,M,0
66,1,9,1,M,3
66,2,9,2,M,0
67,1,6,9,M,3
67,2,1,9,M,0
68,1,8,5,M,3
68,2,5,5,M,0
69,1,0,6,M,3
69,2,1,7,M,0
70,1,1,5,M,3
70,2,9,1,M,0
71,1,5,0,M,3
71,2,2,5,M,0
72,1,3,3,M,3
72,2,2,6,M,0
73,1,9,4,M,3
73,2,0,5,M,0
74,1,6,3,M,3
74,2,1,6,M,0
75,1,0,5,M,3
75,2,1,4,M,0
76,1,7,9,M,3
76,2,7,2,M,0
77,1,9,0,M,3
77,2,0,7,M,0
78,1,2,0,M,3
78,2,6,9,M,0
79,1,6,8,H,2
79,2,8,0,M,0
80,1,7,8,H,1
80,2,1,2,M,0
81,1,7,7,M,1
81,2,0,8,M,0
82,1,8,8,H,0
82,2,8,4,M,0
