Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,7,4,M,17
1,2,2,2,M,17
2,1,1,9,M,17
2,2,2,7,H,16
3,1,4,3,M,17
3,2,3,7,H,15
4,1,9,0,M,17
4,2,4,7,H,14
5,1,2,6,M,17
5,2,2,8,M,14
6,1,2,8,M,17
6,2,4,8,H,13
7,1,5,2,M,17
7,2,5,8,M,13
8,1,8,6,M,17
8,2,5,7,H,12
9,1,7,3,M,17
9,2,1,7,H,11
10,1,4,5,M,17
10,2,1,8,M,11
11,1,2,0,M,17
11,2,6,7,M,11
12,1,9,4,M,17
12,2,2,6,M,11
13,1,3,0,M,17
13,2,1,6,M,11
14,1,2,2,M,17
14,2,0,7,H,10
15,1,0,2,M,17
15,2,0,8,H,9
16,1,6,1,H,16
16,2,0,6,M,9
17,1,5,1,M,16
17,2,5,6,H,8
18,1,6,0,M,16
18,2,4,9,H,7
19,1,6,2,H,15
19,2,3,6,M,7
20,1,7,2,M,15
20,2,5,9,M,7
21,1,6,3,H,14
21,2,6,6,M,7
22,1,7,1,H,13
22,2,3,9,M,7
23,1,8,1,H,12
23,2,4,6,H,6
24,1,7,0,M,12
24,2,4,5,H,5
25,1,8,0,M,12
25,2,4,4,M,5
26,1,5,3,H,11
26,2,0,9,M,5
27,1,8,2,M,11
27,2,3,5,M,5
28,1,9,1,H,10
28,2,3,8,M,5
29,1,9,2,M,10
29,2,5,5,H,4
30,1,5,4,H,9
30,2,5,4,H,3
31,1,4,4,M,9
31,2,5,3,M,3
32,1,6,4,H,8
32,2,6,5,M,3
33,1,6,5,H,7
33,2,6,4,M,3
34,1,5,5,H,6
34,2,9,8,M,3
35,1,6,6,H,5
35,2,2,1,M,3
36,1,7,6,M,5
36,2,7,3,M,3
37,1,7,5,M,5
37,2,4,1,M,3
38,1,6,7,M,5
38,2,9,2,M,3
39,1,5,6,M,5
39,2,1,4,M,3
40,1,8,8,M,5
40,2,3,4,M,3
41,1,3,8,M,5
41,2,0,0,M,3
42,1,4,8,M,5
42,2,7,8,M,3
43,1,7,8,M,5
43,2,7,4,M,3
44,1,7,7,M,5
44,2,7,9,H,2
45,1,2,9,M,5
45,2,8,9,H,1
46,1,4,9,M,5
46,2,8,8,M,1
47,1,9,5,M,5
47,2,9,9,H,0
48,1,9,7,M,5
48,2,6,9,M,0
49,1,6,9,M,5
49,2,8,5,M,0
50,1,0,7,M,5
50,2,1,2,M,0
51,1,5,0,M,5
51,2,2,3,M,0
52,1,1,0,M,5
52,2,0,3,M,0
53,1,3,7,H,4
53,2,2,5,M,0
54,1,2,7,H,3
54,2,5,2,M,0
55,1,3,6,M,3
55,2,0,4,M,0
56,1,4,7,H,2
56,2,9,0,M,0
57,1,4,6,M,2
57,2,2,9,M,0
58,1,1,7,M,2
58,2,8,4,M,0
59,1,5,7,M,2
59,2,7,6,M,0
60,1,0,4,M,2
60,2,0,5,M,0
61,1,8,4,M,2
61,2,1,3,M,0
62,1,1,1,M,2
62,2,1,9,M,0
63,1,9,3,M,2
63,2,6,1,M,0
64,1,8,5,M,2
64,2,4,2,M,0
65,1,5,8,M,2
65,2,8,2,M,0
66,1,6,8,M,2
66,2,4,0,M,0
67,1,2,1,M,2
67,2,6,0,M,0
68,1,1,8,M,2
68,2,8,0,M,0
69,1,7,9,M,2
69,2,2,0,M,0
70,1,0,5,M,2
70,2,3,3,M,0
71,1,1,2,M,2
71,2,8,6,M,0
72,1,2,3,M,2
72,2,6,8,M,0
73,1,5,9,M,2
73,2,5,0,M,0
74,1,3,4,M,2
74,2,3,0,M,0
75,1,2,5,M,2
75,2,9,5,M,0
76,1,4,1,M,2
76,2,5,1,M,0
77,1,0,6,M,2
77,2,9,1,M,0
78,1,3,2,M,2
78,2,8,3,M,0
79,1,1,3,M,2
79,2,7,0,M,0
80,1,9,8,M,2
80,2,4,3,M,0
81,1,8,7,M,2
81,2,7,2,M,0
82,1,4,2,M,2
82,2,9,6,M,0
83,1,1,4,M,2
83,2,0,2,M,0
84,1,9,6,M,2
84,2,1,5,M,0
85,1,3,3,M,2
85,2,7,5,M,0
86,1,9,9,H,1
86,2,7,7,M,0
87,1,8,9,H,0
87,2,3,1,M,0
