Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,3,1,M,17
1,2,6,2,M,17
2,1,0,1,H,16
2,2,3,6,H,16
3,1,0,0,H,15
3,2,3,7,M,16
4,1,0,2,H,14
4,2,3,5,H,15
5,1,0,3,M,14
5,2,4,6,M,15
6,1,1,2,H,13
6,2,4,5,M,15
7,1,1,0,M,13
7,2,2,6,M,15
8,1,1,3,H,12
8,2,3,4,H,14
9,1,2,2,M,12
9,2,3,3,H,13
10,1,1,1,M,12
10,2,3,2,M,13
11,1,1,4,H,11
11,2,4,3,H,12
12,1,2,3,M,11
12,2,2,3,M,12
13,1,0,4,M,11
13,2,2,4,M,12
14,1,2,4,M,11
14,2,2,5,M,12
15,1,1,5,H,10
15,2,5,3,H,11
16,1,1,6,H,9
16,2,4,4,M,11
17,1,1,7,M,9
17,2,6,3,H,10
18,1,0,5,M,9
18,2,6,4,M,10
19,1,2,5,M,9
19,2,5,4,M,10
20,1,0,6,M,9
20,2,4,2,M,10
21,1,2,6,M,9
21,2,5,2,M,10
22,1,6,2,M,9
22,2,7,3,M,10
23,1,5,2,H,8
23,2,8,9,M,10
24,1,5,1,M,8
24,2,1,0,M,10
25,1,5,3,H,7
25,2,2,2,M,10
26,1,4,3,M,7
26,2,0,1,M,10
27,1,5,4,M,7
27,2,2,7,M,10
28,1,4,2,M,7
28,2,5,0,M,10
29,1,6,3,M,7
29,2,7,2,M,10
30,1,8,8,M,7
30,2,5,7,H,9
31,1,2,9,M,7
31,2,5,6,M,9
32,1,4,5,M,7
32,2,5,8,M,9
33,1,3,4,M,7
33,2,6,7,H,8
34,1,3,6,M,7
34,2,7,7,H,7
35,1,3,0,M,7
35,2,7,8,M,7
36,1,2,1,M,7
36,2,7,6,H,6
37,1,7,2,M,7
37,2,4,7,H,5
38,1,4,7,M,7
38,2,6,6,M,5
39,1,6,0,M,7
39,2,8,6,H,4
40,1,4,6,M,7
40,2,7,5,M,4
41,1,5,0,M,7
41,2,4,8,M,4
42,1,8,2,M,7
42,2,6,8,M,4
43,1,8,0,M,7
43,2,8,5,H,3
44,1,7,9,H,6
44,2,9,5,M,3
45,1,7,8,M,6
45,2,9,6,M,3
46,1,8,9,M,6
46,2,8,4,H,2
47,1,6,9,H,5
47,2,8,3,M,2
48,1,6,8,M,5
48,2,7,4,M,2
49,1,5,9,H,4
49,2,9,4,M,2
50,1,4,9,M,4
50,2,8,7,H,1
51,1,5,8,M,4
51,2,8,8,H,0
52,1,6,1,M,4
52,2,9,7,M,0
53,1,6,6,M,4
53,2,9,8,M,0
54,1,0,7,M,4
54,2,0,3,M,0
55,1,7,3,M,4
55,2,0,9,M,0
56,1,0,9,M,4
56,2,0,2,M,0
57,1,3,3,M,4
57,2,9,9,M,0
58,1,8,6,M,4
58,2,2,8,M,0
59,1,1,9,M,4
59,2,6,0,M,0
60,1,4,1,M,4
60,2,6,5,M,0
61,1,9,8,M,4
61,2,1,8,M,0
62,1,9,1,M,4
62,2,1,4,M,0
63,1,3,2,M,4
63,2,2,1,M,0
64,1,7,1,M,4
64,2,4,1,M,0
65,1,8,4,M,4
65,2,8,2,M,0
66,1,7,5,M,4
66,2,1,6,M,0
67,1,2,8,M,4
67,2,0,4,M,0
68,1,9,6,H,3
68,2,1,7,M,0
69,1,9,7,H,2
69,2,9,1,M,0
70,1,8,7,M,2
70,2,0,7,M,0
71,1,9,5,H,1
71,2,0,8,M,0
72,1,8,5,M,1
72,2,1,9,M,0
73,1,9,4,H,0
73,2,7,0,M,0
