Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,8,0,M,17
1,2,0,7,M,17
2,1,4,9,M,17
2,2,0,3,M,17
3,1,9,2,M,17
3,2,5,9,H,16
4,1,8,7,M,17
4,2,6,9,H,15
5,1,9,6,M,17
5,2,7,9,H,14
6,1,2,7,M,17
6,2,4,9,H,13
7,1,3,3,M,17
7,2,8,9,M,13
8,1,8,8,H,16
8,2,6,8,M,13
9,1,9,8,H,15
9,2,4,8,M,13
10,1,7,8,M,15
10,2,7,8,M,13
11,1,9,9,M,15
11,2,3,9,H,12
12,1,8,9,M,15
12,2,3,8,M,12
13,1,9,7,M,15
13,2,5,8,M,12
14,1,7,3,H,14
14,2,2,9,M,12
15,1,7,4,H,13
15,2,9,1,M,12
16,1,8,3,M,13
16,2,3,4,M,12
17,1,6,4,M,13
17,2,6,2,H,11
18,1,6,3,M,13
18,2,5,2,H,10
19,1,8,4,M,13
19,2,7,2,H,9
20,1,7,5,H,12
20,2,6,3,M,9
21,1,6,5,M,12
21,2,4,2,H,8
22,1,7,6,H,11
22,2,8,2,M,8
23,1,7,7,H,10
23,2,7,1,M,8
24,1,8,5,M,10
24,2,3,2,M,8
25,1,7,2,M,10
25,2,5,1,M,8
26,1,6,6,M,10
26,2,6,1,M,8
27,1,8,6,M,10
27,2,7,3,M,8
28,1,6,7,M,10
28,2,5,3,M,8
29,1,7,1,M,10
29,2,4,3,H,7
30,1,3,0,M,10
30,2,4,1,M,7
31,1,0,2,M,10
31,2,3,3,M,7
32,1,9,4,M,10
32,2,4,4,H,6
33,1,5,8,M,10
33,2,5,4,M,6
34,1,4,4,M,10
34,2,4,5,M,6
35,1,5,9,M,10
35,2,0,8,M,6
36,1,4,2,H,9
36,2,1,7,M,6
37,1,3,2,M,9
37,2,3,0,M,6
38,1,4,1,M,9
38,2,5,0,M,6
39,1,5,2,H,8
39,2,5,6,M,6
40,1,5,3,M,8
40,2,0,9,M,6
41,1,5,1,M,8
41,2,9,9,M,6
42,1,4,3,M,8
42,2,7,6,M,6
43,1,6,2,H,7
43,2,2,8,M,6
44,1,6,1,M,7
44,2,6,6,M,6
45,1,0,4,M,7
45,2,2,2,M,6
46,1,3,8,M,7
46,2,1,1,H,5
47,1,9,1,M,7
47,2,1,0,M,5
48,1,6,8,M,7
48,2,1,2,H,4
49,1,1,4,H,6
49,2,0,1,H,3
50,1,1,3,M,6
50,2,2,1,M,3
51,1,2,4,H,5
51,2,1,3,H,2
52,1,1,5,M,5
52,2,0,2,M,2
53,1,2,5,M,5
53,2,1,4,H,1
54,1,3,4,H,4
54,2,2,4,M,1
55,1,3,5,M,4
55,2,0,0,H,0
56,1,2,3,M,4
56,2,2,3,M,0
57,1,5,0,M,4
57,2,0,4,M,0
58,1,1,2,M,4
58,2,1,5,M,0
59,1,1,8,M,4
59,2,2,5,M,0
60,1,2,1,M,4
60,2,9,8,M,0
61,1,4,8,M,4
61,2,9,5,M,0
62,1,4,0,M,4
62,2,8,5,M,0
63,1,2,2,M,4
63,2,8,0,M,0
64,1,2,8,M,4
64,2,8,7,M,0
65,1,3,7,M,4
65,2,1,8,M,0
66,1,1,0,M,4
66,2,0,5,M,0
67,1,2,6,H,3
67,2,9,3,M,0
68,1,3,6,H,2
68,2,3,5,M,0
69,1,4,6,M,2
69,2,8,4,M,0
70,1,1,6,H,1
70,2,1,6,M,0
71,1,0,6,H,0
71,2,2,6,M,0
