Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,5,3,H,16
1,2,6,1,M,17
2,1,6,3,M,16
2,2,8,4,M,17
3,1,5,4,H,15
3,2,6,9,M,17
4,1,4,4,M,15
4,2,5,7,H,16
5,1,5,5,H,14
5,2,6,7,M,16
6,1,6,4,M,14
6,2,4,7,M,16
7,1,6,5,M,14
7,2,5,6,M,16
8,1,4,3,M,14
8,2,5,8,H,15
9,1,4,5,M,14
9,2,6,8,M,15
10,1,5,6,H,13
10,2,5,9,H,14
11,1,6,6,M,13
11,2,4,8,M,14
12,1,5,2,M,13
12,2,4,9,M,14
13,1,5,7,H,12
13,2,2,3,M,14
14,1,4,7,M,12
14,2,1,7,H,13
15,1,6,7,M,12
15,2,2,7,M,13
16,1,4,6,M,12
16,2,1,8,H,12
17,1,5,8,M,12
17,2,2,8,M,12
18,1,1,8,H,11
18,2,1,9,H,11
19,1,1,9,M,11
19,2,0,9,M,11
20,1,0,8,M,11
20,2,0,8,M,11
21,1,1,7,H,10
21,2,0,7,M,11
22,1,0,7,M,10
22,2,1,6,H,10
23,1,2,8,M,10
23,2,2,9,M,10
24,1,1,6,H,9
24,2,1,5,M,10
25,1,1,5,H,8
25,2,0,6,M,10
26,1,0,6,M,8
26,2,2,6,M,10
27,1,0,5,M,8
27,2,7,8,M,10
28,1,2,5,M,8
28,2,7,0,M,10
29,1,2,7,M,8
29,2,5,5,M,10
30,1,2,6,M,8
30,2,2,0,M,10
31,1,1,4,M,8
31,2,3,3,M,10
32,1,0,0,M,8
32,2,0,3,M,10
33,1,6,9,H,7
33,2,7,4,M,10
34,1,6,8,M,7
34,2,6,6,M,10
35,1,7,9,H,6
35,2,4,4,M,10
36,1,8,9,M,6
36,2,9,7,H,9
37,1,7,8,M,6
37,2,9,6,M,9
38,1,5,9,H,5
38,2,8,7,H,8
39,1,4,9,M,5
39,2,8,6,M,8
40,1,8,2,M,5
40,2,7,7,H,7
41,1,9,9,M,5
41,2,9,8,M,7
42,1,1,3,M,5
42,2,7,6,M,7
43,1,9,5,M,5
43,2,8,8,M,7
44,1,3,0,M,5
44,2,8,2,M,7
45,1,1,0,M,5
45,2,1,2,M,7
46,1,8,8,M,5
46,2,9,0,M,7
47,1,3,4,M,5
47,2,2,2,M,7
48,1,2,0,M,5
48,2,5,3,H,6
49,1,4,0,M,5
49,2,5,4,M,6
50,1,8,7,H,4
50,2,4,3,M,6
51,1,8,6,H,3
51,2,5,2,H,5
52,1,8,5,M,3
52,2,5,1,M,5
53,1,7,6,M,3
53,2,6,2,H,4
54,1,9,7,M,3
54,2,4,2,H,3
55,1,9,6,M,3
55,2,6,3,H,2
56,1,7,7,M,3
56,2,7,3,M,2
57,1,3,8,M,3
57,2,3,2,H,1
58,1,9,2,M,3
58,2,3,1,M,1
59,1,5,1,H,2
59,2,7,2,H,0
60,1,5,0,M,2
60,2,7,1,M,0
61,1,6,1,H,1
61,2,6,4,M,0
62,1,4,1,H,0
62,2,4,1,M,0
