Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,1,4,H,16
1,2,5,4,M,17
2,1,1,3,M,16
2,2,1,7,M,17
3,1,1,5,M,16
3,2,7,2,M,17
4,1,2,4,M,16
4,2,0,4,M,17
5,1,0,4,H,15
5,2,8,1,M,17
6,1,0,5,M,15
6,2,8,5,M,17
7,1,0,3,M,15
7,2,4,6,H,16
8,1,2,0,M,15
8,2,4,5,M,16
9,1,6,0,H,14
9,2,4,7,M,16
10,1,5,0,H,13
10,2,5,6,H,15
11,1,7,0,H,12
11,2,5,5,H,14
12,1,4,0,H,11
12,2,3,6,H,13
13,1,5,1,M,11
13,2,3,5,M,13
14,1,4,1,M,11
14,2,3,7,M,13
15,1,7,1,M,11
15,2,2,6,H,12
16,1,8,0,M,11
16,2,2,5,M,12
17,1,6,1,M,11
17,2,6,5,M,12
18,1,3,0,H,10
18,2,1,6,H,11
19,1,3,1,M,10
19,2,2,7,M,11
20,1,3,8,M,10
20,2,0,6,H,10
21,1,1,8,M,10
21,2,5,7,H,9
22,1,5,4,M,10
22,2,6,6,M,9
23,1,3,3,M,10
23,2,6,7,M,9
24,1,4,4,M,10
24,2,1,5,M,9
25,1,5,6,M,10
25,2,0,7,M,9
26,1,3,5,M,10
26,2,0,5,M,9
27,1,0,8,M,10
27,2,5,8,H,8
28,1,9,3,M,10
28,2,5,9,M,8
29,1,5,5,M,10
29,2,6,8,H,7
30,1,6,5,M,10
30,2,6,9,M,7
31,1,5,3,M,10
31,2,4,8,H,6
32,1,3,2,M,10
32,2,3,8,H,5
33,1,3,4,M,10
33,2,3,9,M,5
34,1,8,4,M,10
34,2,7,8,M,5
35,1,9,1,M,10
35,2,4,9,M,5
36,1,4,8,M,10
36,2,2,8,M,5
37,1,0,1,M,10
37,2,2,3,M,5
38,1,9,5,M,10
38,2,5,0,M,5
39,1,2,7,H,9
39,2,8,4,M,5
40,1,2,8,M,9
40,2,9,3,M,5
41,1,2,6,H,8
41,2,8,2,M,5
42,1,1,7,H,7
42,2,7,3,M,5
43,1,3,6,H,6
43,2,2,9,M,5
44,1,3,7,H,5
44,2,4,1,M,5
45,1,2,5,M,5
45,2,5,2,M,5
46,1,1,6,H,4
46,2,0,1,M,5
47,1,4,7,M,4
47,2,1,4,M,5
48,1,0,7,M,4
48,2,1,9,M,5
49,1,4,6,H,3
49,2,3,3,M,5
50,1,0,6,M,3
50,2,4,4,M,5
51,1,4,5,M,3
51,2,7,9,M,5
52,1,2,9,M,3
52,2,9,8,M,5
53,1,8,5,M,3
53,2,3,2,M,5
54,1,4,2,M,3
54,2,8,0,M,5
55,1,1,2,M,3
55,2,1,1,M,5
56,1,9,7,M,3
56,2,9,5,M,5
57,1,7,3,M,3
57,2,9,2,M,5
58,1,8,8,H,2
58,2,0,0,M,5
59,1,8,7,M,2
59,2,4,2,M,5
60,1,8,9,M,2
60,2,7,4,H,4
61,1,7,8,H,1
61,2,7,5,H,3
62,1,6,8,M,1
62,2,6,4,M,3
63,1,7,9,M,1
63,2,7,6,M,3
64,1,7,7,M,1
64,2,0,2,M,3
65,1,9,8,H,0
65,2,6,2,H,2
66,1,9,9,M,0
66,2,6,1,H,1
67,1,0,9,M,0
67,2,5,1,M,1
68,1,2,1,M,0
68,2,7,1,M,1
69,1,7,5,M,0
69,2,6,0,M,1
70,1,9,0,M,0
70,2,6,3,H,0
