Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,5,5,M,17
1,2,9,7,H,16
2,1,6,1,H,16
2,2,9,8,H,15
3,1,6,0,M,16
3,2,9,9,H,14
4,1,5,1,H,15
4,2,8,9,M,14
5,1,6,2,M,15
5,2,9,6,M,14
6,1,7,1,H,14
6,2,8,8,M,14
7,1,5,2,M,14
7,2,8,7,M,14
8,1,8,1,H,13
8,2,5,9,M,14
9,1,9,1,M,13
9,2,6,1,M,14
10,1,7,0,M,13
10,2,5,0,M,14
11,1,8,0,M,13
11,2,6,3,M,14
12,1,8,2,M,13
12,2,3,2,M,14
13,1,5,0,M,13
13,2,2,2,M,14
14,1,7,2,M,13
14,2,2,0,M,14
15,1,4,1,H,12
15,2,0,0,M,14
16,1,3,1,M,12
16,2,3,5,M,14
17,1,4,2,M,12
17,2,7,3,M,14
18,1,4,0,M,12
18,2,5,7,M,14
19,1,2,1,M,12
19,2,5,5,M,14
20,1,4,9,H,11
20,2,1,8,M,14
21,1,4,8,M,11
21,2,2,4,M,14
22,1,3,9,H,10
22,2,0,9,M,14
23,1,3,8,M,10
23,2,8,4,M,14
24,1,2,9,M,10
24,2,9,2,M,14
25,1,5,9,H,9
25,2,2,7,M,14
26,1,5,8,M,9
26,2,0,4,M,14
27,1,6,9,H,8
27,2,6,6,H,13
28,1,6,8,M,8
28,2,6,5,M,13
29,1,7,9,M,8
29,2,7,6,M,13
30,1,1,9,M,8
30,2,5,6,H,12
31,1,5,3,M,8
31,2,6,7,M,12
32,1,4,5,M,8
32,2,4,6,H,11
33,1,0,1,M,8
33,2,4,5,M,11
34,1,0,6,M,8
34,2,4,7,H,10
35,1,0,8,M,8
35,2,4,8,H,9
36,1,7,8,H,7
36,2,3,8,M,9
37,1,7,7,M,7
37,2,3,6,H,8
38,1,8,8,H,6
38,2,2,6,H,7
39,1,8,9,M,6
39,2,1,6,M,7
40,1,9,8,H,5
40,2,5,8,M,7
41,1,8,7,M,5
41,2,3,7,M,7
42,1,9,7,M,5
42,2,4,9,H,6
43,1,9,9,M,5
43,2,3,9,M,6
44,1,2,2,M,5
44,2,2,5,M,6
45,1,9,4,M,5
45,2,5,3,M,6
46,1,8,4,M,5
46,2,8,2,M,6
47,1,6,3,M,5
47,2,1,7,M,6
48,1,1,6,M,5
48,2,0,6,M,6
49,1,3,6,M,5
49,2,5,4,M,6
50,1,1,4,M,5
50,2,7,2,M,6
51,1,2,0,M,5
51,2,3,3,M,6
52,1,6,7,M,5
52,2,1,2,M,6
53,1,9,5,H,4
53,2,2,8,M,6
54,1,9,6,M,4
54,2,2,3,H,5
55,1,8,5,H,3
55,2,1,3,H,4
56,1,8,6,M,3
56,2,0,3,M,4
57,1,7,5,H,2
57,2,1,4,M,4
58,1,7,4,M,2
58,2,1,9,M,4
59,1,6,5,M,2
59,2,6,9,M,4
60,1,7,6,M,2
60,2,6,8,M,4
61,1,6,4,M,2
61,2,3,1,H,3
62,1,0,3,M,2
62,2,2,1,H,2
63,1,5,7,M,2
63,2,4,1,H,1
64,1,2,5,M,2
64,2,4,2,M,1
65,1,5,4,M,2
65,2,5,1,M,1
66,1,2,6,M,2
66,2,4,0,M,1
67,1,3,3,M,2
67,2,1,1,H,0
68,1,3,4,H,1
68,2,1,0,M,0
69,1,4,4,M,1
69,2,3,0,M,0
70,1,2,4,H,0
70,2,0,1,M,0
