Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,7,3,M,17
1,2,2,7,H,16
2,1,0,7,M,17
2,2,2,6,M,16
3,1,8,5,M,17
3,2,2,8,M,16
4,1,9,7,M,17
4,2,3,7,H,15
5,1,1,4,M,17
5,2,1,7,M,15
6,1,2,9,M,17
6,2,3,6,M,15
7,1,3,4,H,16
7,2,4,7,H,14
8,1,3,3,H,15
8,2,4,6,M,14
9,1,4,3,H,14
9,2,4,8,M,14
10,1,3,5,M,14
10,2,5,7,H,13
11,1,4,4,H,13
11,2,6,7,M,13
12,1,5,3,H,12
12,2,5,8,M,13
13,1,2,4,M,12
13,2,3,8,M,13
14,1,3,2,M,12
14,2,5,6,M,13
15,1,4,5,M,12
15,2,2,1,M,13
16,1,5,2,M,12
16,2,1,9,H,12
17,1,4,2,M,12
17,2,2,9,H,11
18,1,5,4,H,11
18,2,1,8,M,11
19,1,6,3,M,11
19,2,0,9,H,10
20,1,2,3,M,11
20,2,3,9,M,10
21,1,5,5,M,11
21,2,0,8,M,10
22,1,6,4,H,10
22,2,9,1,H,9
23,1,7,4,H,9
23,2,9,2,H,8
24,1,7,5,M,9
24,2,9,0,H,7
25,1,6,5,M,9
25,2,8,1,M,7
26,1,8,4,M,9
26,2,9,3,H,6
27,1,0,5,H,8
27,2,8,2,M,6
28,1,0,4,M,8
28,2,9,4,H,5
29,1,1,5,H,7
29,2,8,0,M,5
30,1,1,6,M,7
30,2,9,5,M,5
31,1,2,5,H,6
31,2,8,4,M,5
32,1,0,6,M,6
32,2,8,3,M,5
33,1,2,6,M,6
33,2,7,7,M,5
34,1,3,0,M,6
34,2,4,5,M,5
35,1,7,2,M,6
35,2,5,9,H,4
36,1,9,4,H,5
36,2,6,9,H,3
37,1,9,5,M,5
37,2,4,9,M,3
38,1,9,3,H,4
38,2,7,9,H,2
39,1,9,2,H,3
39,2,8,9,M,2
40,1,8,2,M,3
40,2,7,8,M,2
41,1,8,3,M,3
41,2,6,8,M,2
42,1,9,1,H,2
42,2,2,3,M,2
43,1,8,1,M,2
43,2,1,6,M,2
44,1,9,0,M,2
44,2,0,3,M,2
45,1,0,1,M,2
45,2,2,5,M,2
46,1,7,7,M,2
46,2,0,0,M,2
47,1,5,8,M,2
47,2,5,5,M,2
48,1,2,1,M,2
48,2,1,0,H,1
49,1,7,8,M,2
49,2,2,0,M,1
50,1,8,9,M,2
50,2,1,1,H,0
51,1,6,8,M,2
51,2,1,2,M,0
52,1,2,2,M,2
52,2,0,1,M,0
53,1,3,6,M,2
53,2,2,4,M,0
54,1,5,9,M,2
54,2,0,7,M,0
55,1,5,0,M,2
55,2,8,8,M,0
56,1,1,7,H,1
56,2,4,4,M,0
57,1,1,8,M,1
57,2,6,0,M,0
58,1,2,7,H,0
58,2,0,2,M,0
