Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,6,7,M,17
1,2,8,7,M,17
2,1,3,1,M,17
2,2,3,6,M,17
3,1,2,8,M,17
3,2,1,8,M,17
4,1,0,4,M,17
4,2,4,9,H,16
5,1,3,9,M,17
5,2,4,8,M,16
6,1,2,2,H,16
6,2,3,9,H,15
7,1,1,2,M,16
7,2,3,8,M,15
8,1,3,2,M,16
8,2,2,9,H,14
9,1,2,1,H,15
9,2,2,8,M,14
10,1,2,3,M,15
10,2,5,9,H,13
11,1,2,0,H,14
11,2,1,9,M,13
12,1,1,0,M,14
12,2,5,8,H,12
13,1,1,1,M,14
13,2,6,9,M,12
14,1,3,0,M,14
14,2,6,8,M,12
15,1,7,1,H,13
15,2,5,7,H,11
16,1,6,1,M,13
16,2,4,7,M,11
17,1,7,2,H,12
17,2,5,6,H,10
18,1,7,3,M,12
18,2,5,5,M,10
19,1,8,1,M,12
19,2,6,6,M,10
20,1,8,2,M,12
20,2,6,7,M,10
21,1,7,0,H,11
21,2,4,6,M,10
22,1,6,0,M,11
22,2,7,1,H,9
23,1,6,2,M,11
23,2,8,1,M,9
24,1,8,0,M,11
24,2,7,2,H,8
25,1,8,4,M,11
25,2,8,2,M,8
26,1,1,6,M,11
26,2,6,1,M,8
27,1,0,5,M,11
27,2,7,3,H,7
28,1,9,6,M,11
28,2,6,3,M,7
29,1,4,8,M,11
29,2,6,2,M,7
30,1,3,5,M,11
30,2,7,0,M,7
31,1,9,4,H,10
31,2,8,3,M,7
32,1,9,5,H,9
32,2,7,4,H,6
33,1,8,5,M,9
33,2,8,4,M,6
34,1,9,3,H,8
34,2,7,5,H,5
35,1,8,3,M,8
35,2,8,5,M,5
36,1,9,2,H,7
36,2,7,6,M,5
37,1,9,1,H,6
37,2,6,5,M,5
38,1,9,0,M,6
38,2,6,4,M,5
39,1,6,5,M,6
39,2,0,9,M,5
40,1,9,7,M,6
40,2,4,4,M,5
41,1,9,9,M,6
41,2,7,8,M,5
42,1,8,6,M,6
42,2,2,7,M,5
43,1,8,8,H,5
43,2,1,2,M,5
44,1,7,8,H,4
44,2,2,6,M,5
45,1,8,9,M,4
45,2,8,9,M,5
46,1,8,7,M,4
46,2,1,4,H,4
47,1,7,9,M,4
47,2,1,5,M,4
48,1,7,7,M,4
48,2,0,4,H,3
49,1,9,8,M,4
49,2,1,3,M,3
50,1,6,8,M,4
50,2,0,3,M,3
51,1,7,5,M,4
51,2,0,5,M,3
52,1,4,6,M,4
52,2,2,4,H,2
53,1,3,7,M,4
53,2,2,3,M,2
54,1,4,2,M,4
54,2,3,4,M,2
55,1,5,1,H,3
55,2,2,5,M,2
56,1,5,2,H,2
56,2,4,5,M,2
57,1,4,1,M,2
57,2,3,0,M,2
58,1,5,0,M,2
58,2,0,0,M,2
59,1,5,3,H,1
59,2,9,1,M,2
60,1,6,3,M,1
60,2,9,3,M,2
61,1,4,3,M,1
61,2,3,2,M,2
62,1,5,4,H,0
62,2,8,6,M,2
63,1,5,5,M,0
63,2,9,2,M,2
64,1,4,4,M,0
64,2,6,0,M,2
65,1,6,4,M,0
65,2,9,7,M,2
66,1,5,6,M,0
66,2,3,5,M,2
67,1,1,4,M,0
67,2,9,4,M,2
68,1,2,7,M,0
68,2,0,1,M,2
69,1,6,9,M,0
69,2,9,6,M,2
70,1,0,0,M,0
70,2,7,9,M,2
71,1,1,3,M,0
71,2,8,0,M,2
72,1,7,6,M,0
72,2,0,8,M,2
73,1,5,8,M,0
73,2,7,7,M,2
74,1,5,7,M,0
74,2,0,6,M,2
75,1,2,4,M,0
75,2,3,7,M,2
76,1,4,9,M,0
76,2,0,7,M,2
77,1,0,3,M,0
77,2,3,3,M,2
78,1,3,8,M,0
78,2,2,1,M,2
79,1,2,5,M,0
79,2,9,5,M,2
80,1,3,6,M,0
80,2,1,7,M,2
81,1,0,9,M,0
81,2,9,9,M,2
82,1,4,7,M,0
82,2,9,8,M,2
83,1,4,5,M,0
83,2,5,3,M,2
84,1,3,4,M,0
84,2,4,3,M,2
85,1,6,6,M,0
85,2,5,2,M,2
86,1,1,7,M,0
86,2,4,1,H,1
87,1,4,0,M,0
87,2,4,2,M,1
88,1,0,2,M,0
88,2,3,1,M,1
89,1,0,7,M,0
89,2,4,0,M,1
90,1,1,9,M,0
90,2,5,1,H,0
