Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,4,2,M,17
1,2,4,4,M,17
2,1,7,7,M,17
2,2,4,0,M,17
3,1,5,0,M,17
3,2,6,4,M,17
4,1,0,9,M,17
4,2,8,8,M,17
5,1,6,0,M,17
5,2,3,7,M,17
6,1,1,9,M,17
6,2,3,8,M,17
7,1,3,2,H,16
7,2,0,8,M,17
8,1,3,3,H,15
8,2,6,6,H,16
9,1,3,1,H,14
9,2,7,6,H,15
10,1,2,1,M,14
10,2,8,6,H,14
11,1,3,0,M,14
11,2,7,5,M,14
12,1,3,4,H,13
12,2,5,6,H,13
13,1,2,4,M,13
13,2,7,7,M,13
14,1,2,3,M,13
14,2,5,5,M,13
15,1,4,4,M,13
15,2,9,6,M,13
16,1,4,3,M,13
16,2,6,7,M,13
17,1,3,5,M,13
17,2,8,7,M,13
18,1,4,1,M,13
18,2,5,7,M,13
19,1,2,2,M,13
19,2,8,5,M,13
20,1,9,3,M,13
20,2,4,6,H,12
21,1,0,5,M,13
21,2,6,5,M,12
22,1,8,9,M,13
22,2,4,5,M,12
23,1,0,1,M,13
23,2,3,6,M,12
24,1,7,6,M,13
24,2,4,7,M,12
25,1,1,2,M,13
25,2,2,4,M,12
26,1,3,7,M,13
26,2,1,8,M,12
27,1,3,9,M,13
27,2,5,8,M,12
28,1,1,1,M,13
28,2,8,2,M,12
29,1,1,5,M,13
29,2,0,0,M,12
30,1,5,4,M,13
30,2,9,2,H,11
31,1,8,6,H,12
31,2,9,3,M,11
32,1,8,7,H,11
32,2,9,1,H,10
33,1,9,7,M,11
33,2,8,1,M,10
34,1,9,6,M,11
34,2,9,0,H,9
35,1,8,8,M,11
35,2,8,0,M,9
36,1,8,5,H,10
36,2,3,9,M,9
37,1,7,5,M,10
37,2,0,4,M,9
38,1,8,4,M,10
38,2,1,0,M,9
39,1,9,5,M,10
39,2,7,2,M,9
40,1,5,5,M,10
40,2,9,5,M,9
41,1,2,5,H,9
41,2,2,0,M,9
42,1,2,6,H,8
42,2,5,4,M,9
43,1,3,6,M,8
43,2,7,0,M,9
44,1,1,6,M,8
44,2,8,9,H,8
45,1,2,7,H,7
45,2,9,9,H,7
46,1,2,8,H,6
46,2,9,8,M,7
47,1,1,8,M,6
47,2,7,9,H,6
48,1,2,9,H,5
48,2,7,8,M,6
49,1,3,8,M,5
49,2,6,9,H,5
50,1,1,7,M,5
50,2,5,9,M,5
51,1,0,7,M,5
51,2,6,8,M,5
52,1,7,0,M,5
52,2,3,1,M,5
53,1,8,0,M,5
53,2,4,3,M,5
54,1,0,6,M,5
54,2,2,2,M,5
55,1,6,9,M,5
55,2,2,7,H,4
56,1,4,6,H,4
56,2,2,6,M,4
57,1,5,6,M,4
57,2,2,8,H,3
58,1,4,5,M,4
58,2,1,7,M,3
59,1,4,7,H,3
59,2,2,9,M,3
60,1,5,7,M,3
60,2,7,1,M,3
61,1,4,8,M,3
61,2,1,9,M,3
62,1,7,8,M,3
62,2,3,5,M,3
63,1,5,1,M,3
63,2,0,7,M,3
64,1,6,8,M,3
64,2,5,3,M,3
65,1,1,0,M,3
65,2,9,4,H,2
66,1,5,9,M,3
66,2,8,4,H,1
67,1,9,0,M,3
67,2,8,3,M,1
68,1,9,2,M,3
68,2,7,4,H,0
69,1,4,0,M,3
69,2,7,3,M,0
70,1,9,1,M,3
70,2,0,5,M,0
71,1,4,9,M,3
71,2,9,7,M,0
72,1,9,8,M,3
72,2,3,0,M,0
73,1,6,5,M,3
73,2,5,0,M,0
74,1,0,2,M,3
74,2,0,1,M,0
75,1,1,4,M,3
75,2,6,2,M,0
76,1,0,8,M,3
76,2,4,9,M,0
77,1,7,3,M,3
77,2,1,4,M,0
78,1,9,9,M,3
78,2,4,2,M,0
79,1,6,6,M,3
79,2,1,3,M,0
80,1,6,4,M,3
80,2,2,5,M,0
81,1,7,1,H,2
81,2,3,4,M,0
82,1,6,1,H,1
82,2,0,6,M,0
83,1,8,1,H,0
83,2,2,1,M,0
