Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,4,6,M,17
1,2,9,2,M,17
2,1,0,3,M,17
2,2,1,8,M,17
3,1,3,6,M,17
3,2,0,8,M,17
4,1,5,2,M,17
4,2,8,6,M,17
5,1,6,3,M,17
5,2,6,0,H,16
6,1,2,8,M,17
6,2,6,1,M,16
7,1,3,2,M,17
7,2,7,0,M,16
8,1,2,4,M,17
8,2,5,0,H,15
9,1,4,9,M,17
9,2,5,1,M,15
10,1,7,7,M,17
10,2,4,0,H,14
11,1,3,5,M,17
11,2,4,1,M,14
12,1,3,4,M,17
12,2,3,0,H,13
13,1,8,9,M,17
13,2,2,0,M,13
14,1,5,1,M,17
14,2,3,1,M,13
15,1,1,6,H,16
15,2,7,6,M,13
16,1,2,6,M,16
16,2,5,4,M,13
17,1,0,6,M,16
17,2,0,2,M,13
18,1,1,7,M,16
18,2,2,8,M,13
19,1,1,5,H,15
19,2,0,3,M,13
20,1,1,4,H,14
20,2,8,7,M,13
21,1,0,5,M,14
21,2,3,6,H,12
22,1,1,3,M,14
22,2,4,6,H,11
23,1,2,5,M,14
23,2,3,5,H,10
24,1,0,4,M,14
24,2,2,6,H,9
25,1,9,4,M,14
25,2,1,6,H,8
26,1,1,0,M,14
26,2,2,5,M,8
27,1,3,0,M,14
27,2,2,7,M,8
28,1,2,0,H,13
28,2,3,7,M,8
29,1,2,1,H,12
29,2,1,5,M,8
30,1,1,1,M,12
30,2,4,7,M,8
31,1,3,1,M,12
31,2,4,5,H,7
32,1,2,2,H,11
32,2,3,4,H,6
33,1,1,2,M,11
33,2,2,4,M,6
34,1,2,3,H,10
34,2,1,7,M,6
35,1,3,3,M,10
35,2,0,6,M,6
36,1,7,3,M,10
36,2,5,5,M,6
37,1,7,2,M,10
37,2,3,3,H,5
38,1,1,8,M,10
38,2,3,2,M,5
39,1,7,6,M,10
39,2,4,3,H,4
40,1,5,0,M,10
40,2,4,4,H,3
41,1,7,5,M,10
41,2,5,6,M,3
42,1,8,3,M,10
42,2,4,2,H,2
43,1,9,3,M,10
43,2,5,3,M,2
44,1,4,1,M,10
44,2,5,2,M,2
45,1,6,5,H,9
45,2,2,3,M,2
46,1,5,5,H,8
46,2,9,1,M,2
47,1,5,4,H,7
47,2,6,2,M,2
48,1,5,6,M,7
48,2,8,4,M,2
49,1,4,5,M,7
49,2,7,4,M,2
50,1,6,6,H,6
50,2,6,8,M,2
51,1,6,4,M,6
51,2,6,5,H,1
52,1,5,3,H,5
52,2,6,6,M,1
53,1,6,7,H,4
53,2,7,5,M,1
54,1,6,8,H,3
54,2,6,4,H,0
55,1,7,8,M,3
55,2,6,3,M,0
56,1,6,9,H,2
56,2,9,4,M,0
57,1,5,8,M,2
57,2,7,2,M,0
58,1,4,3,M,2
58,2,7,3,M,0
59,1,5,9,M,2
59,2,1,1,M,0
60,1,7,9,M,2
60,2,8,0,M,0
61,1,4,4,M,2
61,2,0,1,M,0
62,1,5,7,M,2
62,2,7,9,M,0
63,1,7,1,M,2
63,2,9,5,M,0
64,1,8,5,M,2
64,2,0,9,M,0
65,1,0,8,M,2
65,2,2,2,M,0
66,1,6,1,M,2
66,2,9,7,M,0
67,1,9,1,M,2
67,2,3,8,M,0
68,1,8,6,M,2
68,2,1,4,M,0
69,1,9,6,M,2
69,2,5,7,M,0
70,1,9,9,M,2
70,2,8,1,M,0
71,1,1,9,M,2
71,2,7,7,M,0
72,1,8,0,M,2
72,2,0,4,M,0
73,1,9,7,H,1
73,2,5,8,M,0
74,1,9,8,H,0
74,2,9,6,M,0
