Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,6,6,M,17
1,2,1,5,H,16
2,1,6,3,M,17
2,2,0,5,M,16
3,1,9,9,M,17
3,2,2,5,M,16
4,1,1,8,M,17
4,2,1,4,M,16
5,1,5,1,M,17
5,2,1,6,H,15
6,1,3,5,H,16
6,2,2,6,M,15
7,1,4,5,M,16
7,2,1,7,H,14
8,1,3,6,H,15
8,2,0,6,M,14
9,1,3,4,H,14
9,2,2,7,M,14
10,1,4,4,M,14
10,2,0,7,H,13
11,1,3,3,H,13
11,2,0,8,H,12
12,1,2,3,M,13
12,2,1,8,H,11
13,1,2,6,M,13
13,2,1,9,M,11
14,1,3,2,M,13
14,2,2,8,M,11
15,1,2,4,M,13
15,2,0,9,H,10
16,1,4,6,M,13
16,2,3,0,M,10
17,1,4,3,H,12
17,2,9,1,M,10
18,1,4,2,M,12
18,2,7,9,M,10
19,1,2,5,M,12
19,2,1,1,M,10
20,1,3,7,H,11
20,2,6,8,H,9
21,1,2,7,M,11
21,2,7,8,M,9
22,1,5,3,H,10
22,2,6,7,M,9
23,1,5,2,M,10
23,2,6,9,H,8
24,1,3,8,H,9
24,2,5,8,M,8
25,1,4,8,M,9
25,2,5,9,M,8
26,1,2,8,M,9
26,2,4,6,M,8
27,1,5,4,M,9
27,2,6,2,M,8
28,1,3,9,M,9
28,2,5,4,M,8
29,1,4,7,M,9
29,2,3,6,M,8
30,1,5,5,M,9
30,2,8,5,M,8
31,1,2,0,M,9
31,2,9,5,H,7
32,1,9,7,M,9
32,2,9,6,H,6
33,1,0,1,M,9
33,2,9,4,H,5
34,1,5,9,M,9
34,2,8,6,M,5
35,1,0,7,M,9
35,2,9,7,H,4
36,1,8,0,M,9
36,2,8,4,M,4
37,1,5,0,M,9
37,2,8,7,M,4
38,1,0,8,M,9
38,2,9,8,M,4
39,1,1,1,H,8
39,2,9,3,H,3
40,1,2,1,H,7
40,2,9,2,M,3
41,1,3,1,M,7
41,2,8,3,M,3
42,1,1,2,M,7
42,2,0,1,M,3
43,1,1,0,M,7
43,2,3,1,M,3
44,1,2,2,M,7
44,2,0,3,M,3
45,1,6,2,M,7
45,2,3,4,M,3
46,1,8,5,M,7
46,2,3,9,M,3
47,1,0,4,H,6
47,2,7,0,M,3
48,1,1,4,M,6
48,2,0,2,M,3
49,1,0,5,M,6
49,2,2,3,M,3
50,1,0,3,H,5
50,2,7,4,M,3
51,1,1,3,M,5
51,2,3,8,M,3
52,1,0,2,H,4
52,2,5,1,M,3
53,1,9,4,M,4
53,2,5,2,M,3
54,1,8,1,M,4
54,2,5,5,M,3
55,1,2,9,M,4
55,2,5,0,M,3
56,1,9,0,H,3
56,2,8,1,H,2
57,1,9,1,H,2
57,2,8,2,M,2
58,1,9,2,H,1
58,2,8,0,M,2
59,1,9,3,H,0
59,2,7,1,H,1
60,1,8,2,M,0
60,2,6,1,H,0
