Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,3,1,M,17
1,2,7,2,M,17
2,1,8,7,H,16
2,2,5,6,M,17
3,1,8,8,M,16
3,2,7,1,M,17
4,1,7,7,H,15
4,2,5,0,M,17
5,1,7,8,M,15
5,2,9,3,M,17
6,1,6,7,H,14
6,2,8,9,M,17
7,1,9,7,M,14
7,2,2,1,M,17
8,1,7,6,M,14
8,2,8,4,M,17
9,1,6,8,M,14
9,2,7,9,M,17
10,1,5,7,H,13
10,2,3,9,M,17
11,1,5,8,M,13
11,2,9,9,M,17
12,1,4,7,M,13
12,2,1,8,M,17
13,1,8,6,H,12
13,2,2,2,M,17
14,1,6,6,M,12
14,2,0,9,M,17
15,1,5,6,M,12
15,2,3,5,M,17
16,1,8,5,H,11
16,2,7,8,M,17
17,1,9,6,M,11
17,2,6,9,M,17
18,1,7,5,M,11
18,2,8,7,H,16
19,1,8,4,H,10
19,2,8,8,M,16
20,1,9,5,M,10
20,2,8,6,M,16
21,1,8,3,H,9
21,2,7,7,H,15
22,1,9,3,M,9
22,2,9,7,M,15
23,1,9,4,M,9
23,2,6,7,H,14
24,1,8,2,M,9
24,2,7,6,H,13
25,1,7,4,M,9
25,2,7,5,H,12
26,1,7,3,M,9
26,2,6,8,M,12
27,1,5,4,M,9
27,2,6,6,M,12
28,1,4,3,H,8
28,2,8,5,M,12
29,1,4,4,M,8
29,2,5,7,M,12
30,1,5,3,H,7
30,2,6,5,M,12
31,1,3,3,H,6
31,2,7,4,H,11
32,1,6,3,H,5
32,2,7,3,M,11
33,1,2,3,M,5
33,2,6,4,M,11
34,1,3,4,M,5
34,2,6,3,M,11
35,1,6,2,M,5
35,2,4,5,M,11
36,1,6,4,M,5
36,2,9,1,M,11
37,1,4,2,M,5
37,2,1,7,H,10
38,1,3,2,M,5
38,2,2,7,H,9
39,1,5,2,M,5
39,2,1,6,M,9
40,1,6,5,H,4
40,2,2,6,M,9
41,1,5,5,H,3
41,2,0,7,M,9
42,1,4,5,H,2
42,2,2,8,M,9
43,1,3,5,H,1
43,2,3,7,H,8
44,1,4,6,M,1
44,2,3,8,M,8
45,1,3,6,M,1
45,2,4,7,H,7
46,1,2,5,H,0
46,2,4,6,M,7
47,1,2,4,M,0
47,2,3,6,M,7
48,1,1,5,M,0
48,2,4,8,M,7
49,1,2,6,M,0
49,2,2,9,M,7
50,1,5,1,M,0
50,2,9,6,M,7
51,1,2,7,M,0
51,2,1,0,M,7
52,1,3,9,M,0
52,2,6,1,M,7
53,1,0,8,M,0
53,2,5,9,M,7
54,1,5,0,M,0
54,2,6,2,M,7
55,1,4,0,M,0
55,2,1,9,M,7
56,1,0,3,M,0
56,2,5,2,H,6
57,1,0,1,M,0
57,2,5,3,H,5
58,1,1,4,M,0
58,2,5,4,H,4
59,1,6,0,M,0
59,2,5,5,H,3
60,1,8,0,M,0
60,2,4,4,M,3
61,1,6,9,M,0
61,2,4,2,M,3
62,1,8,9,M,0
62,2,4,3,M,3
63,1,0,9,M,0
63,2,5,1,H,2
64,1,6,1,M,0
64,2,4,1,H,1
65,1,8,1,M,0
65,2,4,0,M,1
66,1,7,0,M,0
66,2,3,1,H,0
