Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,1,6,M,17
1,2,3,5,M,17
2,1,7,5,H,16
2,2,3,8,M,17
3,1,6,5,M,16
3,2,4,3,M,17
4,1,8,5,M,16
4,2,8,5,H,16
5,1,7,6,M,16
5,2,7,5,M,16
6,1,7,4,H,15
6,2,8,4,H,15
7,1,7,3,H,14
7,2,9,4,M,15
8,1,7,2,M,14
8,2,8,3,H,14
9,1,6,3,M,14
9,2,8,6,H,13
10,1,8,4,M,14
10,2,7,6,M,13
11,1,6,4,M,14
11,2,8,2,M,13
12,1,8,3,M,14
12,2,7,4,M,13
13,1,8,9,M,14
13,2,8,7,M,13
14,1,1,5,M,14
14,2,7,3,M,13
15,1,0,9,M,14
15,2,9,3,M,13
16,1,1,3,M,14
16,2,9,6,M,13
17,1,0,4,M,14
17,2,9,5,M,13
18,1,6,9,M,14
18,2,6,1,M,13
19,1,1,8,M,14
19,2,3,9,H,12
20,1,3,2,M,14
20,2,4,9,H,11
21,1,1,7,M,14
21,2,4,8,H,10
22,1,0,5,H,13
22,2,4,7,H,9
23,1,0,6,H,12
23,2,2,9,M,9
24,1,0,7,H,11
24,2,4,6,M,9
25,1,0,8,M,11
25,2,5,8,M,9
26,1,1,0,M,11
26,2,5,9,H,8
27,1,6,0,M,11
27,2,3,7,M,8
28,1,3,7,M,11
28,2,5,7,M,8
29,1,9,3,M,11
29,2,6,9,H,7
30,1,4,4,M,11
30,2,7,9,H,6
31,1,5,9,M,11
31,2,6,8,M,6
32,1,7,8,M,11
32,2,7,8,M,6
33,1,1,4,M,11
33,2,8,9,M,6
34,1,2,6,M,11
34,2,1,2,H,5
35,1,4,5,M,11
35,2,2,2,M,5
36,1,6,6,M,11
36,2,1,1,H,4
37,1,3,5,M,11
37,2,0,2,M,4
38,1,9,8,M,11
38,2,0,1,M,4
39,1,2,5,M,11
39,2,1,3,H,3
40,1,5,1,M,11
40,2,2,1,M,3
41,1,9,7,M,11
41,2,1,4,M,3
42,1,7,7,M,11
42,2,1,0,M,3
43,1,4,9,M,11
43,2,2,3,M,3
44,1,5,0,M,11
44,2,0,3,M,3
45,1,1,9,M,11
45,2,1,6,M,3
46,1,8,0,M,11
46,2,0,9,M,3
47,1,5,8,H,10
47,2,5,2,M,3
48,1,5,7,H,9
48,2,2,0,M,3
49,1,6,8,H,8
49,2,3,2,M,3
50,1,6,7,M,8
50,2,2,8,M,3
51,1,4,8,H,7
51,2,8,8,M,3
52,1,5,6,H,6
52,2,2,7,M,3
53,1,4,7,M,6
53,2,3,1,M,3
54,1,3,8,H,5
54,2,0,4,M,3
55,1,4,6,M,5
55,2,9,0,M,3
56,1,5,5,H,4
56,2,6,4,M,3
57,1,5,4,H,3
57,2,6,7,M,3
58,1,5,3,M,3
58,2,9,9,M,3
59,1,3,9,M,3
59,2,3,4,M,3
60,1,2,8,H,2
60,2,5,3,M,3
61,1,2,9,M,2
61,2,1,7,M,3
62,1,2,7,M,2
62,2,7,7,M,3
63,1,9,2,M,2
63,2,6,6,M,3
64,1,1,2,M,2
64,2,6,3,M,3
65,1,7,1,M,2
65,2,0,0,M,3
66,1,7,9,M,2
66,2,3,0,M,3
67,1,0,3,M,2
67,2,2,6,M,3
68,1,9,0,M,2
68,2,5,4,M,3
69,1,4,0,M,2
69,2,1,8,M,3
70,1,9,5,M,2
70,2,7,0,H,2
71,1,9,9,M,2
71,2,7,1,M,2
72,1,8,1,M,2
72,2,6,0,H,1
73,1,2,0,M,2
73,2,8,0,H,0
74,1,8,8,M,2
74,2,5,0,M,0
75,1,3,0,M,2
75,2,8,1,M,0
76,1,8,6,M,2
76,2,5,6,M,0
77,1,8,7,M,2
77,2,4,5,M,0
78,1,6,2,M,2
78,2,7,2,M,0
79,1,9,1,M,2
79,2,5,1,M,0
80,1,1,1,M,2
80,2,9,7,M,0
81,1,2,1,H,1
81,2,2,4,M,0
82,1,3,1,M,1
82,2,0,6,M,0
83,1,2,2,H,0
83,2,9,8,M,0
