Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,3,1,M,17
1,2,3,9,M,17
2,1,5,4,M,17
2,2,2,9,M,17
3,1,8,7,M,17
3,2,2,5,M,17
4,1,3,5,M,17
4,2,6,4,M,17
5,1,4,3,M,17
5,2,5,0,M,17
6,1,4,5,M,17
6,2,3,8,M,17
7,1,4,7,M,17
7,2,0,7,M,17
8,1,3,2,M,17
8,2,1,5,M,17
9,1,7,0,M,17
9,2,1,6,M,17
10,1,6,7,M,17
10,2,1,8,M,17
11,1,9,7,M,17
11,2,2,4,M,17
12,1,2,9,M,17
12,2,2,2,M,17
13,1,7,8,M,17
13,2,8,7,M,17
14,1,6,8,M,17
14,2,4,9,H,16
15,1,0,7,M,17
15,2,5,9,H,15
16,1,4,9,H,16
16,2,4,8,M,15
17,1,3,9,H,15
17,2,6,9,H,14
18,1,4,8,H,14
18,2,5,8,M,14
19,1,5,8,H,13
19,2,7,9,H,13
20,1,3,8,H,12
20,2,8,9,H,12
21,1,5,9,H,11
21,2,8,8,M,12
22,1,5,7,M,11
22,2,6,8,M,12
23,1,3,7,M,11
23,2,9,9,M,12
24,1,2,8,H,10
24,2,7,8,M,12
25,1,1,8,H,9
25,2,1,4,M,12
26,1,6,9,H,8
26,2,1,3,M,12
27,1,7,9,M,8
27,2,8,6,M,12
28,1,1,9,M,8
28,2,0,5,M,12
29,1,1,7,M,8
29,2,8,0,M,12
30,1,2,7,M,8
30,2,1,7,M,12
31,1,0,8,M,8
31,2,1,2,M,12
32,1,7,6,M,8
32,2,5,3,H,11
33,1,8,4,H,7
33,2,6,3,M,11
34,1,8,3,M,7
34,2,5,2,H,10
35,1,8,5,H,6
35,2,6,2,M,10
36,1,9,5,H,5
36,2,4,3,M,10
37,1,9,4,H,4
37,2,5,1,H,9
38,1,9,3,H,3
38,2,6,1,M,9
39,1,7,4,M,3
39,2,5,4,M,9
40,1,7,5,M,3
40,2,4,2,M,9
41,1,9,6,M,3
41,2,4,1,M,9
42,1,9,2,M,3
42,2,0,9,M,9
43,1,8,6,H,2
43,2,0,0,M,9
44,1,3,0,M,2
44,2,5,5,M,9
45,1,8,2,M,2
45,2,6,7,M,9
46,1,5,1,M,2
46,2,9,4,M,9
47,1,2,5,M,2
47,2,9,7,M,9
48,1,2,2,M,2
48,2,3,3,H,8
49,1,5,6,M,2
49,2,3,4,H,7
50,1,0,9,M,2
50,2,3,5,M,7
51,1,8,1,M,2
51,2,3,2,H,6
52,1,9,9,M,2
52,2,3,1,H,5
53,1,4,4,M,2
53,2,2,1,M,5
54,1,3,4,M,2
54,2,4,4,M,5
55,1,3,3,M,2
55,2,2,3,M,5
56,1,9,1,M,2
56,2,3,0,M,5
57,1,0,0,M,2
57,2,9,3,M,5
58,1,5,2,M,2
58,2,1,0,M,5
59,1,2,6,M,2
59,2,9,8,M,5
60,1,4,0,M,2
60,2,8,2,M,5
61,1,3,6,M,2
61,2,0,3,M,5
62,1,9,8,M,2
62,2,3,7,M,5
63,1,6,5,M,2
63,2,6,0,M,5
64,1,7,7,M,2
64,2,0,8,M,5
65,1,8,9,M,2
65,2,7,3,M,5
66,1,0,6,M,2
66,2,5,6,M,5
67,1,1,1,M,2
67,2,5,7,M,5
68,1,1,6,M,2
68,2,4,7,M,5
69,1,5,5,M,2
69,2,2,8,M,5
70,1,1,2,M,2
70,2,0,1,M,5
71,1,0,1,M,2
71,2,1,1,M,5
72,1,1,3,M,2
72,2,9,1,M,5
73,1,6,1,M,2
73,2,2,0,M,5
74,1,4,6,M,2
74,2,6,5,H,4
75,1,8,0,M,2
75,2,6,6,M,4
76,1,6,0,M,2
76,2,7,5,H,3
77,1,5,3,M,2
77,2,7,6,M,3
78,1,1,4,M,2
78,2,7,4,M,3
79,1,6,2,M,2
79,2,8,5,H,2
80,1,9,0,M,2
80,2,8,4,M,2
81,1,2,3,M,2
81,2,9,5,M,2
82,1,0,5,M,2
82,2,3,6,M,2
83,1,6,4,H,1
83,2,8,3,M,2
84,1,6,3,H,0
84,2,0,2,M,2
85,1,7,3,M,0
85,2,4,0,M,2
86,1,0,3,M,0
86,2,9,2,M,2
87,1,1,0,M,0
87,2,8,1,M,2
88,1,0,4,M,0
88,2,7,1,H,1
89,1,8,8,M,0
89,2,7,2,H,0
