Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,5,5,M,17
1,2,6,7,M,17
2,1,3,7,M,17
2,2,1,0,M,17
3,1,0,1,M,17
3,2,3,0,M,17
4,1,9,7,M,17
4,2,9,9,M,17
5,1,6,0,M,17
5,2,1,4,M,17
6,1,2,7,H,16
6,2,2,8,M,17
7,1,1,7,M,16
7,2,0,0,M,17
8,1,2,8,H,15
8,2,2,7,M,17
9,1,2,6,H,14
9,2,2,5,M,17
10,1,1,6,M,14
10,2,7,1,M,17
11,1,3,8,M,14
11,2,1,8,M,17
12,1,1,8,M,14
12,2,5,5,H,16
13,1,2,9,H,13
13,2,6,5,H,15
14,1,2,5,H,12
14,2,6,4,M,15
15,1,3,9,M,12
15,2,7,5,H,14
16,1,1,9,M,12
16,2,7,6,M,14
17,1,1,5,M,12
17,2,8,5,H,13
18,1,3,6,H,11
18,2,8,4,M,13
19,1,2,4,M,11
19,2,8,6,H,12
20,1,4,6,H,10
20,2,9,5,M,12
21,1,4,5,M,10
21,2,6,6,M,12
22,1,5,6,H,9
22,2,8,7,H,11
23,1,4,7,M,9
23,2,5,6,M,11
24,1,6,6,H,8
24,2,8,8,H,10
25,1,7,6,M,8
25,2,7,8,M,10
26,1,6,7,M,8
26,2,5,4,M,10
27,1,5,7,M,8
27,2,8,9,M,10
28,1,6,5,M,8
28,2,7,7,M,10
29,1,3,5,M,8
29,2,9,6,H,9
30,1,7,2,M,8
30,2,9,7,H,8
31,1,0,0,M,8
31,2,9,8,H,7
32,1,5,1,M,8
32,2,7,4,M,7
33,1,7,4,M,8
33,2,4,5,H,6
34,1,0,9,M,8
34,2,4,6,M,6
35,1,8,8,M,8
35,2,4,4,M,6
36,1,4,9,M,8
36,2,3,5,H,5
37,1,0,6,H,7
37,2,3,4,M,5
38,1,0,7,H,6
38,2,3,6,M,5
39,1,0,5,H,5
39,2,7,0,M,5
40,1,0,4,H,4
40,2,2,0,M,5
41,1,0,8,M,4
41,2,2,4,M,5
42,1,0,3,M,4
42,2,3,8,M,5
43,1,1,4,H,3
43,2,1,7,M,5
44,1,1,3,M,3
44,2,0,5,M,5
45,1,6,8,M,3
45,2,8,0,M,5
46,1,4,0,M,3
46,2,3,2,M,5
47,1,3,3,M,3
47,2,5,2,M,5
48,1,5,0,M,3
48,2,5,3,M,5
49,1,4,8,M,3
49,2,4,0,H,4
50,1,7,3,M,3
50,2,5,0,M,4
51,1,4,3,M,3
51,2,4,1,H,3
52,1,9,0,H,2
52,2,4,2,H,2
53,1,8,0,M,2
53,2,4,3,M,2
54,1,9,1,H,1
54,2,3,1,M,2
55,1,8,1,M,1
55,2,5,1,M,2
56,1,9,2,H,0
56,2,4,8,M,2
57,1,8,2,M,0
57,2,6,2,M,2
58,1,9,3,M,0
58,2,6,0,M,2
59,1,6,3,M,0
59,2,2,3,M,2
60,1,8,6,M,0
60,2,0,1,M,2
61,1,9,9,M,0
61,2,0,3,M,2
62,1,7,8,M,0
62,2,0,6,M,2
63,1,3,0,M,0
63,2,0,7,M,2
64,1,2,1,M,0
64,2,1,1,M,2
65,1,9,6,M,0
65,2,6,8,M,2
66,1,8,4,M,0
66,2,2,9,M,2
67,1,5,3,M,0
67,2,1,3,M,2
68,1,5,2,M,0
68,2,9,3,M,2
69,1,1,1,M,0
69,2,1,2,M,2
70,1,7,1,M,0
70,2,0,2,M,2
71,1,1,2,M,0
71,2,1,5,M,2
72,1,5,4,M,0
72,2,6,1,M,2
73,1,2,3,M,0
73,2,0,9,M,2
74,1,2,0,M,0
74,2,8,1,M,2
75,1,0,2,M,0
75,2,2,2,M,2
76,1,7,9,M,0
76,2,5,8,M,2
77,1,2,2,M,0
77,2,1,9,M,2
78,1,6,4,M,0
78,2,3,9,M,2
79,1,8,5,M,0
79,2,7,3,M,2
80,1,7,0,M,0
80,2,2,1,M,2
81,1,5,9,M,0
81,2,2,6,M,2
82,1,3,4,M,0
82,2,3,7,M,2
83,1,8,3,M,0
83,2,9,1,H,1
84,1,4,4,M,0
84,2,9,2,M,1
85,1,5,8,M,0
85,2,9,0,H,0
