Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,8,5,M,17
1,2,1,1,M,17
2,1,9,0,H,16
2,2,3,3,H,16
3,1,9,1,H,15
3,2,2,3,H,15
4,1,8,1,M,15
4,2,2,2,M,15
5,1,8,0,M,15
5,2,4,3,M,15
6,1,9,2,H,14
6,2,1,3,H,14
7,1,9,3,H,13
7,2,0,3,H,13
8,1,9,4,H,12
8,2,0,4,M,13
9,1,8,3,H,11
9,2,1,4,M,13
10,1,8,2,H,10
10,2,1,2,M,13
11,1,7,3,H,9
11,2,3,2,M,13
12,1,6,3,H,8
12,2,0,2,M,13
13,1,7,4,M,8
13,2,2,4,M,13
14,1,6,2,H,7
14,2,3,4,M,13
15,1,6,1,M,7
15,2,6,3,M,13
16,1,8,4,H,6
16,2,3,8,M,13
17,1,6,4,M,6
17,2,6,7,M,13
18,1,7,2,M,6
18,2,3,0,M,13
19,1,9,5,M,6
19,2,9,7,M,13
20,1,5,2,H,5
20,2,0,8,M,13
21,1,4,2,H,4
21,2,2,6,M,13
22,1,5,3,H,3
22,2,4,7,H,12
23,1,5,4,M,3
23,2,4,8,M,12
24,1,4,3,M,3
24,2,3,7,H,11
25,1,5,1,M,3
25,2,2,7,H,10
26,1,3,2,H,2
26,2,2,8,M,10
27,1,2,2,M,2
27,2,3,6,M,10
28,1,3,1,M,2
28,2,1,7,M,10
29,1,3,3,M,2
29,2,4,6,M,10
30,1,4,1,M,2
30,2,5,7,M,10
31,1,2,0,M,2
31,2,0,1,M,10
32,1,8,6,M,2
32,2,2,9,M,10
33,1,8,8,M,2
33,2,4,1,M,10
34,1,0,7,M,2
34,2,4,2,M,10
35,1,1,9,M,2
35,2,9,5,M,10
36,1,5,5,M,2
36,2,8,0,H,9
37,1,9,7,M,2
37,2,7,0,H,8
38,1,1,1,M,2
38,2,8,1,M,8
39,1,2,7,M,2
39,2,9,0,M,8
40,1,5,7,M,2
40,2,6,0,H,7
41,1,4,6,M,2
41,2,5,0,H,6
42,1,1,3,M,2
42,2,4,0,H,5
43,1,1,7,M,2
43,2,6,1,M,5
44,1,2,6,M,2
44,2,5,1,M,5
45,1,4,9,M,2
45,2,7,1,M,5
46,1,1,0,M,2
46,2,6,4,M,5
47,1,7,0,M,2
47,2,6,2,M,5
48,1,6,8,M,2
48,2,0,7,M,5
49,1,5,0,M,2
49,2,6,5,M,5
50,1,9,9,M,2
50,2,8,8,H,4
51,1,0,9,M,2
51,2,7,8,M,4
52,1,3,6,M,2
52,2,8,9,M,4
53,1,4,4,M,2
53,2,9,8,H,3
54,1,9,6,M,2
54,2,8,7,M,3
55,1,3,7,M,2
55,2,9,9,M,3
56,1,3,8,M,2
56,2,3,5,M,3
57,1,6,6,M,2
57,2,4,4,M,3
58,1,0,1,M,2
58,2,6,6,M,3
59,1,1,8,M,2
59,2,8,3,M,3
60,1,5,6,M,2
60,2,6,8,M,3
61,1,4,0,M,2
61,2,2,0,M,3
62,1,3,9,M,2
62,2,0,5,M,3
63,1,7,6,M,2
63,2,7,4,M,3
64,1,2,9,M,2
64,2,5,3,M,3
65,1,0,0,M,2
65,2,7,2,M,3
66,1,0,3,M,2
66,2,7,5,M,3
67,1,0,6,M,2
67,2,5,5,M,3
68,1,2,3,M,2
68,2,5,9,M,3
69,1,5,8,M,2
69,2,2,1,M,3
70,1,3,0,M,2
70,2,0,6,M,3
71,1,2,5,M,2
71,2,0,0,M,3
72,1,6,9,M,2
72,2,1,5,M,3
73,1,3,4,M,2
73,2,4,5,M,3
74,1,6,5,M,2
74,2,8,4,M,3
75,1,7,7,M,2
75,2,2,5,M,3
76,1,8,9,M,2
76,2,7,3,M,3
77,1,7,1,M,2
77,2,8,6,M,3
78,1,4,7,M,2
78,2,8,2,M,3
79,1,1,5,M,2
79,2,9,3,H,2
80,1,7,9,M,2
80,2,9,4,M,2
81,1,1,6,M,2
81,2,9,2,H,1
82,1,7,5,M,2
82,2,9,1,H,0
83,1,2,8,M,2
83,2,3,9,M,0
84,1,6,7,M,2
84,2,1,9,M,0
85,1,4,5,M,2
85,2,5,8,M,0
86,1,3,5,M,2
86,2,5,2,M,0
87,1,9,8,M,2
87,2,1,6,M,0
88,1,6,0,M,2
88,2,7,9,M,0
89,1,2,1,M,2
89,2,7,7,M,0
90,1,4,8,M,2
90,2,0,9,M,0
91,1,0,2,H,1
91,2,1,8,M,0
92,1,1,2,H,0
92,2,7,6,M,0
