Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,2,8,H,16
1,2,1,0,H,16
2,1,2,9,M,16
2,2,1,1,H,15
3,1,3,8,M,16
3,2,2,1,H,14
4,1,2,7,M,16
4,2,2,2,M,14
5,1,1,8,H,15
5,2,1,2,M,14
6,1,0,8,M,15
6,2,0,0,M,14
7,1,1,7,M,15
7,2,2,0,H,13
8,1,1,9,M,15
8,2,0,1,M,13
9,1,6,2,M,15
9,2,3,0,H,12
10,1,6,5,M,15
10,2,3,1,H,11
11,1,0,4,M,15
11,2,3,2,M,11
12,1,6,0,M,15
12,2,4,1,M,11
13,1,7,4,M,15
13,2,4,0,M,11
14,1,4,4,M,15
14,2,0,3,M,11
15,1,3,2,M,15
15,2,5,7,M,11
16,1,5,1,M,15
16,2,3,4,M,11
17,1,3,4,M,15
17,2,6,1,H,10
18,1,7,8,M,15
18,2,6,2,H,9
19,1,1,1,M,15
19,2,5,2,M,9
20,1,7,3,M,15
20,2,6,0,M,9
21,1,0,9,M,15
21,2,6,3,M,9
22,1,5,9,M,15
22,2,5,1,M,9
23,1,0,0,M,15
23,2,7,2,M,9
24,1,2,0,M,15
24,2,7,1,M,9
25,1,9,2,M,15
25,2,4,6,H,8
26,1,8,5,H,14
26,2,4,5,H,7
27,1,8,4,H,13
27,2,5,5,M,7
28,1,9,4,H,12
28,2,4,7,H,6
29,1,8,6,H,11
29,2,4,4,H,5
30,1,7,6,M,11
30,2,5,6,M,5
31,1,9,3,H,10
31,2,3,5,M,5
32,1,9,6,M,10
32,2,5,4,M,5
33,1,7,5,M,10
33,2,3,7,M,5
34,1,8,7,H,9
34,2,4,8,H,4
35,1,9,7,M,9
35,2,4,3,M,4
36,1,7,7,M,9
36,2,5,8,H,3
37,1,9,5,H,8
37,2,3,8,H,2
38,1,8,8,H,7
38,2,2,8,M,2
39,1,8,3,H,6
39,2,4,9,M,2
40,1,9,8,M,6
40,2,3,6,M,2
41,1,8,9,M,6
41,2,5,9,M,2
42,1,8,2,H,5
42,2,6,8,H,1
43,1,8,1,H,4
43,2,7,8,H,0
44,1,8,0,H,3
44,2,6,7,M,0
45,1,7,2,M,3
45,2,3,9,M,0
46,1,7,1,M,3
46,2,7,7,M,0
47,1,9,1,M,3
47,2,6,9,M,0
48,1,9,0,M,3
48,2,8,8,M,0
49,1,7,0,M,3
49,2,7,9,M,0
50,1,5,2,H,2
50,2,9,9,M,0
51,1,4,2,M,2
51,2,1,7,M,0
52,1,5,3,H,1
52,2,8,2,M,0
53,1,6,3,M,1
53,2,9,1,M,0
54,1,5,4,H,0
54,2,7,5,M,0
