Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,1,9,M,17
1,2,2,1,M,17
2,1,5,5,M,17
2,2,9,4,M,17
3,1,0,9,M,17
3,2,2,4,M,17
4,1,0,3,M,17
4,2,3,7,M,17
5,1,7,5,M,17
5,2,0,3,M,17
6,1,0,2,M,17
6,2,3,2,H,16
7,1,3,6,H,16
7,2,3,3,M,16
8,1,3,7,M,16
8,2,4,2,H,15
9,1,3,5,M,16
9,2,4,3,M,15
10,1,4,6,H,15
10,2,2,2,M,15
11,1,5,6,M,15
11,2,5,2,H,14
12,1,2,6,H,14
12,2,5,3,M,14
13,1,2,7,M,14
13,2,3,1,M,14
14,1,4,7,M,14
14,2,5,1,M,14
15,1,2,5,M,14
15,2,6,2,H,13
16,1,4,5,M,14
16,2,6,1,M,13
17,1,1,6,H,13
17,2,7,2,H,12
18,1,1,5,M,13
18,2,7,1,M,12
19,1,0,6,H,12
19,2,4,1,M,12
20,1,0,5,M,12
20,2,8,2,M,12
21,1,1,7,M,12
21,2,7,3,M,12
22,1,0,7,M,12
22,2,6,3,M,12
23,1,5,9,H,11
23,2,3,9,M,12
24,1,6,9,M,11
24,2,2,7,M,12
25,1,5,8,M,11
25,2,0,7,M,12
26,1,4,9,H,10
26,2,6,8,M,12
27,1,3,9,M,10
27,2,2,6,M,12
28,1,4,8,M,10
28,2,5,0,M,12
29,1,7,7,M,10
29,2,2,3,M,12
30,1,7,9,M,10
30,2,5,9,M,12
31,1,2,3,M,10
31,2,0,1,M,12
32,1,6,1,M,10
32,2,7,0,M,12
33,1,1,2,M,10
33,2,0,6,M,12
34,1,0,1,M,10
34,2,2,0,M,12
35,1,7,8,M,10
35,2,7,6,M,12
36,1,6,8,M,10
36,2,1,3,H,11
37,1,8,3,M,10
37,2,1,2,H,10
38,1,8,0,M,10
38,2,0,2,M,10
39,1,8,2,M,10
39,2,1,1,M,10
40,1,3,8,M,10
40,2,1,4,H,9
41,1,6,2,M,10
41,2,0,4,M,9
42,1,5,0,M,10
42,2,1,5,M,9
43,1,6,6,M,10
43,2,4,5,H,8
44,1,1,0,M,10
44,2,4,6,M,8
45,1,8,8,M,10
45,2,4,4,M,8
46,1,7,2,M,10
46,2,3,5,H,7
47,1,8,1,M,10
47,2,3,6,M,7
48,1,3,3,M,10
48,2,2,5,M,7
49,1,2,0,M,10
49,2,3,4,M,7
50,1,4,2,M,10
50,2,5,5,H,6
51,1,2,9,M,10
51,2,5,4,H,5
52,1,8,6,H,9
52,2,6,4,H,4
53,1,9,6,M,9
53,2,6,5,M,4
54,1,8,7,M,9
54,2,5,6,M,4
55,1,8,5,H,8
55,2,7,4,M,4
56,1,9,5,M,8
56,2,8,5,H,3
57,1,7,6,M,8
57,2,8,6,H,2
58,1,8,4,H,7
58,2,9,5,M,2
59,1,9,4,M,7
59,2,8,4,H,1
60,1,7,4,M,7
60,2,9,6,M,1
61,1,0,0,M,7
61,2,8,7,M,1
62,1,1,1,M,7
62,2,7,5,M,1
63,1,0,8,M,7
63,2,8,3,H,0
64,1,9,2,M,7
64,2,9,3,M,0
65,1,5,2,M,7
65,2,6,0,M,0
66,1,4,1,H,6
66,2,7,7,M,0
67,1,4,0,M,6
67,2,4,8,M,0
68,1,5,1,H,5
68,2,9,1,M,0
69,1,3,1,H,4
69,2,4,9,M,0
70,1,2,1,M,4
70,2,4,0,M,0
71,1,3,0,M,4
71,2,9,2,M,0
72,1,3,2,M,4
72,2,6,9,M,0
73,1,4,4,M,4
73,2,6,6,M,0
74,1,7,1,M,4
74,2,5,8,M,0
75,1,9,3,M,4
75,2,9,7,M,0
76,1,1,4,H,3
76,2,5,7,M,0
77,1,0,4,H,2
77,2,2,9,M,0
78,1,2,4,H,1
78,2,1,0,M,0
79,1,1,3,M,1
79,2,0,8,M,0
80,1,3,4,H,0
80,2,0,9,M,0
