Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,0,5,M,17
1,2,3,8,M,17
2,1,2,2,M,17
2,2,3,7,M,17
3,1,1,3,M,17
3,2,9,1,M,17
4,1,8,4,M,17
4,2,0,0,M,17
5,1,6,4,M,17
5,2,9,8,M,17
6,1,3,9,M,17
6,2,5,6,M,17
7,1,8,9,M,17
7,2,3,6,M,17
8,1,8,2,M,17
8,2,7,1,M,17
9,1,7,4,H,16
9,2,2,3,H,16
10,1,7,5,H,15
10,2,3,3,M,16
11,1,7,6,H,14
11,2,2,2,M,16
12,1,8,6,H,13
12,2,1,3,M,16
13,1,7,7,H,12
13,2,2,4,H,15
14,1,8,7,H,11
14,2,3,4,M,15
15,1,6,7,H,10
15,2,1,4,M,15
16,1,6,5,M,10
16,2,2,5,H,14
17,1,7,8,M,10
17,2,3,5,M,14
18,1,5,7,H,9
18,2,2,6,H,13
19,1,8,8,M,9
19,2,1,5,M,13
20,1,9,7,M,9
20,2,2,7,H,12
21,1,6,6,H,8
21,2,1,7,M,12
22,1,5,8,M,8
22,2,2,8,M,12
23,1,9,6,M,8
23,2,1,6,H,11
24,1,4,7,H,7
24,2,0,6,H,10
25,1,3,7,H,6
25,2,0,5,M,10
26,1,4,6,H,5
26,2,0,7,M,10
27,1,4,8,M,5
27,2,1,2,M,10
28,1,4,5,M,5
28,2,4,8,M,10
29,1,7,3,H,4
29,2,7,4,M,10
30,1,7,2,M,4
30,2,3,9,M,10
31,1,3,8,M,4
31,2,8,3,M,10
32,1,5,6,H,3
32,2,8,6,M,10
33,1,5,5,M,3
33,2,0,8,M,10
34,1,6,3,M,3
34,2,5,8,M,10
35,1,6,8,M,3
35,2,2,9,M,10
36,1,3,6,H,2
36,2,6,5,H,9
37,1,8,5,M,2
37,2,6,6,H,8
38,1,8,3,M,2
38,2,7,6,M,8
39,1,2,7,M,2
39,2,5,5,H,7
40,1,2,6,M,2
40,2,6,7,M,7
41,1,3,5,H,1
41,2,5,4,H,6
42,1,3,4,H,0
42,2,4,4,M,6
43,1,2,4,M,0
43,2,4,5,M,6
44,1,3,3,M,0
44,2,5,3,H,5
45,1,4,4,M,0
45,2,7,5,M,5
46,1,2,5,M,0
46,2,4,3,M,5
47,1,9,3,M,0
47,2,6,3,M,5
48,1,7,9,M,0
48,2,5,2,H,4
49,1,1,1,M,0
49,2,6,4,H,3
50,1,6,1,M,0
50,2,4,2,M,3
51,1,9,4,M,0
51,2,6,2,H,2
52,1,6,9,M,0
52,2,6,1,M,2
53,1,9,9,M,0
53,2,7,2,H,1
54,1,1,8,M,0
54,2,7,3,M,1
55,1,3,0,M,0
55,2,5,1,M,1
56,1,0,3,M,0
56,2,8,2,H,0
