Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,7,9,H,16
1,2,0,1,H,16
2,1,8,9,M,16
2,2,0,0,M,16
3,1,7,8,H,15
3,2,1,1,H,15
4,1,8,8,M,15
4,2,1,2,M,15
5,1,7,7,H,14
5,2,1,0,M,15
6,1,6,9,M,14
6,2,0,2,M,15
7,1,6,7,M,14
7,2,2,1,M,15
8,1,6,8,M,14
8,2,3,5,H,14
9,1,7,6,H,13
9,2,4,5,M,14
10,1,6,6,M,13
10,2,2,5,M,14
11,1,8,7,M,13
11,2,3,6,H,13
12,1,8,6,M,13
12,2,4,6,H,12
13,1,7,5,H,12
13,2,3,7,H,11
14,1,6,5,M,12
14,2,5,6,M,11
15,1,8,5,M,12
15,2,3,8,M,11
16,1,7,4,M,12
16,2,3,4,H,10
17,1,1,5,H,11
17,2,2,6,M,10
18,1,0,5,H,10
18,2,4,4,M,10
19,1,1,4,H,9
19,2,3,3,H,9
20,1,0,6,M,9
20,2,4,3,M,9
21,1,2,5,M,9
21,2,3,2,M,9
22,1,1,6,M,9
22,2,2,4,M,9
23,1,1,3,H,8
23,2,2,7,M,9
24,1,1,2,M,8
24,2,4,7,H,8
25,1,0,3,H,7
25,2,4,8,H,7
26,1,0,4,H,6
26,2,5,8,M,7
27,1,0,2,M,6
27,2,2,3,M,7
28,1,2,3,M,6
28,2,5,7,M,7
29,1,2,4,M,6
29,2,4,9,M,7
30,1,5,5,M,6
30,2,7,6,H,6
31,1,3,2,M,6
31,2,7,5,H,5
32,1,3,7,M,6
32,2,6,6,M,5
33,1,0,9,M,6
33,2,8,6,M,5
34,1,4,6,M,6
34,2,8,5,M,5
35,1,9,9,M,6
35,2,7,4,H,4
36,1,2,8,H,5
36,2,8,4,M,4
37,1,2,7,M,5
37,2,6,4,M,4
38,1,1,8,M,5
38,2,7,7,M,4
39,1,3,8,H,4
39,2,7,3,M,4
40,1,4,8,H,3
40,2,6,5,M,4
41,1,5,8,H,2
41,2,8,0,M,4
42,1,2,9,M,2
42,2,6,2,M,4
43,1,3,9,M,2
43,2,9,7,M,4
44,1,4,7,M,2
44,2,6,8,M,4
45,1,5,9,M,2
45,2,9,5,M,4
46,1,5,7,M,2
46,2,7,9,M,4
47,1,4,9,M,2
47,2,6,3,M,4
48,1,9,6,M,2
48,2,9,8,M,4
49,1,4,5,M,2
49,2,1,5,M,4
50,1,8,3,M,2
50,2,4,0,H,3
51,1,4,1,M,2
51,2,4,1,M,3
52,1,9,8,M,2
52,2,3,0,M,3
53,1,5,4,M,2
53,2,5,0,H,2
54,1,4,0,M,2
54,2,6,0,H,1
55,1,7,1,M,2
55,2,6,1,M,1
56,1,6,2,M,2
56,2,7,0,H,0
57,1,7,2,M,2
57,2,5,1,M,0
58,1,9,3,M,2
58,2,7,1,M,0
59,1,4,3,H,1
59,2,6,7,M,0
60,1,3,3,M,1
60,2,8,7,M,0
61,1,4,4,M,1
61,2,0,8,M,0
62,1,5,3,H,0
62,2,3,9,M,0
