Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,2,7,M,17
1,2,3,0,M,17
2,1,9,6,M,17
2,2,6,0,M,17
3,1,8,1,H,16
3,2,9,3,M,17
4,1,7,1,H,15
4,2,7,4,H,16
5,1,6,1,H,14
5,2,6,4,H,15
6,1,9,1,H,13
6,2,6,3,H,14
7,1,8,0,M,13
7,2,6,2,H,13
8,1,9,0,H,12
8,2,6,1,M,13
9,1,6,0,M,12
9,2,8,4,M,13
10,1,6,2,M,12
10,2,7,3,H,12
11,1,8,2,M,12
11,2,7,2,H,11
12,1,7,2,M,12
12,2,5,3,M,11
13,1,9,2,M,12
13,2,6,5,H,10
14,1,5,1,H,11
14,2,8,3,M,10
15,1,5,0,H,10
15,2,5,4,H,9
16,1,4,0,M,10
16,2,7,1,H,8
17,1,7,0,M,10
17,2,7,5,H,7
18,1,5,2,H,9
18,2,8,1,M,7
19,1,5,3,H,8
19,2,5,5,M,7
20,1,4,2,M,8
20,2,7,6,M,7
21,1,6,3,M,8
21,2,4,4,H,6
22,1,4,3,M,8
22,2,8,2,M,6
23,1,5,4,H,7
23,2,3,4,M,6
24,1,4,4,M,7
24,2,4,3,M,6
25,1,4,1,M,7
25,2,8,5,M,6
26,1,5,5,M,7
26,2,5,2,M,6
27,1,6,4,H,6
27,2,4,5,M,6
28,1,6,5,M,6
28,2,7,0,M,6
29,1,7,4,H,5
29,2,6,6,M,6
30,1,7,5,M,5
30,2,4,1,M,6
31,1,8,4,H,4
31,2,5,1,M,6
32,1,9,4,H,3
32,2,9,2,M,6
33,1,8,5,M,3
33,2,0,8,H,5
34,1,7,3,M,3
34,2,0,9,H,4
35,1,9,3,M,3
35,2,1,9,M,4
36,1,9,5,M,3
36,2,0,7,H,3
37,1,8,3,M,3
37,2,0,6,M,3
38,1,1,1,M,3
38,2,1,7,M,3
39,1,5,7,M,3
39,2,1,8,M,3
40,1,3,7,M,3
40,2,2,0,M,3
41,1,5,9,M,3
41,2,9,7,H,2
42,1,3,4,M,3
42,2,9,6,H,1
43,1,1,6,M,3
43,2,9,5,M,1
44,1,1,3,M,3
44,2,8,6,M,1
45,1,0,2,M,3
45,2,9,8,H,0
46,1,3,9,M,3
46,2,8,7,M,0
47,1,8,7,M,3
47,2,8,8,M,0
48,1,8,6,M,3
48,2,9,9,M,0
49,1,2,9,M,3
49,2,2,6,M,0
50,1,2,6,M,3
50,2,8,9,M,0
51,1,1,8,M,3
51,2,2,5,M,0
52,1,2,2,M,3
52,2,1,6,M,0
53,1,0,6,M,3
53,2,1,1,M,0
54,1,5,8,H,2
54,2,5,7,M,0
55,1,6,8,H,1
55,2,7,8,M,0
56,1,7,8,H,0
56,2,4,7,M,0
