Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,8,1,M,17
1,2,0,2,M,17
2,1,2,5,M,17
2,2,6,9,H,16
3,1,1,4,M,17
3,2,7,9,H,15
4,1,4,8,H,16
4,2,7,8,M,15
5,1,5,8,H,15
5,2,6,8,M,15
6,1,5,7,M,15
6,2,5,9,H,14
7,1,3,8,H,14
7,2,5,8,H,13
8,1,3,7,M,14
8,2,5,7,M,13
9,1,5,9,M,14
9,2,4,8,H,12
10,1,3,9,M,14
10,2,8,9,M,12
11,1,4,7,M,14
11,2,4,9,M,12
12,1,2,8,H,13
12,2,4,7,M,12
13,1,2,7,M,13
13,2,3,8,H,11
14,1,4,9,M,13
14,2,3,9,H,10
15,1,1,8,M,13
15,2,3,7,M,10
16,1,2,9,M,13
16,2,2,9,H,9
17,1,6,8,M,13
17,2,1,9,M,9
18,1,6,1,M,13
18,2,2,8,H,8
19,1,5,3,H,12
19,2,2,7,M,8
20,1,4,3,H,11
20,2,1,8,M,8
21,1,5,4,H,10
21,2,6,4,H,7
22,1,5,5,M,10
22,2,7,4,M,7
23,1,6,4,H,9
23,2,6,5,H,6
24,1,6,3,M,9
24,2,5,5,M,6
25,1,4,2,H,8
25,2,7,5,M,6
26,1,4,1,H,7
26,2,6,6,H,5
27,1,3,2,M,7
27,2,6,7,M,5
28,1,5,1,M,7
28,2,7,6,M,5
29,1,6,5,M,7
29,2,6,3,M,5
30,1,4,4,H,6
30,2,5,6,M,5
31,1,3,3,M,6
31,2,5,4,M,5
32,1,3,4,M,6
32,2,7,1,M,5
33,1,4,0,H,5
33,2,1,2,M,5
34,1,5,0,M,5
34,2,8,3,M,5
35,1,7,4,H,4
35,2,1,4,M,5
36,1,3,1,M,4
36,2,1,0,M,5
37,1,5,2,M,4
37,2,0,7,M,5
38,1,4,5,M,4
38,2,4,3,M,5
39,1,3,0,M,4
39,2,9,7,M,5
40,1,7,3,M,4
40,2,8,2,M,5
41,1,8,4,H,3
41,2,3,3,M,5
42,1,7,5,M,3
42,2,8,1,M,5
43,1,8,5,M,3
43,2,9,5,M,5
44,1,9,4,M,3
44,2,2,5,M,5
45,1,8,3,M,3
45,2,9,3,M,5
46,1,2,3,M,3
46,2,7,2,M,5
47,1,7,1,M,3
47,2,7,7,M,5
48,1,6,0,M,3
48,2,0,1,M,5
49,1,8,7,M,3
49,2,9,2,M,5
50,1,8,0,M,3
50,2,8,7,M,5
51,1,4,6,M,3
51,2,3,4,M,5
52,1,1,7,M,3
52,2,8,6,M,5
53,1,2,6,M,3
53,2,7,3,M,5
54,1,0,0,M,3
54,2,0,9,M,5
55,1,8,8,M,3
55,2,4,2,M,5
56,1,0,9,M,3
56,2,1,5,M,5
57,1,1,3,M,3
57,2,3,5,M,5
58,1,9,2,M,3
58,2,9,4,M,5
59,1,1,9,M,3
59,2,8,0,H,4
60,1,3,6,M,3
60,2,7,0,H,3
61,1,0,6,M,3
61,2,6,0,H,2
62,1,1,6,M,3
62,2,9,0,H,1
63,1,1,2,M,3
63,2,9,1,M,1
64,1,7,9,M,3
64,2,6,1,M,1
65,1,5,6,M,3
65,2,5,0,H,0
66,1,2,1,M,3
66,2,4,0,M,0
67,1,9,3,M,3
67,2,5,1,M,0
68,1,9,8,M,3
68,2,4,6,M,0
69,1,0,5,H,2
69,2,5,3,M,0
70,1,1,5,M,2
70,2,4,5,M,0
71,1,0,4,H,1
71,2,1,7,M,0
72,1,0,3,H,0
72,2,1,1,M,0
