Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,2,5,H,16
1,2,4,2,M,17
2,1,1,5,M,16
2,2,5,2,M,17
3,1,2,4,H,15
3,2,4,6,M,17
4,1,3,4,M,15
4,2,6,7,H,16
5,1,2,6,H,14
5,2,6,8,H,15
6,1,2,7,H,13
6,2,6,6,H,14
7,1,2,3,M,13
7,2,7,7,M,14
8,1,1,6,M,13
8,2,7,6,M,14
9,1,3,6,M,13
9,2,6,5,H,13
10,1,1,7,M,13
10,2,7,5,M,13
11,1,3,7,M,13
11,2,7,8,M,13
12,1,2,8,M,13
12,2,6,9,H,12
13,1,1,4,M,13
13,2,5,9,M,12
14,1,3,5,M,13
14,2,5,7,H,11
15,1,0,5,M,13
15,2,4,7,H,10
16,1,4,0,M,13
16,2,3,7,H,9
17,1,2,0,H,12
17,2,2,7,M,9
18,1,1,0,H,11
18,2,7,9,M,9
19,1,2,1,M,11
19,2,5,8,M,9
20,1,3,0,M,11
20,2,5,6,M,9
21,1,1,1,M,11
21,2,5,5,M,9
22,1,0,0,H,10
22,2,3,6,M,9
23,1,0,1,M,10
23,2,6,4,M,9
24,1,8,9,M,10
24,2,4,8,M,9
25,1,0,8,M,10
25,2,3,8,M,9
26,1,8,7,M,10
26,2,4,4,M,9
27,1,5,2,M,10
27,2,3,3,H,8
28,1,0,4,M,10
28,2,4,3,M,8
29,1,8,1,H,9
29,2,2,3,H,7
30,1,9,1,M,9
30,2,3,4,M,7
31,1,8,2,H,8
31,2,2,2,M,7
32,1,8,0,H,7
32,2,3,2,M,7
33,1,9,0,M,7
33,2,1,3,M,7
34,1,8,3,H,6
34,2,2,4,M,7
35,1,7,2,M,6
35,2,5,4,M,7
36,1,7,1,M,6
36,2,6,1,M,7
37,1,7,0,M,6
37,2,8,9,M,7
38,1,7,3,M,6
38,2,9,2,M,7
39,1,9,2,M,6
39,2,0,5,M,7
40,1,8,4,H,5
40,2,8,0,M,7
41,1,7,4,M,5
41,2,6,3,M,7
42,1,9,4,M,5
42,2,5,1,M,7
43,1,9,3,M,5
43,2,8,8,M,7
44,1,8,5,M,5
44,2,6,0,M,7
45,1,4,2,M,5
45,2,0,4,M,7
46,1,6,9,M,5
46,2,4,9,M,7
47,1,0,7,M,5
47,2,8,2,M,7
48,1,4,3,H,4
48,2,9,1,M,7
49,1,3,3,H,3
49,2,4,5,M,7
50,1,3,2,M,3
50,2,1,5,H,6
51,1,4,4,M,3
51,2,1,6,H,5
52,1,5,3,M,3
52,2,1,7,H,4
53,1,6,2,M,3
53,2,0,7,M,4
54,1,4,1,M,3
54,2,2,5,M,4
55,1,5,6,M,3
55,2,2,6,M,4
56,1,0,6,M,3
56,2,0,6,M,4
57,1,3,1,M,3
57,2,1,4,M,4
58,1,7,8,M,3
58,2,1,8,M,4
59,1,4,7,M,3
59,2,3,1,M,4
60,1,9,9,M,3
60,2,5,3,M,4
61,1,9,6,M,3
61,2,8,5,M,4
62,1,5,5,M,3
62,2,9,4,M,4
63,1,6,3,M,3
63,2,9,7,M,4
64,1,5,1,M,3
64,2,5,0,M,4
65,1,9,8,M,3
65,2,3,0,M,4
66,1,1,3,M,3
66,2,6,2,M,4
67,1,6,5,M,3
67,2,8,3,M,4
68,1,5,7,M,3
68,2,8,6,M,4
69,1,3,8,M,3
69,2,0,1,M,4
70,1,2,9,M,3
70,2,3,5,M,4
71,1,9,5,M,3
71,2,4,1,M,4
72,1,7,9,M,3
72,2,3,9,M,4
73,1,4,9,M,3
73,2,0,2,M,4
74,1,4,6,M,3
74,2,9,9,M,4
75,1,5,4,M,3
75,2,8,4,M,4
76,1,5,8,H,2
76,2,4,0,M,4
77,1,6,8,H,1
77,2,0,3,M,4
78,1,4,8,H,0
78,2,2,9,M,4
79,1,5,9,M,0
79,2,2,0,M,4
80,1,6,7,M,0
80,2,1,2,M,4
81,1,6,6,M,0
81,2,7,4,M,4
82,1,9,7,M,0
82,2,7,0,H,3
83,1,2,2,M,0
83,2,7,1,H,2
84,1,6,0,M,0
84,2,8,1,M,2
85,1,1,8,M,0
85,2,7,2,H,1
86,1,0,9,M,0
86,2,7,3,H,0
