Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,9,0,M,17
1,2,7,6,H,16
2,1,1,5,H,16
2,2,8,6,M,16
3,1,1,4,M,16
3,2,7,5,M,16
4,1,0,5,M,16
4,2,7,7,M,16
5,1,1,6,M,16
5,2,6,6,H,15
6,1,2,5,H,15
6,2,5,6,H,14
7,1,2,4,H,14
7,2,5,5,M,14
8,1,3,5,M,14
8,2,6,7,M,14
9,1,3,4,M,14
9,2,5,7,M,14
10,1,2,3,H,13
10,2,6,5,M,14
11,1,3,3,M,13
11,2,4,6,H,13
12,1,2,2,H,12
12,2,4,5,M,13
13,1,1,3,M,12
13,2,3,6,M,13
14,1,3,2,M,12
14,2,4,7,M,13
15,1,2,6,M,12
15,2,5,9,M,13
16,1,2,1,H,11
16,2,6,9,M,13
17,1,2,0,H,10
17,2,6,3,M,13
18,1,1,2,M,10
18,2,8,5,M,13
19,1,1,1,M,10
19,2,6,1,M,13
20,1,1,0,M,10
20,2,4,8,M,13
21,1,3,1,M,10
21,2,7,9,M,13
22,1,3,0,M,10
22,2,1,8,M,13
23,1,0,2,M,10
23,2,2,1,M,13
24,1,8,0,H,9
24,2,3,7,M,13
25,1,7,0,H,8
25,2,0,8,H,12
26,1,6,0,H,7
26,2,0,9,H,11
27,1,8,1,M,7
27,2,1,9,M,11
28,1,5,0,M,7
28,2,0,7,H,10
29,1,6,1,H,6
29,2,1,7,M,10
30,1,6,2,H,5
30,2,0,6,H,9
31,1,5,2,H,4
31,2,0,5,H,8
32,1,5,3,H,3
32,2,0,4,M,8
33,1,6,3,H,2
33,2,1,5,M,8
34,1,6,4,M,2
34,2,1,6,M,8
35,1,4,2,M,2
35,2,4,0,M,8
36,1,7,1,M,2
36,2,2,8,M,8
37,1,7,3,M,2
37,2,2,7,M,8
38,1,5,1,M,2
38,2,7,4,M,8
39,1,4,3,M,2
39,2,9,6,H,7
40,1,7,2,M,2
40,2,9,5,M,7
41,1,5,4,H,1
41,2,9,7,H,6
42,1,5,5,H,0
42,2,8,7,M,6
43,1,4,5,M,0
43,2,9,8,H,5
44,1,5,6,M,0
44,2,8,8,M,5
45,1,4,4,M,0
45,2,9,9,M,5
46,1,6,5,M,0
46,2,6,0,M,5
47,1,4,7,M,0
47,2,2,0,M,5
48,1,7,6,M,0
48,2,0,1,M,5
49,1,0,3,M,0
49,2,1,2,H,4
50,1,0,0,M,0
50,2,1,3,M,4
51,1,9,3,M,0
51,2,2,2,H,3
52,1,8,7,M,0
52,2,0,2,H,2
53,1,5,8,M,0
53,2,2,3,M,2
54,1,7,4,M,0
54,2,0,3,M,2
55,1,0,4,M,0
55,2,3,2,M,2
56,1,6,7,M,0
56,2,1,1,M,2
57,1,5,7,M,0
57,2,2,6,M,2
58,1,2,9,M,0
58,2,8,0,M,2
59,1,8,2,M,0
59,2,2,9,M,2
60,1,6,6,M,0
60,2,8,1,M,2
61,1,9,5,M,0
61,2,9,4,M,2
62,1,8,6,M,0
62,2,6,2,M,2
63,1,0,8,M,0
63,2,4,2,M,2
64,1,7,7,M,0
64,2,3,1,M,2
65,1,5,9,M,0
65,2,8,4,M,2
66,1,3,7,M,0
66,2,8,2,M,2
67,1,0,1,M,0
67,2,5,2,M,2
68,1,9,7,M,0
68,2,7,3,H,1
69,1,0,7,M,0
69,2,7,2,H,0
