Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,2,7,H,16
1,2,9,6,H,16
2,1,2,6,H,15
2,2,8,6,M,16
3,1,2,8,M,15
3,2,9,7,H,15
4,1,1,7,M,15
4,2,9,8,H,14
5,1,1,6,M,15
5,2,8,8,M,14
6,1,3,7,M,15
6,2,8,7,M,14
7,1,3,6,M,15
7,2,9,5,M,14
8,1,2,5,H,14
8,2,9,9,H,13
9,1,2,4,M,14
9,2,8,9,M,13
10,1,3,5,M,14
10,2,5,2,H,12
11,1,1,5,M,14
11,2,5,3,M,12
12,1,1,0,M,14
12,2,4,2,H,11
13,1,7,2,M,14
13,2,4,1,M,11
14,1,7,0,M,14
14,2,4,3,M,11
15,1,1,2,H,13
15,2,3,2,H,10
16,1,0,2,M,13
16,2,3,3,M,10
17,1,2,2,H,12
17,2,5,1,H,9
18,1,2,1,H,11
18,2,3,1,M,9
19,1,1,3,M,11
19,2,5,0,M,9
20,1,1,1,M,11
20,2,6,1,M,9
21,1,3,2,H,10
21,2,2,2,H,8
22,1,4,2,H,9
22,2,2,1,M,8
23,1,2,0,M,9
23,2,6,2,M,8
24,1,4,1,M,9
24,2,2,3,M,8
25,1,4,3,M,9
25,2,1,2,M,8
26,1,5,2,M,9
26,2,7,9,M,8
27,1,3,3,M,9
27,2,3,9,M,8
28,1,3,1,H,8
28,2,7,7,M,8
29,1,2,3,M,8
29,2,4,9,M,8
30,1,3,0,M,8
30,2,1,4,M,8
31,1,5,0,M,8
31,2,1,7,M,8
32,1,1,4,M,8
32,2,1,5,M,8
33,1,4,7,M,8
33,2,3,4,M,8
34,1,8,7,M,8
34,2,0,2,M,8
35,1,8,8,M,8
35,2,9,3,M,8
36,1,6,4,H,7
36,2,7,0,M,8
37,1,7,4,M,7
37,2,4,7,M,8
38,1,6,5,H,6
38,2,4,6,M,8
39,1,5,4,M,6
39,2,6,8,M,8
40,1,6,3,M,6
40,2,5,5,H,7
41,1,5,5,M,6
41,2,5,6,H,6
42,1,7,5,M,6
42,2,6,5,M,6
43,1,6,6,H,5
43,2,5,4,H,5
44,1,7,6,M,5
44,2,5,7,M,5
45,1,5,6,M,5
45,2,6,6,M,5
46,1,6,7,H,4
46,2,4,5,M,5
47,1,6,8,H,3
47,2,4,4,M,5
48,1,5,7,M,3
48,2,6,4,M,5
49,1,7,7,M,3
49,2,7,1,M,5
50,1,7,8,M,3
50,2,0,8,M,5
51,1,6,9,M,3
51,2,4,8,M,5
52,1,5,8,M,3
52,2,0,3,H,4
53,1,0,8,M,3
53,2,1,3,M,4
54,1,0,1,M,3
54,2,0,4,H,3
55,1,9,1,H,2
55,2,0,5,H,2
56,1,8,1,M,2
56,2,0,6,H,1
57,1,9,2,H,1
57,2,0,7,H,0
58,1,8,2,M,1
58,2,1,6,M,0
59,1,9,3,M,1
59,2,1,1,M,0
60,1,9,0,H,0
60,2,1,0,M,0
