Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,2,9,M,17
1,2,2,0,M,17
2,1,9,3,H,16
2,2,8,4,M,17
3,1,3,0,M,16
3,2,3,1,M,17
4,1,6,8,M,16
4,2,6,0,M,17
5,1,0,7,M,16
5,2,0,6,M,17
6,1,9,4,M,16
6,2,2,4,M,17
7,1,5,1,H,15
7,2,8,2,M,17
8,1,4,3,M,15
8,2,8,3,M,17
9,1,2,2,M,15
9,2,3,5,H,16
10,1,4,6,M,15
10,2,3,0,M,16
11,1,8,7,M,15
11,2,0,5,M,16
12,1,5,4,M,15
12,2,3,7,M,16
13,1,8,0,M,15
13,2,6,9,M,16
14,1,6,2,M,15
14,2,0,9,M,16
15,1,9,2,M,15
15,2,4,3,M,16
16,1,1,2,M,15
16,2,4,0,M,16
17,1,0,3,M,15
17,2,5,7,M,16
18,1,3,6,M,15
18,2,0,8,M,16
19,1,2,0,M,15
19,2,6,1,M,16
20,1,5,7,M,15
20,2,4,1,M,16
21,1,1,0,M,15
21,2,1,6,M,16
22,1,5,5,M,15
22,2,7,6,H,15
23,1,8,6,M,15
23,2,7,2,M,15
24,1,7,6,M,15
24,2,3,4,H,14
25,1,7,3,H,14
25,2,7,3,M,14
26,1,9,9,M,14
26,2,1,9,M,14
27,1,0,6,M,14
27,2,6,8,M,14
28,1,4,7,M,14
28,2,9,7,M,14
29,1,7,5,M,14
29,2,4,4,M,14
30,1,4,0,M,14
30,2,9,2,M,14
31,1,1,1,M,14
31,2,9,4,M,14
32,1,3,8,M,14
32,2,3,9,M,14
33,1,9,0,M,14
33,2,8,0,M,14
34,1,2,6,M,14
34,2,2,8,H,13
35,1,5,3,M,14
35,2,9,6,M,13
36,1,6,7,M,14
36,2,8,1,H,12
37,1,5,6,M,14
37,2,6,6,M,12
38,1,2,5,M,14
38,2,0,2,H,11
39,1,0,8,M,14
39,2,9,5,M,11
40,1,2,7,M,14
40,2,5,3,M,11
41,1,8,5,M,14
41,2,6,3,M,11
42,1,3,9,M,14
42,2,7,5,M,11
43,1,2,8,M,14
43,2,9,1,M,11
44,1,0,0,M,14
44,2,2,2,M,11
45,1,0,2,H,13
45,2,0,7,M,11
46,1,1,4,H,12
46,2,6,7,M,11
47,1,2,1,H,11
47,2,1,3,M,11
48,1,1,6,H,10
48,2,0,4,M,11
49,1,9,5,M,10
49,2,1,7,M,11
50,1,7,9,M,10
50,2,3,6,H,10
51,1,7,2,M,10
51,2,1,8,M,10
52,1,9,7,H,9
52,2,3,2,H,9
53,1,2,3,M,9
53,2,3,8,M,9
54,1,6,9,M,9
54,2,2,6,H,8
55,1,3,4,M,9
55,2,9,0,M,8
56,1,9,1,M,9
56,2,6,5,M,8
57,1,3,7,M,9
57,2,1,4,M,8
58,1,8,1,M,9
58,2,4,6,M,8
59,1,0,4,M,9
59,2,1,1,M,8
60,1,1,8,M,9
60,2,5,2,M,8
61,1,1,5,H,8
61,2,8,5,M,8
62,1,8,9,M,8
62,2,3,3,H,7
63,1,6,6,M,8
63,2,9,8,M,7
64,1,7,7,M,8
64,2,4,7,M,7
65,1,7,1,M,8
65,2,7,7,H,6
66,1,4,5,M,8
66,2,0,0,H,5
67,1,3,2,M,8
67,2,4,8,M,5
68,1,5,9,M,8
68,2,5,8,M,5
69,1,4,9,M,8
69,2,5,1,M,5
70,1,8,3,H,7
70,2,7,8,H,4
71,1,8,2,M,7
71,2,0,3,M,4
72,1,0,5,M,7
72,2,6,2,M,4
73,1,0,1,H,6
73,2,8,7,M,4
74,1,0,9,M,6
74,2,7,0,M,4
75,1,7,8,M,6
75,2,2,5,M,4
76,1,7,0,M,6
76,2,8,9,M,4
77,1,5,8,M,6
77,2,6,4,M,4
78,1,6,1,H,5
78,2,1,0,M,4
79,1,1,3,H,4
79,2,8,6,M,4
80,1,6,3,M,4
80,2,4,2,M,4
81,1,6,0,M,4
81,2,4,9,M,4
82,1,1,9,M,4
82,2,7,9,M,4
83,1,5,0,M,4
83,2,2,1,M,4
84,1,2,4,M,4
84,2,5,9,M,4
85,1,6,4,M,4
85,2,1,5,M,4
86,1,7,4,M,4
86,2,4,5,M,4
87,1,4,4,M,4
87,2,2,9,H,3
88,1,3,3,M,4
88,2,7,1,H,2
89,1,3,1,H,3
89,2,0,1,H,1
90,1,6,5,M,3
90,2,5,5,M,1
91,1,8,4,M,3
91,2,5,6,M,1
92,1,9,8,H,2
92,2,5,4,M,1
93,1,4,1,H,1
93,2,8,8,M,1
94,1,4,2,M,1
94,2,9,9,M,1
95,1,5,2,M,1
95,2,2,7,H,0
96,1,9,6,H,0
96,2,5,0,M,0
