Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,2,7,M,17
1,2,8,3,M,17
2,1,8,4,M,17
2,2,0,3,M,17
3,1,3,1,M,17
3,2,5,5,M,17
4,1,4,2,H,16
4,2,7,8,M,17
5,1,2,5,M,16
5,2,6,4,M,17
6,1,5,5,M,16
6,2,5,0,M,17
7,1,6,6,M,16
7,2,6,6,M,17
8,1,2,3,M,16
8,2,6,0,H,16
9,1,9,5,H,15
9,2,1,2,M,16
10,1,8,6,M,15
10,2,2,1,M,16
11,1,3,9,M,15
11,2,1,7,M,16
12,1,7,2,M,15
12,2,4,8,M,16
13,1,5,8,M,15
13,2,3,6,H,15
14,1,7,6,M,15
14,2,3,9,M,15
15,1,0,1,M,15
15,2,9,8,M,15
16,1,9,4,H,14
16,2,4,5,M,15
17,1,7,5,H,13
17,2,4,9,M,15
18,1,0,0,M,13
18,2,6,8,M,15
19,1,1,7,M,13
19,2,6,5,M,15
20,1,1,0,M,13
20,2,4,4,M,15
21,1,6,8,M,13
21,2,9,7,M,15
22,1,1,5,M,13
22,2,3,5,H,14
23,1,4,1,H,12
23,2,8,9,M,14
24,1,7,3,H,11
24,2,8,5,M,14
25,1,5,1,H,10
25,2,5,9,M,14
26,1,9,9,M,10
26,2,9,4,M,14
27,1,4,7,M,10
27,2,2,2,M,14
28,1,8,5,M,10
28,2,4,0,H,13
29,1,6,7,M,10
29,2,5,2,M,13
30,1,3,5,M,10
30,2,0,7,M,13
31,1,0,2,M,10
31,2,4,7,M,13
32,1,2,9,M,10
32,2,3,1,M,13
33,1,1,1,M,10
33,2,1,3,M,13
34,1,0,5,M,10
34,2,2,4,M,13
35,1,3,6,M,10
35,2,9,3,M,13
36,1,2,8,M,10
36,2,9,9,M,13
37,1,7,1,H,9
37,2,9,1,M,13
38,1,0,4,M,9
38,2,3,8,H,12
39,1,9,1,H,8
39,2,0,8,M,12
40,1,3,3,M,8
40,2,2,7,M,12
41,1,6,1,H,7
41,2,2,6,M,12
42,1,5,7,M,7
42,2,9,2,M,12
43,1,2,4,M,7
43,2,9,6,M,12
44,1,2,6,M,7
44,2,6,9,M,12
45,1,7,4,H,6
45,2,4,3,M,12
46,1,4,6,H,5
46,2,4,6,M,12
47,1,8,9,M,5
47,2,2,3,M,12
48,1,2,1,M,5
48,2,7,0,H,11
49,1,3,2,M,5
49,2,7,5,M,11
50,1,1,2,M,5
50,2,6,7,H,10
51,1,8,3,M,5
51,2,3,4,H,9
52,1,3,7,M,5
52,2,2,0,H,8
53,1,8,2,M,5
53,2,7,7,H,7
54,1,4,9,M,5
54,2,5,4,M,7
55,1,2,2,M,5
55,2,7,9,M,7
56,1,7,8,M,5
56,2,1,5,M,7
57,1,7,0,M,5
57,2,0,6,M,7
58,1,1,6,M,5
58,2,6,3,M,7
59,1,5,9,M,5
59,2,5,7,H,6
60,1,4,8,M,5
60,2,0,0,M,6
61,1,6,4,M,5
61,2,3,0,H,5
62,1,3,4,M,5
62,2,5,3,M,5
63,1,5,4,M,5
63,2,9,5,M,5
64,1,9,7,H,4
64,2,4,2,H,4
65,1,8,7,M,4
65,2,8,0,M,4
66,1,0,8,M,4
66,2,7,2,M,4
67,1,9,3,M,4
67,2,1,4,M,4
68,1,1,4,M,4
68,2,6,2,M,4
69,1,5,6,M,4
69,2,0,9,M,4
70,1,0,9,M,4
70,2,3,3,M,4
71,1,6,0,M,4
71,2,6,1,M,4
72,1,0,6,M,4
72,2,7,1,M,4
73,1,8,1,H,3
73,2,2,8,M,4
74,1,8,0,M,3
74,2,4,1,H,3
75,1,6,3,M,3
75,2,2,9,M,3
76,1,5,3,M,3
76,2,1,9,M,3
77,1,0,3,M,3
77,2,7,3,M,3
78,1,4,5,H,2
78,2,2,5,M,3
79,1,7,7,M,2
79,2,8,6,M,3
80,1,1,8,M,2
80,2,3,2,M,3
81,1,6,2,M,2
81,2,1,1,M,3
82,1,7,9,M,2
82,2,8,1,M,3
83,1,3,0,M,2
83,2,0,4,M,3
84,1,5,0,M,2
84,2,1,0,H,2
85,1,9,2,M,2
85,2,0,2,M,2
86,1,1,9,M,2
86,2,8,7,H,1
87,1,4,0,M,2
87,2,7,4,M,1
88,1,4,3,M,2
88,2,1,8,M,1
89,1,1,3,M,2
89,2,8,4,M,1
90,1,9,8,M,2
90,2,7,6,M,1
91,1,0,7,M,2
91,2,8,2,M,1
92,1,9,6,H,1
92,2,3,7,H,0
93,1,6,5,M,1
93,2,0,5,M,0
94,1,5,2,M,1
94,2,8,8,M,0
95,1,2,0,M,1
95,2,0,1,M,0
96,1,3,8,M,1
96,2,1,6,M,0
97,1,6,9,M,1
97,2,5,1,M,0
98,1,8,8,M,1
98,2,5,6,M,0
99,1,4,4,H,0
99,2,5,8,M,0
