Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,4,8,M,17
1,2,4,5,M,17
2,1,1,6,M,17
2,2,7,9,M,17
3,1,8,1,M,17
3,2,8,1,H,16
4,1,0,6,M,17
4,2,5,0,M,16
5,1,9,4,M,17
5,2,3,9,M,16
6,1,9,5,M,17
6,2,9,9,M,16
7,1,4,0,H,16
7,2,8,5,M,16
8,1,1,1,M,16
8,2,0,9,M,16
9,1,5,2,M,16
9,2,7,2,M,16
10,1,8,9,M,16
10,2,0,2,M,16
11,1,8,5,M,16
11,2,1,8,M,16
12,1,1,7,H,15
12,2,1,4,M,16
13,1,8,7,M,15
13,2,6,8,M,16
14,1,6,5,M,15
14,2,0,7,H,15
15,1,9,8,M,15
15,2,2,8,M,15
16,1,2,4,M,15
16,2,0,1,M,15
17,1,7,5,M,15
17,2,2,2,M,15
18,1,7,2,M,15
18,2,6,7,M,15
19,1,8,0,M,15
19,2,4,2,M,15
20,1,8,4,M,15
20,2,9,7,M,15
21,1,4,6,M,15
21,2,1,0,M,15
22,1,6,9,M,15
22,2,4,0,M,15
23,1,2,7,H,14
23,2,2,1,M,15
24,1,6,0,H,13
24,2,8,9,M,15
25,1,5,8,M,13
25,2,2,5,M,15
26,1,3,1,M,13
26,2,8,7,M,15
27,1,3,6,M,13
27,2,3,3,M,15
28,1,1,0,M,13
28,2,0,8,H,14
29,1,3,7,H,12
29,2,3,7,H,13
30,1,6,8,M,12
30,2,2,3,M,13
31,1,7,9,M,12
31,2,3,8,H,12
32,1,8,2,M,12
32,2,1,6,M,12
33,1,0,0,M,12
33,2,7,4,M,12
34,1,3,3,M,12
34,2,6,3,M,12
35,1,4,1,M,12
35,2,6,1,M,12
36,1,7,4,M,12
36,2,6,5,M,12
37,1,2,8,M,12
37,2,9,5,M,12
38,1,6,7,M,12
38,2,7,1,H,11
39,1,2,6,M,12
39,2,5,2,M,11
40,1,4,9,M,12
40,2,9,1,H,10
41,1,0,4,M,12
41,2,7,8,M,10
42,1,6,2,M,12
42,2,2,4,M,10
43,1,9,9,M,12
43,2,1,3,M,10
44,1,6,4,M,12
44,2,6,4,M,10
45,1,3,0,H,11
45,2,0,6,H,9
46,1,7,6,H,10
46,2,9,2,M,9
47,1,0,5,M,10
47,2,6,2,M,9
48,1,0,1,M,10
48,2,8,0,M,9
49,1,6,6,H,9
49,2,1,1,M,9
50,1,2,2,M,9
50,2,1,7,M,9
51,1,8,8,M,9
51,2,1,9,M,9
52,1,1,3,M,9
52,2,4,8,M,9
53,1,0,3,H,8
53,2,0,4,M,9
54,1,1,4,M,8
54,2,3,2,H,8
55,1,5,3,M,8
55,2,4,6,M,8
56,1,2,9,M,8
56,2,1,2,M,8
57,1,5,4,M,8
57,2,8,3,M,8
58,1,5,0,H,7
58,2,7,7,M,8
59,1,4,3,M,7
59,2,4,4,M,8
60,1,5,1,M,7
60,2,3,0,H,7
61,1,6,1,M,7
61,2,0,0,M,7
62,1,9,2,H,6
62,2,8,8,M,7
63,1,4,7,M,6
63,2,8,2,M,7
64,1,1,8,M,6
64,2,2,6,M,7
65,1,0,7,M,6
65,2,4,9,M,7
66,1,9,7,M,6
66,2,9,0,M,7
67,1,9,6,H,5
67,2,2,9,M,7
68,1,7,3,M,5
68,2,5,9,M,7
69,1,9,1,H,4
69,2,3,4,M,7
70,1,7,1,M,4
70,2,2,0,M,7
71,1,6,3,M,4
71,2,0,3,M,7
72,1,8,6,H,3
72,2,6,6,M,7
73,1,0,2,H,2
73,2,7,6,M,7
74,1,7,8,M,2
74,2,3,6,M,7
75,1,2,5,M,2
75,2,8,4,M,7
76,1,7,0,M,2
76,2,5,5,H,6
77,1,3,9,M,2
77,2,9,3,M,6
78,1,2,3,M,2
78,2,9,8,M,6
79,1,4,2,M,2
79,2,4,3,M,6
80,1,5,5,M,2
80,2,4,1,M,6
81,1,7,7,M,2
81,2,5,8,M,6
82,1,9,0,M,2
82,2,5,7,H,5
83,1,1,9,M,2
83,2,7,3,M,5
84,1,3,2,M,2
84,2,6,9,M,5
85,1,2,0,H,1
85,2,9,6,M,5
86,1,5,6,M,1
86,2,3,1,H,4
87,1,3,8,M,1
87,2,0,5,H,3
88,1,4,5,M,1
88,2,8,6,M,3
89,1,9,3,H,0
89,2,7,0,M,3
90,1,1,5,M,0
90,2,7,5,M,3
91,1,2,1,M,0
91,2,1,5,M,3
92,1,8,3,M,0
92,2,5,4,H,2
93,1,0,9,M,0
93,2,6,0,M,2
94,1,1,2,M,0
94,2,4,7,M,2
95,1,4,4,M,0
95,2,5,3,H,1
96,1,5,9,M,0
96,2,5,6,H,0
