Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,2,1,M,17
1,2,9,7,M,17
2,1,4,5,M,17
2,2,1,2,M,17
3,1,5,7,M,17
3,2,1,7,M,17
4,1,8,5,M,17
4,2,7,3,M,17
5,1,6,6,H,16
5,2,3,6,M,17
6,1,7,0,H,15
6,2,1,5,M,17
7,1,3,0,M,15
7,2,1,8,M,17
8,1,5,1,M,15
8,2,9,5,M,17
9,1,4,1,M,15
9,2,8,8,H,16
10,1,2,0,M,15
10,2,3,2,H,15
11,1,5,4,M,15
11,2,3,8,H,14
12,1,1,2,M,15
12,2,3,1,H,13
13,1,8,4,M,15
13,2,9,4,M,13
14,1,5,0,M,15
14,2,9,8,M,13
15,1,9,0,H,14
15,2,5,4,M,13
16,1,5,3,M,14
16,2,2,2,H,12
17,1,6,9,M,14
17,2,0,4,M,12
18,1,7,4,M,14
18,2,4,2,M,12
19,1,7,6,H,13
19,2,2,6,M,12
20,1,4,2,M,13
20,2,4,1,M,12
21,1,1,3,M,13
21,2,6,7,M,12
22,1,8,8,M,13
22,2,8,6,H,11
23,1,1,9,H,12
23,2,6,6,M,11
24,1,0,9,M,12
24,2,6,9,M,11
25,1,2,7,M,12
25,2,7,0,M,11
26,1,3,8,H,11
26,2,9,1,M,11
27,1,5,2,M,11
27,2,5,7,M,11
28,1,9,2,M,11
28,2,0,6,H,10
29,1,3,7,M,11
29,2,6,3,M,10
30,1,6,4,M,11
30,2,8,0,M,10
31,1,9,1,M,11
31,2,7,2,M,10
32,1,9,9,M,11
32,2,5,5,M,10
33,1,2,5,M,11
33,2,4,3,M,10
34,1,7,9,M,11
34,2,3,3,H,9
35,1,7,2,M,11
35,2,8,9,H,8
36,1,0,7,M,11
36,2,8,3,M,8
37,1,3,1,M,11
37,2,4,8,H,7
38,1,4,3,M,11
38,2,7,7,M,7
39,1,1,1,M,11
39,2,9,2,M,7
40,1,5,6,H,10
40,2,7,9,M,7
41,1,9,3,M,10
41,2,2,7,M,7
42,1,9,6,H,9
42,2,6,5,M,7
43,1,0,1,M,9
43,2,4,9,M,7
44,1,8,9,M,9
44,2,7,6,M,7
45,1,5,9,M,9
45,2,3,7,M,7
46,1,5,8,H,8
46,2,8,5,H,6
47,1,6,0,M,8
47,2,6,1,M,6
48,1,7,1,M,8
48,2,0,1,M,6
49,1,1,7,M,8
49,2,4,0,M,6
50,1,1,0,M,8
50,2,6,0,M,6
51,1,0,2,M,8
51,2,3,4,M,6
52,1,1,8,M,8
52,2,8,7,H,5
53,1,8,1,M,8
53,2,1,6,M,5
54,1,9,4,H,7
54,2,0,5,H,4
55,1,7,3,M,7
55,2,0,0,M,4
56,1,3,4,M,7
56,2,0,2,M,4
57,1,6,3,M,7
57,2,0,3,M,4
58,1,4,9,H,6
58,2,9,3,M,4
59,1,8,0,H,5
59,2,5,2,M,4
60,1,8,6,H,4
60,2,1,1,M,4
61,1,6,8,M,4
61,2,3,9,M,4
62,1,8,7,M,4
62,2,6,4,M,4
63,1,3,5,M,4
63,2,2,8,H,3
64,1,1,4,M,4
64,2,7,4,M,3
65,1,0,0,M,4
65,2,8,2,M,3
66,1,6,1,M,4
66,2,9,0,M,3
67,1,0,3,M,4
67,2,2,3,H,2
68,1,9,7,M,4
68,2,0,9,M,2
69,1,0,4,M,4
69,2,3,0,M,2
70,1,1,5,M,4
70,2,8,1,M,2
71,1,4,6,M,4
71,2,1,0,M,2
72,1,4,4,M,4
72,2,4,5,M,2
73,1,8,2,M,4
73,2,9,9,M,2
74,1,2,8,M,4
74,2,2,9,M,2
75,1,3,3,M,4
75,2,7,5,M,2
76,1,7,7,M,4
76,2,7,1,M,2
77,1,2,4,M,4
77,2,8,4,M,2
78,1,7,8,M,4
78,2,5,0,M,2
79,1,2,3,M,4
79,2,1,3,M,2
80,1,8,3,M,4
80,2,5,6,M,2
81,1,2,2,M,4
81,2,1,9,M,2
82,1,4,8,H,3
82,2,6,2,M,2
83,1,6,5,M,3
83,2,5,9,M,2
84,1,6,2,M,3
84,2,1,4,M,2
85,1,0,5,M,3
85,2,4,6,M,2
86,1,9,8,M,3
86,2,3,5,M,2
87,1,0,8,M,3
87,2,6,8,M,2
88,1,4,0,M,3
88,2,2,0,M,2
89,1,3,9,H,2
89,2,5,8,M,2
90,1,5,5,M,2
90,2,7,8,M,2
91,1,4,7,M,2
91,2,4,7,M,2
92,1,7,5,M,2
92,2,2,1,H,1
93,1,6,7,M,2
93,2,0,8,M,1
94,1,3,6,M,2
94,2,9,6,M,1
95,1,1,6,M,2
95,2,4,4,M,1
96,1,9,5,H,1
96,2,5,3,M,1
97,1,2,6,M,1
97,2,0,7,M,1
98,1,3,2,M,1
98,2,5,1,M,1
99,1,0,6,M,1
99,2,2,5,M,1
100,1,2,9,H,0
100,2,2,4,H,0
