Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,0,7,H,16
1,2,8,5,M,17
2,1,5,1,M,16
2,2,5,4,M,17
3,1,1,4,M,16
3,2,2,0,M,17
4,1,5,4,M,16
4,2,3,4,M,17
5,1,8,5,M,16
5,2,9,2,M,17
6,1,2,2,M,16
6,2,3,3,M,17
7,1,4,7,M,16
7,2,8,2,M,17
8,1,3,6,H,15
8,2,2,6,H,16
9,1,4,8,M,15
9,2,6,6,M,16
10,1,2,8,M,15
10,2,4,2,M,16
11,1,6,6,M,15
11,2,4,9,M,16
12,1,9,7,M,15
12,2,0,2,M,16
13,1,9,3,M,15
13,2,8,9,H,15
14,1,4,5,M,15
14,2,3,7,M,15
15,1,5,5,H,14
15,2,8,0,M,15
16,1,4,6,M,14
16,2,2,4,M,15
17,1,5,0,H,13
17,2,9,1,M,15
18,1,0,3,H,12
18,2,6,8,M,15
19,1,7,9,M,12
19,2,8,1,M,15
20,1,8,1,M,12
20,2,4,3,M,15
21,1,3,1,M,12
21,2,3,6,H,14
22,1,8,7,M,12
22,2,1,9,M,14
23,1,6,7,M,12
23,2,5,0,H,13
24,1,1,0,M,12
24,2,6,7,M,13
25,1,3,2,M,12
25,2,3,9,M,13
26,1,8,0,M,12
26,2,2,5,M,13
27,1,0,8,M,12
27,2,6,9,M,13
28,1,1,2,M,12
28,2,5,7,M,13
29,1,9,5,M,12
29,2,8,3,M,13
30,1,6,3,M,12
30,2,6,2,M,13
31,1,8,2,M,12
31,2,7,2,M,13
32,1,4,9,M,12
32,2,0,9,H,12
33,1,8,4,M,12
33,2,0,7,H,11
34,1,7,6,M,12
34,2,0,5,M,11
35,1,5,8,M,12
35,2,5,3,M,11
36,1,3,9,M,12
36,2,9,4,M,11
37,1,3,7,H,11
37,2,7,6,M,11
38,1,4,0,M,11
38,2,6,0,M,11
39,1,7,2,M,11
39,2,0,1,M,11
40,1,9,4,M,11
40,2,2,9,M,11
41,1,4,2,M,11
41,2,9,9,H,10
42,1,9,9,M,11
42,2,2,7,M,10
43,1,1,6,M,11
43,2,4,8,M,10
44,1,8,8,M,11
44,2,4,1,M,10
45,1,5,7,M,11
45,2,9,6,M,10
46,1,9,1,M,11
46,2,8,6,M,10
47,1,1,7,M,11
47,2,3,8,M,10
48,1,0,1,M,11
48,2,0,0,M,10
49,1,3,8,H,10
49,2,7,4,M,10
50,1,8,6,M,10
50,2,2,1,M,10
51,1,9,0,M,10
51,2,8,8,M,10
52,1,6,1,M,10
52,2,3,1,M,10
53,1,5,6,M,10
53,2,0,3,M,10
54,1,7,4,M,10
54,2,2,8,M,10
55,1,2,3,H,9
55,2,4,4,M,10
56,1,6,5,H,8
56,2,1,7,M,10
57,1,2,5,M,8
57,2,8,4,M,10
58,1,9,6,M,8
58,2,6,4,M,10
59,1,7,0,H,7
59,2,5,6,H,9
60,1,7,3,M,7
60,2,3,2,H,8
61,1,1,3,H,6
61,2,0,4,M,8
62,1,6,2,M,6
62,2,6,3,M,8
63,1,7,5,H,5
63,2,1,6,H,7
64,1,0,5,M,5
64,2,3,5,M,7
65,1,3,5,H,4
65,2,5,5,M,7
66,1,7,7,M,4
66,2,1,5,M,7
67,1,6,4,M,4
67,2,5,1,M,7
68,1,6,8,M,4
68,2,1,8,M,7
69,1,1,5,M,4
69,2,1,3,M,7
70,1,7,8,M,4
70,2,4,0,H,6
71,1,6,9,M,4
71,2,7,0,M,6
72,1,0,0,M,4
72,2,6,1,M,6
73,1,2,7,M,4
73,2,1,4,M,6
74,1,4,1,M,4
74,2,4,6,H,5
75,1,3,0,M,4
75,2,4,5,M,5
76,1,8,9,M,4
76,2,2,2,H,4
77,1,0,6,H,3
77,2,4,7,M,4
78,1,5,9,M,3
78,2,9,0,M,4
79,1,6,0,H,2
79,2,8,7,M,4
80,1,0,4,M,2
80,2,9,8,M,4
81,1,2,0,M,2
81,2,7,1,M,4
82,1,4,3,H,1
82,2,5,9,M,4
83,1,1,1,M,1
83,2,1,0,M,4
84,1,3,4,M,1
84,2,7,3,M,4
85,1,9,2,M,1
85,2,9,5,M,4
86,1,1,9,M,1
86,2,0,6,H,3
87,1,4,4,M,1
87,2,7,9,M,3
88,1,1,8,M,1
88,2,0,8,H,2
89,1,0,2,M,1
89,2,9,7,M,2
90,1,2,9,M,1
90,2,9,3,M,2
91,1,5,3,M,1
91,2,1,2,H,1
92,1,8,3,M,1
92,2,6,5,M,1
93,1,5,2,M,1
93,2,5,2,M,1
94,1,9,8,M,1
94,2,7,8,M,1
95,1,3,3,H,0
95,2,7,5,M,1
96,1,2,1,M,0
96,2,1,1,M,1
97,1,2,6,M,0
97,2,7,7,M,1
98,1,0,9,M,0
98,2,3,0,H,0
