Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,9,8,M,17
1,2,3,2,H,16
2,1,5,7,M,17
2,2,7,5,M,16
3,1,9,5,M,17
3,2,1,3,M,16
4,1,7,2,M,17
4,2,5,0,M,16
5,1,2,4,H,16
5,2,6,1,M,16
6,1,6,2,M,16
6,2,3,8,H,15
7,1,2,3,M,16
7,2,8,8,M,15
8,1,0,6,M,16
8,2,2,8,H,14
9,1,1,0,M,16
9,2,5,7,M,14
10,1,9,3,M,16
10,2,8,3,H,13
11,1,0,9,M,16
11,2,8,1,M,13
12,1,4,6,H,15
12,2,7,6,M,13
13,1,4,7,M,15
13,2,7,9,M,13
14,1,8,1,M,15
14,2,2,0,M,13
15,1,1,5,M,15
15,2,1,5,M,13
16,1,8,6,H,14
16,2,5,1,M,13
17,1,7,3,M,14
17,2,0,3,M,13
18,1,0,0,M,14
18,2,9,9,M,13
19,1,2,6,H,13
19,2,3,3,H,12
20,1,0,8,M,13
20,2,2,4,M,12
21,1,9,0,M,13
21,2,0,7,M,12
22,1,2,5,M,13
22,2,8,2,H,11
23,1,9,6,M,13
23,2,3,7,M,11
24,1,9,2,M,13
24,2,4,8,H,10
25,1,4,8,M,13
25,2,3,9,M,10
26,1,2,8,M,13
26,2,8,4,H,9
27,1,8,3,M,13
27,2,0,1,M,9
28,1,3,8,M,13
28,2,0,0,M,9
29,1,8,7,H,12
29,2,1,7,M,9
30,1,4,1,M,12
30,2,5,2,H,8
31,1,8,8,H,11
31,2,6,9,M,8
32,1,3,7,M,11
32,2,2,6,M,8
33,1,7,0,M,11
33,2,4,7,M,8
34,1,5,6,H,10
34,2,0,6,M,8
35,1,8,2,M,10
35,2,5,9,M,8
36,1,6,4,H,9
36,2,3,4,H,7
37,1,1,6,M,9
37,2,2,7,M,7
38,1,8,4,M,9
38,2,5,8,H,6
39,1,7,6,M,9
39,2,2,9,M,6
40,1,4,0,M,9
40,2,0,4,H,5
41,1,9,1,M,9
41,2,1,0,M,5
42,1,1,4,H,8
42,2,3,1,M,5
43,1,7,7,M,8
43,2,6,8,M,5
44,1,9,7,M,8
44,2,2,2,M,5
45,1,3,9,M,8
45,2,7,7,M,5
46,1,4,3,M,8
46,2,7,4,M,5
47,1,9,4,M,8
47,2,9,6,M,5
48,1,2,0,M,8
48,2,2,5,M,5
49,1,0,2,H,7
49,2,1,2,M,5
50,1,4,4,M,7
50,2,5,6,M,5
51,1,5,9,M,7
51,2,1,6,M,5
52,1,7,8,M,7
52,2,9,8,M,5
53,1,1,1,M,7
53,2,6,4,M,5
54,1,7,5,M,7
54,2,7,8,M,5
55,1,3,2,M,7
55,2,4,2,H,4
56,1,6,3,M,7
56,2,6,6,M,4
57,1,3,1,M,7
57,2,4,4,M,4
58,1,6,6,H,6
58,2,6,5,M,4
59,1,6,5,M,6
59,2,1,4,H,3
60,1,6,9,M,6
60,2,7,0,M,3
61,1,6,7,M,6
61,2,7,2,H,2
62,1,5,4,H,5
62,2,0,5,M,2
63,1,1,3,M,5
63,2,6,7,M,2
64,1,0,7,M,5
64,2,3,6,M,2
65,1,7,1,M,5
65,2,5,4,M,2
66,1,0,1,H,4
66,2,4,9,M,2
67,1,3,5,M,4
67,2,9,2,M,2
68,1,6,1,M,4
68,2,6,2,H,1
69,1,6,0,M,4
69,2,7,1,M,1
70,1,1,8,M,4
70,2,7,3,M,1
71,1,2,1,M,4
71,2,2,3,M,1
72,1,8,0,M,4
72,2,8,5,H,0
73,1,0,5,M,4
73,2,9,0,M,0
74,1,7,9,M,4
74,2,6,3,M,0
75,1,8,9,M,4
75,2,5,3,M,0
76,1,6,8,M,4
76,2,9,3,M,0
77,1,0,3,H,3
77,2,3,5,M,0
78,1,3,3,M,3
78,2,8,9,M,0
79,1,1,9,M,3
79,2,8,7,M,0
80,1,8,5,H,2
80,2,9,5,M,0
81,1,4,2,M,2
81,2,6,0,M,0
82,1,4,5,M,2
82,2,4,0,M,0
83,1,5,5,M,2
83,2,4,1,M,0
84,1,5,3,M,2
84,2,4,5,M,0
85,1,5,1,M,2
85,2,9,4,M,0
86,1,7,4,H,1
86,2,1,1,M,0
87,1,2,2,M,1
87,2,0,2,M,0
88,1,4,9,M,1
88,2,3,0,M,0
89,1,3,4,M,1
89,2,5,5,M,0
90,1,5,8,M,1
90,2,9,1,M,0
91,1,3,6,H,0
91,2,4,6,M,0
