Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,1,4,M,17
1,2,4,9,M,17
2,1,5,7,M,17
2,2,3,6,H,16
3,1,1,3,M,17
3,2,2,0,M,16
4,1,7,8,M,17
4,2,8,5,M,16
5,1,9,0,M,17
5,2,6,1,M,16
6,1,3,6,M,17
6,2,0,9,M,16
7,1,8,8,M,17
7,2,3,9,M,16
8,1,3,9,M,17
8,2,5,0,M,16
9,1,6,5,M,17
9,2,5,7,M,16
10,1,2,2,M,17
10,2,0,4,M,16
11,1,2,9,M,17
11,2,9,8,M,16
12,1,1,8,M,17
12,2,2,6,M,16
13,1,2,3,M,17
13,2,1,4,M,16
14,1,4,4,H,16
14,2,3,8,M,16
15,1,8,2,M,16
15,2,7,9,M,16
16,1,9,5,M,16
16,2,0,3,M,16
17,1,9,2,H,15
17,2,0,5,M,16
18,1,6,2,M,15
18,2,5,9,M,16
19,1,5,9,M,15
19,2,8,3,H,15
20,1,7,9,M,15
20,2,4,3,M,15
21,1,6,6,M,15
21,2,6,4,M,15
22,1,3,7,H,14
22,2,1,1,M,15
23,1,2,6,M,14
23,2,2,9,M,15
24,1,2,4,M,14
24,2,8,1,H,14
25,1,6,8,H,13
25,2,2,3,M,14
26,1,1,0,M,13
26,2,4,8,M,14
27,1,3,8,M,13
27,2,2,5,M,14
28,1,6,9,H,12
28,2,2,7,M,14
29,1,1,6,M,12
29,2,7,1,M,14
30,1,6,7,M,12
30,2,1,2,M,14
31,1,0,8,M,12
31,2,7,8,M,14
32,1,4,0,M,12
32,2,5,2,M,14
33,1,2,8,M,12
33,2,5,8,M,14
34,1,1,5,M,12
34,2,9,7,M,14
35,1,1,9,M,12
35,2,6,0,M,14
36,1,4,3,H,11
36,2,1,0,M,14
37,1,0,1,M,11
37,2,8,2,H,13
38,1,3,1,M,11
38,2,8,8,M,13
39,1,2,5,M,11
39,2,0,7,M,13
40,1,3,2,M,11
40,2,0,1,M,13
41,1,1,7,H,10
41,2,9,9,M,13
42,1,9,4,M,10
42,2,6,9,H,12
43,1,7,6,M,10
43,2,7,0,M,12
44,1,4,5,H,9
44,2,0,8,M,12
45,1,5,2,M,9
45,2,1,6,M,12
46,1,1,1,M,9
46,2,6,7,H,11
47,1,0,5,M,9
47,2,5,3,M,11
48,1,0,3,M,9
48,2,7,3,M,11
49,1,9,3,H,8
49,2,3,3,M,11
50,1,2,0,M,8
50,2,8,9,M,11
51,1,5,6,M,8
51,2,6,2,M,11
52,1,3,4,M,8
52,2,3,0,M,11
53,1,3,0,M,8
53,2,2,4,M,11
54,1,4,7,H,7
54,2,5,5,M,11
55,1,0,0,M,7
55,2,9,1,H,10
56,1,7,1,M,7
56,2,3,2,M,10
57,1,6,3,H,6
57,2,1,3,M,10
58,1,0,6,M,6
58,2,0,2,M,10
59,1,8,1,M,6
59,2,6,8,H,9
60,1,7,5,M,6
60,2,3,5,H,8
61,1,4,2,M,6
61,2,3,1,M,8
62,1,7,4,M,6
62,2,3,7,H,7
63,1,9,9,M,6
63,2,3,4,H,6
64,1,5,5,M,6
64,2,7,2,M,6
65,1,5,8,M,6
65,2,4,0,M,6
66,1,1,2,M,6
66,2,0,0,M,6
67,1,7,0,M,6
67,2,4,2,M,6
68,1,4,9,M,6
68,2,6,5,H,5
69,1,8,9,M,6
69,2,5,1,M,5
70,1,6,0,M,6
70,2,2,8,M,5
71,1,0,2,M,6
71,2,9,5,M,5
72,1,7,3,H,5
72,2,9,4,M,5
73,1,2,1,M,5
73,2,2,2,M,5
74,1,4,6,H,4
74,2,9,0,M,5
75,1,8,4,M,4
75,2,5,4,H,4
76,1,6,1,M,4
76,2,4,7,M,4
77,1,8,3,M,4
77,2,4,5,M,4
78,1,9,7,M,4
78,2,6,6,H,3
79,1,6,4,M,4
79,2,9,6,M,3
80,1,4,8,M,4
80,2,7,5,M,3
81,1,3,5,M,4
81,2,6,3,M,3
82,1,8,0,M,4
82,2,9,3,H,2
83,1,9,6,M,4
83,2,8,0,M,2
84,1,8,7,M,4
84,2,9,2,H,1
85,1,0,7,H,3
85,2,1,8,M,1
86,1,2,7,H,2
86,2,7,4,M,1
87,1,5,1,M,2
87,2,8,7,M,1
88,1,8,6,M,2
88,2,4,4,H,0
89,1,9,1,H,1
89,2,7,7,M,0
90,1,9,8,M,1
90,2,1,5,M,0
91,1,4,1,M,1
91,2,1,7,M,0
92,1,7,2,M,1
92,2,1,9,M,0
93,1,7,7,M,1
93,2,7,6,M,0
94,1,0,4,M,1
94,2,8,6,M,0
95,1,3,3,M,1
95,2,8,4,M,0
96,1,0,9,M,1
96,2,2,1,M,0
97,1,8,5,M,1
97,2,5,6,M,0
98,1,5,0,M,1
98,2,4,1,M,0
99,1,5,3,H,0
99,2,4,6,M,0
