Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,6,2,M,17
1,2,8,7,M,17
2,1,9,3,M,17
2,2,8,3,M,17
3,1,2,1,M,17
3,2,4,2,M,17
4,1,8,6,M,17
4,2,2,1,M,17
5,1,7,7,M,17
5,2,2,4,M,17
6,1,1,0,M,17
6,2,3,2,M,17
7,1,6,6,M,17
7,2,9,2,M,17
8,1,4,6,M,17
8,2,0,0,M,17
9,1,3,5,M,17
9,2,7,1,M,17
10,1,3,1,M,17
10,2,9,5,M,17
11,1,8,4,M,17
11,2,5,0,M,17
12,1,5,4,M,17
12,2,0,6,H,16
13,1,3,0,M,17
13,2,3,3,M,16
14,1,8,9,M,17
14,2,6,1,M,16
15,1,4,2,M,17
15,2,6,0,M,16
16,1,2,0,M,17
16,2,3,1,M,16
17,1,6,7,M,17
17,2,3,6,M,16
18,1,3,2,M,17
18,2,4,1,M,16
19,1,7,2,H,16
19,2,4,6,M,16
20,1,8,7,M,16
20,2,7,6,M,16
21,1,7,6,M,16
21,2,0,3,H,15
22,1,1,1,H,15
22,2,6,4,H,14
23,1,5,0,M,15
23,2,2,7,M,14
24,1,5,7,M,15
24,2,7,8,M,14
25,1,5,6,M,15
25,2,2,0,M,14
26,1,6,3,M,15
26,2,0,5,H,13
27,1,7,3,M,15
27,2,0,2,H,12
28,1,9,4,M,15
28,2,9,7,M,12
29,1,9,1,M,15
29,2,9,3,M,12
30,1,5,9,M,15
30,2,8,4,M,12
31,1,3,8,M,15
31,2,1,4,H,11
32,1,9,0,M,15
32,2,5,4,H,10
33,1,7,8,H,14
33,2,8,8,M,10
34,1,8,3,M,14
34,2,9,4,M,10
35,1,8,0,M,14
35,2,1,8,H,9
36,1,9,7,M,14
36,2,7,4,H,8
37,1,2,3,M,14
37,2,1,3,H,7
38,1,0,9,M,14
38,2,7,7,M,7
39,1,9,6,M,14
39,2,1,2,M,7
40,1,2,7,M,14
40,2,5,3,M,7
41,1,1,3,H,13
41,2,7,9,M,7
42,1,0,2,M,13
42,2,0,8,M,7
43,1,1,6,H,12
43,2,7,3,M,7
44,1,2,9,M,12
44,2,6,2,H,6
45,1,1,9,M,12
45,2,2,9,M,6
46,1,4,0,M,12
46,2,2,3,M,6
47,1,6,9,M,12
47,2,2,8,M,6
48,1,4,1,M,12
48,2,4,0,M,6
49,1,4,3,M,12
49,2,8,5,M,6
50,1,6,0,M,12
50,2,2,2,M,6
51,1,1,2,H,11
51,2,3,9,M,6
52,1,0,0,M,11
52,2,9,8,M,6
53,1,0,6,H,10
53,2,5,1,M,6
54,1,1,8,M,10
54,2,3,4,M,6
55,1,2,5,M,10
55,2,1,7,H,5
56,1,3,4,M,10
56,2,2,5,M,5
57,1,7,4,M,10
57,2,1,5,M,5
58,1,9,8,M,10
58,2,1,9,M,5
59,1,6,4,M,10
59,2,4,7,M,5
60,1,7,1,M,10
60,2,4,8,M,5
61,1,0,7,H,9
61,2,1,1,M,5
62,1,2,8,M,9
62,2,3,7,M,5
63,1,7,9,M,9
63,2,9,1,M,5
64,1,7,5,M,9
64,2,8,9,M,5
65,1,0,3,M,9
65,2,6,9,M,5
66,1,3,9,M,9
66,2,3,5,M,5
67,1,9,2,M,9
67,2,3,0,M,5
68,1,0,4,M,9
68,2,0,4,H,4
69,1,4,9,M,9
69,2,5,9,M,4
70,1,9,9,M,9
70,2,8,2,H,3
71,1,1,5,H,8
71,2,7,2,H,2
72,1,6,1,M,8
72,2,1,0,M,2
73,1,8,5,M,8
73,2,6,7,M,2
74,1,4,7,M,8
74,2,4,4,M,2
75,1,9,5,M,8
75,2,6,6,M,2
76,1,8,2,H,7
76,2,5,8,M,2
77,1,1,7,M,7
77,2,4,5,M,2
78,1,0,1,M,7
78,2,9,0,M,2
79,1,4,4,M,7
79,2,5,2,H,1
80,1,0,5,H,6
80,2,5,6,M,1
81,1,5,3,M,6
81,2,6,5,M,1
82,1,1,4,H,5
82,2,4,9,M,1
83,1,3,3,M,5
83,2,8,1,M,1
84,1,5,8,H,4
84,2,5,5,M,1
85,1,8,1,M,4
85,2,7,5,M,1
86,1,3,6,H,3
86,2,2,6,M,1
87,1,6,5,M,3
87,2,6,3,M,1
88,1,6,8,H,2
88,2,0,1,M,1
89,1,0,8,H,1
89,2,1,6,H,0
90,1,4,8,M,1
90,2,3,8,M,0
91,1,2,2,M,1
91,2,9,9,M,0
92,1,4,5,M,1
92,2,0,9,M,0
93,1,8,8,M,1
93,2,4,3,M,0
94,1,3,7,M,1
94,2,6,8,M,0
95,1,5,5,M,1
95,2,5,7,M,0
96,1,7,0,M,1
96,2,8,6,M,0
97,1,5,1,M,1
97,2,7,0,M,0
98,1,2,4,M,1
98,2,0,7,M,0
99,1,2,6,H,0
99,2,8,0,M,0
