Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,5,5,M,17
1,2,6,3,M,17
2,1,6,5,H,16
2,2,7,0,M,17
3,1,7,0,M,16
3,2,4,0,M,17
4,1,8,2,M,16
4,2,3,6,H,16
5,1,7,1,M,16
5,2,9,5,M,16
6,1,3,6,H,15
6,2,5,8,M,16
7,1,9,1,M,15
7,2,5,7,M,16
8,1,7,9,M,15
8,2,0,7,M,16
9,1,7,4,M,15
9,2,9,0,M,16
10,1,4,7,M,15
10,2,4,5,M,16
11,1,2,1,M,15
11,2,4,6,H,15
12,1,5,3,M,15
12,2,0,2,M,15
13,1,5,2,M,15
13,2,8,6,H,14
14,1,8,9,M,15
14,2,2,3,H,13
15,1,4,2,M,15
15,2,1,3,H,12
16,1,4,0,M,15
16,2,8,3,M,12
17,1,1,4,H,14
17,2,9,6,M,12
18,1,6,2,M,14
18,2,9,2,M,12
19,1,3,7,M,14
19,2,2,4,M,12
20,1,9,0,M,14
20,2,3,2,M,12
21,1,4,3,H,13
21,2,8,1,H,11
22,1,8,1,M,13
22,2,9,9,M,11
23,1,7,8,M,13
23,2,5,2,M,11
24,1,5,8,M,13
24,2,5,5,M,11
25,1,1,9,M,13
25,2,2,6,M,11
26,1,6,1,M,13
26,2,7,2,M,11
27,1,0,4,M,13
27,2,3,9,H,10
28,1,8,8,M,13
28,2,3,7,M,10
29,1,3,5,H,12
29,2,5,1,M,10
30,1,1,7,M,12
30,2,0,8,M,10
31,1,4,8,M,12
31,2,7,3,M,10
32,1,1,8,M,12
32,2,8,2,M,10
33,1,9,5,M,12
33,2,3,5,M,10
34,1,1,6,M,12
34,2,1,5,M,10
35,1,3,8,M,12
35,2,8,7,H,9
36,1,1,2,H,11
36,2,1,8,M,9
37,1,5,9,M,11
37,2,1,4,M,9
38,1,6,3,M,11
38,2,5,9,M,9
39,1,6,6,H,10
39,2,2,1,M,9
40,1,3,3,H,9
40,2,2,2,M,9
41,1,3,1,M,9
41,2,4,4,M,9
42,1,4,9,M,9
42,2,9,3,M,9
43,1,0,0,M,9
43,2,4,8,M,9
44,1,2,8,M,9
44,2,8,9,M,9
45,1,0,8,M,9
45,2,8,5,M,9
46,1,0,7,M,9
46,2,0,0,M,9
47,1,3,9,M,9
47,2,2,5,M,9
48,1,2,3,M,9
48,2,1,9,M,9
49,1,6,7,M,9
49,2,6,7,M,9
50,1,4,1,M,9
50,2,7,6,H,8
51,1,9,3,H,8
51,2,7,5,M,8
52,1,6,8,M,8
52,2,9,4,M,8
53,1,0,6,M,8
53,2,1,6,M,8
54,1,0,1,M,8
54,2,5,3,M,8
55,1,7,7,M,8
55,2,8,0,M,8
56,1,5,7,M,8
56,2,8,8,H,7
57,1,9,4,M,8
57,2,5,0,M,7
58,1,7,5,M,8
58,2,4,7,M,7
59,1,9,9,M,8
59,2,7,1,M,7
60,1,4,5,M,8
60,2,6,8,M,7
61,1,0,2,M,8
61,2,7,9,M,7
62,1,2,5,M,8
62,2,4,2,M,7
63,1,8,3,H,7
63,2,6,1,M,7
64,1,8,7,M,7
64,2,1,1,M,7
65,1,1,3,H,6
65,2,3,3,H,6
66,1,7,3,H,5
66,2,9,8,M,6
67,1,9,8,M,5
67,2,6,4,M,6
68,1,8,0,M,5
68,2,9,7,M,6
69,1,7,2,M,5
69,2,6,0,M,6
70,1,3,4,H,4
70,2,8,4,M,6
71,1,5,6,M,4
71,2,1,0,M,6
72,1,2,6,M,4
72,2,3,4,M,6
73,1,1,0,M,4
73,2,0,6,M,6
74,1,6,4,H,3
74,2,6,2,M,6
75,1,8,5,M,3
75,2,1,7,M,6
76,1,0,3,M,3
76,2,6,6,H,5
77,1,3,2,M,3
77,2,6,9,M,5
78,1,7,6,M,3
78,2,1,2,M,5
79,1,2,2,M,3
79,2,0,4,M,5
80,1,2,4,M,3
80,2,4,3,H,4
81,1,4,4,H,2
81,2,0,1,M,4
82,1,1,1,H,1
82,2,4,1,M,4
83,1,3,0,M,1
83,2,0,5,M,4
84,1,0,5,M,1
84,2,7,4,M,4
85,1,6,9,M,1
85,2,2,9,H,3
86,1,0,9,M,1
86,2,7,8,M,3
87,1,9,6,M,1
87,2,0,9,M,3
88,1,5,0,M,1
88,2,3,8,M,3
89,1,1,5,H,0
89,2,7,7,M,3
90,1,4,6,M,0
90,2,5,6,H,2
91,1,9,7,M,0
91,2,5,4,M,2
92,1,8,4,M,0
92,2,3,0,M,2
93,1,9,2,M,0
93,2,9,1,H,1
94,1,6,0,M,0
94,2,2,0,M,1
95,1,2,0,M,0
95,2,2,7,M,1
96,1,2,9,M,0
96,2,3,1,M,1
97,1,2,7,M,0
97,2,6,5,M,1
98,1,8,6,M,0
98,2,4,9,H,0
