Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,9,0,H,16
1,2,4,1,M,17
2,1,9,5,M,16
2,2,1,5,M,17
3,1,6,8,M,16
3,2,0,4,M,17
4,1,4,4,M,16
4,2,2,5,H,16
5,1,1,6,M,16
5,2,7,9,M,16
6,1,0,3,M,16
6,2,3,1,M,16
7,1,8,0,H,15
7,2,0,0,M,16
8,1,6,2,M,15
8,2,6,8,M,16
9,1,5,2,M,15
9,2,6,1,M,16
10,1,2,4,M,15
10,2,5,3,M,16
11,1,1,1,H,14
11,2,8,7,M,16
12,1,5,5,M,14
12,2,9,3,M,16
13,1,2,0,M,14
13,2,7,7,M,16
14,1,6,9,M,14
14,2,7,6,M,16
15,1,3,5,H,13
15,2,9,2,M,16
16,1,3,7,M,13
16,2,4,4,H,15
17,1,8,5,M,13
17,2,1,4,M,15
18,1,3,0,M,13
18,2,3,3,M,15
19,1,0,5,M,13
19,2,1,1,M,15
20,1,8,6,M,13
20,2,8,6,M,15
21,1,9,1,M,13
21,2,6,6,M,15
22,1,8,8,M,13
22,2,9,1,M,15
23,1,2,6,M,13
23,2,9,9,H,14
24,1,4,1,M,13
24,2,7,0,H,13
25,1,5,9,M,13
25,2,5,7,M,13
26,1,1,9,M,13
26,2,4,7,M,13
27,1,7,9,M,13
27,2,9,6,M,13
28,1,9,8,M,13
28,2,5,6,H,12
29,1,3,6,M,13
29,2,5,1,M,12
30,1,4,6,M,13
30,2,8,2,M,12
31,1,1,7,M,13
31,2,9,8,M,12
32,1,4,3,M,13
32,2,5,9,M,12
33,1,7,1,H,12
33,2,3,2,M,12
34,1,8,7,M,12
34,2,4,0,M,12
35,1,5,6,M,12
35,2,0,7,M,12
36,1,7,0,H,11
36,2,2,3,H,11
37,1,0,6,M,11
37,2,0,8,M,11
38,1,7,4,M,11
38,2,3,5,M,11
39,1,7,6,M,11
39,2,6,2,M,11
40,1,0,0,M,11
40,2,1,7,M,11
41,1,0,8,H,10
41,2,6,5,M,11
42,1,8,9,M,10
42,2,3,6,H,10
43,1,3,9,M,10
43,2,0,5,M,10
44,1,9,9,M,10
44,2,2,2,H,9
45,1,1,8,H,9
45,2,7,8,M,9
46,1,9,4,M,9
46,2,8,1,M,9
47,1,3,2,M,9
47,2,4,9,M,9
48,1,8,3,M,9
48,2,9,7,M,9
49,1,3,3,M,9
49,2,5,8,M,9
50,1,0,1,M,9
50,2,1,0,M,9
51,1,6,7,M,9
51,2,3,0,M,9
52,1,1,2,H,8
52,2,5,0,M,9
53,1,2,8,H,7
53,2,6,9,M,9
54,1,2,2,M,7
54,2,5,2,M,9
55,1,7,3,M,7
55,2,0,1,M,9
56,1,5,4,M,7
56,2,2,8,M,9
57,1,9,3,M,7
57,2,2,9,M,9
58,1,7,7,M,7
58,2,3,7,M,9
59,1,2,1,M,7
59,2,3,8,M,9
60,1,9,2,M,7
60,2,6,3,M,9
61,1,6,5,M,7
61,2,0,6,M,9
62,1,4,5,H,6
62,2,1,8,M,9
63,1,6,1,M,6
63,2,9,4,M,9
64,1,5,8,M,6
64,2,7,5,M,9
65,1,4,7,M,6
65,2,2,4,H,8
66,1,5,3,M,6
66,2,2,0,M,8
67,1,5,7,M,6
67,2,5,5,M,8
68,1,4,9,M,6
68,2,1,6,M,8
69,1,6,0,M,6
69,2,0,9,M,8
70,1,7,8,M,6
70,2,6,4,M,8
71,1,9,6,M,6
71,2,4,8,M,8
72,1,4,8,H,5
72,2,5,4,M,8
73,1,8,2,M,5
73,2,4,5,M,8
74,1,5,1,M,5
74,2,7,1,H,7
75,1,2,5,H,4
75,2,7,2,H,6
76,1,1,4,M,4
76,2,4,6,H,5
77,1,9,7,M,4
77,2,6,7,M,5
78,1,5,0,M,4
78,2,2,7,M,5
79,1,6,6,M,4
79,2,8,4,M,5
80,1,0,9,M,4
80,2,4,2,H,4
81,1,4,2,M,4
81,2,8,9,H,3
82,1,3,1,M,4
82,2,3,4,M,3
83,1,0,2,M,4
83,2,0,3,M,3
84,1,2,9,M,4
84,2,8,3,M,3
85,1,1,3,M,4
85,2,3,9,M,3
86,1,3,8,H,3
86,2,6,0,M,3
87,1,0,4,M,3
87,2,7,3,H,2
88,1,7,5,M,3
88,2,2,1,M,2
89,1,7,2,M,3
89,2,4,3,H,1
90,1,6,3,M,3
90,2,9,0,M,1
91,1,2,3,M,3
91,2,2,6,H,0
92,1,8,4,M,3
92,2,8,8,M,0
93,1,1,5,H,2
93,2,9,5,M,0
94,1,2,7,M,2
94,2,0,2,M,0
95,1,8,1,H,1
95,2,1,3,M,0
96,1,1,0,H,0
96,2,8,0,M,0
