Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,8,8,M,17
1,2,8,9,M,17
2,1,6,2,M,17
2,2,0,2,M,17
3,1,6,0,M,17
3,2,3,1,M,17
4,1,7,7,M,17
4,2,8,3,M,17
5,1,7,8,M,17
5,2,8,5,M,17
6,1,3,0,M,17
6,2,3,0,M,17
7,1,6,9,M,17
7,2,3,5,M,17
8,1,0,4,H,16
8,2,9,8,M,17
9,1,6,8,H,15
9,2,6,2,M,17
10,1,4,4,M,15
10,2,7,1,M,17
11,1,7,2,M,15
11,2,1,3,M,17
12,1,9,4,M,15
12,2,1,1,M,17
13,1,9,8,M,15
13,2,2,4,H,16
14,1,0,7,M,15
14,2,0,6,H,15
15,1,8,0,M,15
15,2,6,6,M,15
16,1,8,9,M,15
16,2,5,9,M,15
17,1,4,8,M,15
17,2,8,0,M,15
18,1,9,7,M,15
18,2,4,9,M,15
19,1,5,3,M,15
19,2,7,2,M,15
20,1,5,7,M,15
20,2,5,5,H,14
21,1,8,3,M,15
21,2,7,5,M,14
22,1,4,5,M,15
22,2,9,0,M,14
23,1,7,9,M,15
23,2,4,3,M,14
24,1,1,6,H,14
24,2,5,3,H,13
25,1,2,1,M,14
25,2,3,6,M,13
26,1,1,2,M,14
26,2,0,9,M,13
27,1,1,4,H,13
27,2,1,9,M,13
28,1,7,5,M,13
28,2,7,4,M,13
29,1,8,7,M,13
29,2,2,9,M,13
30,1,7,6,M,13
30,2,0,3,H,12
31,1,1,8,H,12
31,2,8,6,M,12
32,1,3,3,M,12
32,2,9,3,M,12
33,1,9,2,M,12
33,2,5,4,H,11
34,1,7,0,M,12
34,2,4,0,M,11
35,1,6,5,M,12
35,2,7,0,M,11
36,1,3,9,M,12
36,2,5,0,M,11
37,1,8,6,H,11
37,2,6,7,H,10
38,1,1,3,M,11
38,2,4,7,H,9
39,1,0,6,M,11
39,2,5,7,H,8
40,1,4,7,M,11
40,2,4,6,H,7
41,1,1,0,M,11
41,2,2,7,M,7
42,1,2,2,M,11
42,2,6,3,M,7
43,1,2,0,M,11
43,2,1,7,M,7
44,1,6,4,M,11
44,2,6,1,M,7
45,1,3,1,H,10
45,2,8,8,M,7
46,1,7,3,M,10
46,2,0,4,H,6
47,1,0,8,M,10
47,2,3,2,M,6
48,1,3,4,M,10
48,2,2,0,M,6
49,1,9,1,M,10
49,2,2,2,M,6
50,1,5,4,M,10
50,2,1,0,M,6
51,1,1,7,H,9
51,2,3,8,M,6
52,1,1,9,M,9
52,2,2,1,M,6
53,1,5,6,M,9
53,2,6,5,M,6
54,1,9,3,M,9
54,2,6,9,M,6
55,1,5,8,M,9
55,2,7,9,M,6
56,1,5,5,M,9
56,2,6,0,M,6
57,1,9,9,M,9
57,2,6,8,M,6
58,1,0,2,H,8
58,2,5,6,M,6
59,1,0,3,H,7
59,2,9,5,M,6
60,1,0,9,M,7
60,2,7,6,M,6
61,1,0,0,M,7
61,2,1,6,M,6
62,1,1,1,M,7
62,2,3,3,M,6
63,1,0,1,H,6
63,2,4,1,M,6
64,1,4,6,M,6
64,2,4,2,M,6
65,1,6,7,H,5
65,2,0,1,M,6
66,1,6,1,M,5
66,2,5,2,M,6
67,1,8,2,M,5
67,2,2,3,H,5
68,1,3,2,M,5
68,2,3,9,M,5
69,1,6,3,M,5
69,2,7,8,M,5
70,1,2,8,M,5
70,2,0,0,M,5
71,1,9,0,M,5
71,2,9,1,M,5
72,1,3,8,M,5
72,2,9,7,M,5
73,1,3,5,M,5
73,2,1,5,M,5
74,1,5,0,M,5
74,2,0,8,M,5
75,1,3,7,M,5
75,2,8,4,M,5
76,1,4,2,M,5
76,2,0,5,H,4
77,1,9,5,M,5
77,2,1,2,M,4
78,1,8,4,M,5
78,2,9,9,M,4
79,1,2,5,M,5
79,2,1,4,M,4
80,1,5,9,M,5
80,2,8,1,M,4
81,1,2,9,M,5
81,2,1,8,M,4
82,1,2,3,M,5
82,2,6,4,M,4
83,1,4,9,M,5
83,2,3,4,M,4
84,1,1,5,H,4
84,2,5,1,M,4
85,1,5,2,M,4
85,2,9,6,M,4
86,1,3,6,M,4
86,2,0,7,M,4
87,1,7,4,M,4
87,2,2,8,M,4
88,1,8,5,H,3
88,2,8,2,M,4
89,1,8,1,M,3
89,2,7,3,M,4
90,1,0,5,M,3
90,2,4,8,M,4
91,1,7,1,M,3
91,2,8,7,M,4
92,1,6,6,H,2
92,2,2,5,H,3
93,1,2,6,M,2
93,2,9,2,M,3
94,1,2,7,M,2
94,2,4,5,H,2
95,1,9,6,M,2
95,2,5,8,M,2
96,1,2,4,M,2
96,2,9,4,M,2
97,1,4,0,M,2
97,2,7,7,H,1
98,1,4,1,H,1
98,2,3,7,H,0
99,1,4,3,M,1
99,2,2,6,M,0
100,1,5,1,H,0
100,2,4,4,M,0
