Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,6,2,H,16
1,2,0,5,M,17
2,1,7,1,M,16
2,2,5,1,M,17
3,1,5,4,M,16
3,2,3,6,M,17
4,1,0,6,M,16
4,2,9,3,M,17
5,1,5,7,M,16
5,2,8,2,M,17
6,1,5,8,M,16
6,2,3,1,M,17
7,1,1,4,M,16
7,2,3,3,M,17
8,1,5,1,M,16
8,2,3,5,M,17
9,1,6,7,H,15
9,2,1,8,M,17
10,1,2,5,H,14
10,2,2,3,M,17
11,1,6,8,H,13
11,2,7,8,M,17
12,1,0,9,M,13
12,2,5,2,H,16
13,1,2,6,M,13
13,2,8,4,M,16
14,1,6,5,H,12
14,2,8,5,M,16
15,1,3,5,M,12
15,2,4,7,M,16
16,1,0,2,M,12
16,2,0,9,M,16
17,1,2,9,M,12
17,2,9,6,H,15
18,1,2,7,M,12
18,2,6,5,M,15
19,1,3,7,M,12
19,2,9,0,M,15
20,1,6,9,M,12
20,2,4,9,H,14
21,1,8,1,M,12
21,2,3,8,M,14
22,1,4,0,M,12
22,2,6,2,M,14
23,1,0,0,M,12
23,2,1,6,M,14
24,1,8,2,M,12
24,2,2,5,M,14
25,1,4,8,H,11
25,2,1,1,M,14
26,1,4,4,H,10
26,2,7,6,M,14
27,1,6,4,H,9
27,2,3,2,H,13
28,1,2,3,M,9
28,2,1,9,H,12
29,1,9,8,M,9
29,2,2,1,M,12
30,1,9,6,M,9
30,2,0,1,H,11
31,1,0,8,M,9
31,2,4,1,M,11
32,1,3,0,M,9
32,2,4,6,M,11
33,1,3,3,M,9
33,2,8,8,M,11
34,1,7,4,M,9
34,2,9,4,M,11
35,1,9,9,M,9
35,2,0,0,H,10
36,1,2,1,M,9
36,2,5,8,M,10
37,1,6,1,H,8
37,2,3,0,M,10
38,1,7,8,M,8
38,2,8,7,M,10
39,1,4,5,M,8
39,2,7,5,M,10
40,1,9,2,M,8
40,2,6,9,H,9
41,1,3,2,M,8
41,2,0,3,H,8
42,1,3,8,H,7
42,2,7,4,M,8
43,1,6,6,H,6
43,2,2,2,M,8
44,1,8,0,M,6
44,2,6,6,M,8
45,1,9,5,M,6
45,2,7,3,M,8
46,1,1,3,M,6
46,2,3,4,M,8
47,1,9,7,M,6
47,2,4,2,H,7
48,1,0,4,M,6
48,2,1,3,M,7
49,1,2,8,H,5
49,2,7,1,M,7
50,1,3,9,M,5
50,2,4,3,M,7
51,1,8,4,M,5
51,2,2,4,M,7
52,1,8,9,M,5
52,2,8,1,M,7
53,1,1,9,M,5
53,2,1,4,M,7
54,1,3,6,M,5
54,2,8,6,M,7
55,1,7,2,M,5
55,2,8,3,M,7
56,1,1,2,M,5
56,2,2,6,M,7
57,1,7,3,M,5
57,2,8,0,M,7
58,1,2,4,M,5
58,2,0,8,M,7
59,1,1,6,M,5
59,2,6,0,M,7
60,1,9,1,M,5
60,2,7,0,M,7
61,1,3,4,M,5
61,2,9,9,M,7
62,1,2,2,M,5
62,2,3,9,M,7
63,1,4,2,H,4
63,2,5,5,M,7
64,1,5,0,M,4
64,2,6,8,M,7
65,1,4,9,M,4
65,2,2,0,M,7
66,1,4,3,H,3
66,2,5,6,M,7
67,1,4,1,M,3
67,2,1,5,M,7
68,1,8,6,M,3
68,2,6,4,M,7
69,1,4,6,M,3
69,2,0,7,M,7
70,1,8,8,M,3
70,2,9,1,M,7
71,1,5,5,M,3
71,2,0,6,M,7
72,1,5,3,M,3
72,2,7,2,M,7
73,1,5,2,M,3
73,2,6,1,M,7
74,1,8,7,M,3
74,2,9,8,H,6
75,1,7,9,M,3
75,2,6,7,M,6
76,1,3,1,M,3
76,2,0,4,H,5
77,1,7,6,M,3
77,2,9,7,H,4
78,1,9,3,M,3
78,2,9,2,M,4
79,1,9,4,M,3
79,2,1,7,M,4
80,1,5,6,M,3
80,2,5,7,M,4
81,1,1,0,M,3
81,2,5,0,M,4
82,1,6,0,M,3
82,2,5,9,H,3
83,1,0,1,M,3
83,2,5,4,M,3
84,1,1,7,M,3
84,2,1,2,M,3
85,1,1,5,H,2
85,2,6,3,M,3
86,1,1,8,H,1
86,2,4,0,M,3
87,1,5,9,M,1
87,2,7,9,H,2
88,1,4,7,M,1
88,2,0,2,H,1
89,1,7,0,M,1
89,2,4,8,M,1
90,1,9,0,M,1
90,2,9,5,M,1
91,1,8,5,M,1
91,2,7,7,M,1
92,1,7,7,M,1
92,2,4,5,M,1
93,1,0,7,M,1
93,2,2,9,H,0
94,1,6,3,H,0
94,2,2,7,M,0
