Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,3,0,M,17
1,2,8,5,M,17
2,1,8,6,M,17
2,2,6,5,H,16
3,1,2,7,M,17
3,2,9,1,M,16
4,1,4,9,M,17
4,2,2,0,M,16
5,1,7,5,M,17
5,2,7,8,M,16
6,1,0,9,M,17
6,2,7,0,M,16
7,1,3,3,M,17
7,2,0,0,M,16
8,1,7,2,M,17
8,2,1,2,M,16
9,1,6,7,M,17
9,2,5,8,M,16
10,1,2,6,M,17
10,2,2,1,M,16
11,1,2,3,M,17
11,2,6,7,M,16
12,1,5,0,M,17
12,2,7,4,M,16
13,1,4,0,M,17
13,2,7,1,M,16
14,1,5,1,H,16
14,2,9,2,H,15
15,1,1,5,M,16
15,2,2,2,M,15
16,1,2,0,M,16
16,2,0,4,M,15
17,1,7,0,M,16
17,2,0,8,M,15
18,1,6,6,H,15
18,2,3,3,M,15
19,1,4,1,H,14
19,2,1,6,H,14
20,1,5,7,M,14
20,2,5,4,M,14
21,1,0,4,M,14
21,2,0,2,M,14
22,1,3,9,M,14
22,2,1,7,H,13
23,1,5,8,M,14
23,2,8,9,M,13
24,1,1,9,M,14
24,2,1,1,M,13
25,1,2,2,M,14
25,2,9,3,H,12
26,1,8,5,M,14
26,2,7,3,M,12
27,1,4,7,M,14
27,2,7,2,M,12
28,1,6,1,H,13
28,2,4,0,M,12
29,1,6,3,H,12
29,2,5,2,M,12
30,1,1,3,M,12
30,2,3,6,H,11
31,1,0,8,M,12
31,2,4,2,M,11
32,1,9,4,M,12
32,2,5,3,M,11
33,1,0,5,M,12
33,2,8,0,M,11
34,1,1,4,M,12
34,2,5,0,M,11
35,1,3,8,M,12
35,2,4,9,M,11
36,1,8,8,M,12
36,2,4,3,M,11
37,1,1,6,M,12
37,2,4,6,M,11
38,1,8,0,M,12
38,2,6,3,M,11
39,1,7,4,H,11
39,2,7,9,M,11
40,1,0,3,M,11
40,2,9,8,M,11
41,1,2,9,M,11
41,2,8,8,M,11
42,1,3,4,M,11
42,2,4,7,M,11
43,1,8,4,H,10
43,2,0,7,M,11
44,1,5,3,M,10
44,2,2,4,H,10
45,1,5,9,M,10
45,2,8,3,M,10
46,1,6,0,M,10
46,2,7,6,M,10
47,1,0,1,M,10
47,2,0,5,M,10
48,1,9,9,M,10
48,2,6,9,M,10
49,1,8,1,M,10
49,2,9,0,M,10
50,1,7,6,M,10
50,2,6,2,M,10
51,1,0,6,M,10
51,2,5,9,M,10
52,1,7,1,H,9
52,2,4,5,M,10
53,1,0,2,M,9
53,2,8,7,M,10
54,1,9,1,M,9
54,2,0,3,M,10
55,1,9,8,M,9
55,2,9,5,M,10
56,1,3,5,H,8
56,2,9,7,M,10
57,1,2,8,M,8
57,2,8,2,M,10
58,1,7,8,M,8
58,2,7,7,M,10
59,1,9,5,M,8
59,2,1,3,M,10
60,1,9,3,M,8
60,2,1,9,H,9
61,1,5,4,M,8
61,2,9,4,H,8
62,1,9,0,M,8
62,2,8,1,M,8
63,1,3,1,H,7
63,2,2,3,M,8
64,1,1,2,M,7
64,2,2,9,M,8
65,1,4,2,M,7
65,2,6,0,M,8
66,1,6,2,H,6
66,2,7,5,M,8
67,1,7,3,M,6
67,2,9,6,M,8
68,1,0,0,M,6
68,2,4,1,M,8
69,1,1,1,M,6
69,2,6,8,M,8
70,1,6,5,H,5
70,2,0,1,M,8
71,1,3,7,M,5
71,2,2,6,H,7
72,1,2,5,M,5
72,2,1,4,M,7
73,1,5,6,H,4
73,2,0,6,M,7
74,1,9,2,M,4
74,2,4,8,M,7
75,1,8,2,M,4
75,2,3,7,M,7
76,1,8,9,M,4
76,2,6,1,M,7
77,1,4,4,M,4
77,2,9,9,M,7
78,1,2,1,M,4
78,2,2,7,H,6
79,1,7,9,M,4
79,2,1,0,M,6
80,1,5,5,H,3
80,2,5,1,M,6
81,1,4,3,M,3
81,2,1,5,H,5
82,1,2,4,M,3
82,2,6,6,M,5
83,1,0,7,M,3
83,2,3,0,M,5
84,1,1,0,M,3
84,2,3,5,H,4
85,1,1,8,M,3
85,2,5,6,M,4
86,1,4,8,M,3
86,2,2,8,M,4
87,1,3,2,M,3
87,2,5,7,M,4
88,1,8,7,M,3
88,2,3,4,H,3
89,1,8,3,M,3
89,2,8,6,M,3
90,1,3,6,M,3
90,2,3,8,M,3
91,1,9,6,M,3
91,2,6,4,M,3
92,1,6,8,M,3
92,2,4,4,M,3
93,1,7,7,M,3
93,2,0,9,M,3
94,1,6,4,H,2
94,2,8,4,M,3
95,1,5,2,M,2
95,2,2,5,H,2
96,1,6,9,M,2
96,2,3,9,M,2
97,1,4,5,H,1
97,2,3,2,M,2
98,1,1,7,M,1
98,2,5,5,H,1
99,1,4,6,H,0
99,2,1,8,H,0
