Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,0,1,M,17
1,2,5,8,M,17
2,1,3,9,M,17
2,2,4,5,M,17
3,1,5,5,M,17
3,2,4,1,M,17
4,1,1,7,M,17
4,2,4,8,M,17
5,1,6,1,M,17
5,2,1,0,M,17
6,1,3,5,H,16
6,2,0,5,H,16
7,1,8,2,H,15
7,2,0,0,M,16
8,1,4,0,M,15
8,2,5,1,H,15
9,1,4,7,M,15
9,2,9,7,M,15
10,1,5,2,M,15
10,2,9,1,M,15
11,1,1,6,M,15
11,2,8,2,H,14
12,1,8,4,H,14
12,2,4,4,M,14
13,1,9,8,M,14
13,2,7,0,M,14
14,1,9,7,M,14
14,2,2,3,H,13
15,1,5,8,M,14
15,2,6,9,M,13
16,1,9,6,M,14
16,2,5,7,M,13
17,1,2,6,M,14
17,2,3,9,M,13
18,1,5,3,M,14
18,2,0,4,H,12
19,1,8,1,M,14
19,2,8,7,M,12
20,1,7,6,M,14
20,2,1,1,M,12
21,1,4,6,M,14
21,2,7,4,M,12
22,1,9,1,M,14
22,2,3,5,M,12
23,1,0,4,M,14
23,2,5,0,M,12
24,1,2,7,M,14
24,2,3,0,M,12
25,1,2,8,M,14
25,2,4,3,M,12
26,1,4,3,M,14
26,2,2,2,H,11
27,1,0,0,M,14
27,2,5,4,M,11
28,1,2,9,M,14
28,2,7,5,M,11
29,1,7,9,M,14
29,2,7,2,H,10
30,1,4,9,M,14
30,2,9,9,M,10
31,1,1,1,M,14
31,2,3,7,M,10
32,1,8,8,H,13
32,2,3,8,M,10
33,1,8,9,M,13
33,2,1,4,M,10
34,1,1,0,M,13
34,2,4,2,M,10
35,1,8,6,M,13
35,2,2,1,M,10
36,1,6,2,M,13
36,2,4,6,M,10
37,1,3,0,M,13
37,2,0,7,M,10
38,1,9,5,H,12
38,2,0,8,M,10
39,1,7,5,H,11
39,2,2,7,M,10
40,1,0,5,M,11
40,2,8,5,M,10
41,1,5,9,M,11
41,2,6,5,M,10
42,1,0,9,M,11
42,2,9,0,M,10
43,1,2,5,M,11
43,2,0,3,M,10
44,1,6,3,M,11
44,2,2,6,H,9
45,1,4,4,H,10
45,2,4,9,M,9
46,1,7,8,M,10
46,2,8,9,M,9
47,1,2,4,M,10
47,2,8,6,M,9
48,1,9,3,M,10
48,2,1,6,M,9
49,1,3,7,H,9
49,2,7,6,M,9
50,1,7,1,M,9
50,2,8,0,M,9
51,1,3,2,M,9
51,2,8,4,H,8
52,1,2,1,M,9
52,2,2,9,M,8
53,1,9,0,M,9
53,2,1,9,M,8
54,1,1,9,M,9
54,2,8,3,H,7
55,1,1,5,M,9
55,2,0,2,M,7
56,1,5,7,M,9
56,2,4,7,M,7
57,1,6,5,H,8
57,2,8,1,M,7
58,1,2,2,M,8
58,2,5,5,M,7
59,1,4,5,M,8
59,2,1,3,M,7
60,1,0,7,M,8
60,2,6,4,M,7
61,1,4,1,M,8
61,2,5,9,M,7
62,1,3,8,M,8
62,2,9,5,M,7
63,1,1,8,M,8
63,2,9,6,M,7
64,1,6,6,M,8
64,2,2,8,M,7
65,1,7,7,M,8
65,2,9,4,M,7
66,1,3,1,M,8
66,2,0,9,M,7
67,1,0,2,M,8
67,2,6,2,H,6
68,1,8,5,H,7
68,2,9,2,M,6
69,1,9,9,M,7
69,2,5,3,M,6
70,1,6,7,M,7
70,2,4,0,M,6
71,1,5,4,H,6
71,2,6,6,M,6
72,1,8,0,M,6
72,2,6,0,M,6
73,1,6,8,M,6
73,2,7,1,H,5
74,1,7,4,M,6
74,2,1,7,M,5
75,1,0,8,M,6
75,2,6,3,M,5
76,1,2,0,M,6
76,2,1,8,M,5
77,1,7,3,M,6
77,2,7,3,M,5
78,1,2,3,M,6
78,2,0,1,M,5
79,1,1,4,M,6
79,2,2,5,H,4
80,1,6,0,M,6
80,2,9,8,M,4
81,1,9,2,M,6
81,2,6,7,M,4
82,1,0,3,M,6
82,2,5,2,H,3
83,1,9,4,M,6
83,2,0,6,H,2
84,1,3,3,H,5
84,2,3,2,M,2
85,1,5,0,M,5
85,2,2,0,M,2
86,1,7,2,M,5
86,2,5,6,M,2
87,1,1,3,M,5
87,2,9,3,M,2
88,1,8,3,H,4
88,2,8,8,M,2
89,1,6,4,H,3
89,2,7,9,M,2
90,1,5,1,M,3
90,2,6,1,H,1
91,1,0,6,M,3
91,2,7,7,M,1
92,1,4,8,M,3
92,2,2,4,H,0
93,1,4,2,M,3
93,2,3,6,M,0
94,1,6,9,M,3
94,2,1,5,M,0
95,1,3,4,H,2
95,2,3,1,M,0
96,1,5,6,M,2
96,2,3,3,M,0
97,1,7,0,M,2
97,2,3,4,M,0
98,1,1,2,M,2
98,2,1,2,M,0
99,1,8,7,H,1
99,2,7,8,M,0
100,1,3,6,H,0
100,2,6,8,M,0
