Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,3,1,M,17
1,2,5,3,M,17
2,1,2,3,M,17
2,2,7,1,M,17
3,1,6,7,M,17
3,2,8,9,M,17
4,1,6,4,H,16
4,2,6,7,M,17
5,1,1,5,M,16
5,2,6,0,H,16
6,1,0,4,H,15
6,2,6,2,M,16
7,1,5,3,H,14
7,2,3,8,M,16
8,1,0,7,M,14
8,2,7,5,M,16
9,1,6,0,M,14
9,2,2,0,M,16
10,1,1,1,M,14
10,2,0,8,M,16
11,1,0,3,H,13
11,2,0,3,M,16
12,1,1,7,M,13
12,2,7,3,M,16
13,1,8,0,M,13
13,2,3,1,H,15
14,1,2,7,M,13
14,2,6,8,M,15
15,1,2,0,H,12
15,2,7,4,M,15
16,1,7,7,M,12
16,2,9,6,H,14
17,1,9,9,M,12
17,2,2,3,M,14
18,1,9,4,M,12
18,2,6,1,M,14
19,1,3,9,M,12
19,2,2,6,M,14
20,1,2,1,M,12
20,2,3,4,M,14
21,1,4,1,M,12
21,2,4,2,M,14
22,1,4,2,H,11
22,2,9,4,M,14
23,1,9,6,M,11
23,2,9,5,M,14
24,1,0,0,H,10
24,2,6,6,M,14
25,1,7,9,M,10
25,2,3,0,M,14
26,1,6,1,M,10
26,2,1,1,M,14
27,1,1,2,M,10
27,2,4,5,H,13
28,1,8,7,M,10
28,2,4,7,M,13
29,1,2,8,M,10
29,2,2,1,H,12
30,1,3,7,M,10
30,2,0,7,M,12
31,1,6,6,M,10
31,2,7,7,M,12
32,1,3,6,M,10
32,2,9,2,M,12
33,1,9,7,M,10
33,2,4,1,M,12
34,1,8,2,M,10
34,2,1,8,M,12
35,1,1,3,M,10
35,2,5,1,M,12
36,1,7,8,M,10
36,2,8,8,M,12
37,1,9,5,M,10
37,2,4,4,M,12
38,1,4,4,H,9
38,2,8,6,M,12
39,1,0,8,M,9
39,2,2,2,M,12
40,1,0,2,M,9
40,2,1,9,M,12
41,1,2,9,M,9
41,2,9,8,H,11
42,1,6,2,M,9
42,2,8,7,M,11
43,1,7,0,M,9
43,2,4,6,M,11
44,1,4,0,M,9
44,2,5,6,M,11
45,1,9,8,M,9
45,2,3,6,M,11
46,1,8,5,M,9
46,2,2,7,M,11
47,1,3,5,M,9
47,2,6,9,H,10
48,1,8,1,M,9
48,2,7,6,M,10
49,1,4,3,H,8
49,2,7,9,M,10
50,1,5,8,M,8
50,2,0,6,M,10
51,1,2,4,M,8
51,2,6,5,H,9
52,1,9,1,M,8
52,2,3,9,H,8
53,1,3,4,M,8
53,2,1,7,M,8
54,1,7,3,M,8
54,2,8,4,M,8
55,1,2,6,M,8
55,2,3,7,M,8
56,1,1,9,M,8
56,2,1,3,M,8
57,1,6,9,M,8
57,2,8,5,M,8
58,1,9,0,M,8
58,2,5,2,M,8
59,1,5,2,M,8
59,2,5,8,M,8
60,1,5,4,H,7
60,2,9,3,M,8
61,1,3,0,M,7
61,2,2,8,M,8
62,1,6,5,H,6
62,2,1,0,M,8
63,1,0,9,M,6
63,2,8,3,M,8
64,1,5,9,M,6
64,2,4,0,M,8
65,1,0,5,H,5
65,2,6,3,M,8
66,1,9,2,M,5
66,2,2,4,M,8
67,1,5,6,M,5
67,2,9,9,M,8
68,1,8,4,M,5
68,2,5,0,H,7
69,1,4,6,H,4
69,2,1,5,M,7
70,1,1,8,M,4
70,2,7,8,M,7
71,1,1,6,M,4
71,2,2,5,M,7
72,1,1,4,M,4
72,2,9,0,M,7
73,1,4,9,M,4
73,2,0,1,M,7
74,1,5,5,M,4
74,2,1,2,M,7
75,1,7,4,M,4
75,2,5,7,M,7
76,1,7,5,M,4
76,2,7,0,H,6
77,1,5,1,M,4
77,2,3,5,M,6
78,1,0,6,H,3
78,2,0,5,M,6
79,1,7,1,M,3
79,2,1,6,M,6
80,1,2,5,M,3
80,2,5,4,M,6
81,1,8,3,M,3
81,2,4,9,H,5
82,1,4,5,H,2
82,2,8,0,H,4
83,1,3,2,M,2
83,2,8,2,M,4
84,1,4,8,M,2
84,2,1,4,M,4
85,1,6,8,M,2
85,2,2,9,H,3
86,1,2,2,M,2
86,2,3,3,M,3
87,1,7,6,M,2
87,2,5,9,H,2
88,1,0,1,M,2
88,2,0,4,M,2
89,1,8,8,M,2
89,2,7,2,M,2
90,1,6,3,H,1
90,2,0,0,M,2
91,1,7,2,M,1
91,2,9,7,H,1
92,1,5,7,M,1
92,2,4,3,M,1
93,1,4,7,M,1
93,2,8,1,M,1
94,1,8,6,M,1
94,2,5,5,H,0
95,1,5,0,M,1
95,2,0,9,M,0
96,1,9,3,M,1
96,2,0,2,M,0
97,1,3,3,M,1
97,2,9,1,M,0
98,1,1,0,H,0
98,2,4,8,M,0
