Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,3,1,M,17
1,2,2,2,M,17
2,1,4,6,M,17
2,2,4,3,M,17
3,1,7,6,M,17
3,2,2,0,M,17
4,1,5,5,M,17
4,2,4,6,H,16
5,1,3,9,M,17
5,2,2,4,M,16
6,1,4,5,M,17
6,2,6,0,M,16
7,1,2,1,M,17
7,2,6,5,M,16
8,1,2,8,M,17
8,2,3,6,H,15
9,1,4,4,M,17
9,2,8,5,M,15
10,1,5,0,M,17
10,2,0,3,H,14
11,1,3,3,H,16
11,2,3,8,M,14
12,1,8,4,M,16
12,2,1,6,M,14
13,1,5,3,H,15
13,2,5,7,M,14
14,1,8,9,M,15
14,2,9,6,M,14
15,1,9,4,M,15
15,2,2,6,H,13
16,1,0,5,M,15
16,2,6,6,M,13
17,1,7,3,M,15
17,2,6,7,M,13
18,1,6,7,H,14
18,2,6,4,M,13
19,1,6,6,M,14
19,2,4,7,M,13
20,1,0,8,M,14
20,2,5,3,H,12
21,1,9,5,M,14
21,2,1,0,M,12
22,1,6,1,M,14
22,2,8,7,M,12
23,1,1,6,M,14
23,2,7,7,M,12
24,1,2,5,M,14
24,2,6,9,M,12
25,1,4,2,H,13
25,2,7,0,M,12
26,1,0,1,M,13
26,2,9,5,H,11
27,1,0,7,H,12
27,2,0,7,M,11
28,1,0,3,M,12
28,2,8,8,M,11
29,1,5,8,M,12
29,2,4,1,M,11
30,1,2,9,M,12
30,2,9,0,M,11
31,1,6,0,M,12
31,2,7,1,M,11
32,1,0,2,M,12
32,2,9,1,M,11
33,1,7,0,M,12
33,2,4,8,M,11
34,1,9,3,M,12
34,2,0,2,H,10
35,1,3,7,H,11
35,2,9,3,M,10
36,1,3,4,M,11
36,2,8,0,M,10
37,1,5,6,M,11
37,2,2,7,M,10
38,1,3,6,H,10
38,2,7,8,M,10
39,1,2,6,M,10
39,2,5,2,H,9
40,1,9,8,M,10
40,2,3,7,M,9
41,1,8,0,M,10
41,2,2,1,M,9
42,1,5,4,M,10
42,2,1,3,M,9
43,1,4,9,M,10
43,2,1,8,M,9
44,1,6,5,M,10
44,2,6,1,M,9
45,1,7,8,M,10
45,2,0,4,M,9
46,1,5,7,M,10
46,2,7,6,M,9
47,1,7,5,M,10
47,2,9,7,M,9
48,1,3,0,M,10
48,2,5,1,H,8
49,1,2,4,M,10
49,2,7,2,M,8
50,1,9,6,M,10
50,2,4,4,M,8
51,1,5,1,M,10
51,2,3,9,M,8
52,1,8,1,M,10
52,2,4,2,M,8
53,1,8,3,M,10
53,2,5,6,M,8
54,1,1,1,M,10
54,2,2,3,M,8
55,1,7,4,M,10
55,2,4,0,M,8
56,1,9,9,M,10
56,2,1,5,H,7
57,1,9,7,M,10
57,2,8,4,M,7
58,1,3,5,H,9
58,2,9,9,M,7
59,1,2,2,H,8
59,2,7,3,M,7
60,1,1,7,H,7
60,2,2,5,H,6
61,1,0,9,M,7
61,2,8,3,M,6
62,1,1,0,M,7
62,2,3,0,M,6
63,1,1,8,M,7
63,2,7,5,M,6
64,1,0,6,M,7
64,2,1,4,M,6
65,1,8,8,M,7
65,2,0,5,M,6
66,1,1,4,M,7
66,2,5,5,H,5
67,1,8,7,M,7
67,2,9,2,M,5
68,1,9,1,M,7
68,2,0,1,H,4
69,1,6,8,H,6
69,2,8,2,M,4
70,1,6,3,M,6
70,2,2,9,M,4
71,1,7,1,M,6
71,2,6,8,M,4
72,1,4,0,M,6
72,2,4,5,M,4
73,1,1,9,M,6
73,2,5,8,M,4
74,1,6,4,M,6
74,2,8,9,M,4
75,1,4,7,M,6
75,2,3,4,M,4
76,1,1,5,M,6
76,2,3,2,M,4
77,1,9,0,M,6
77,2,9,4,H,3
78,1,3,2,H,5
78,2,8,1,M,3
79,1,4,8,M,5
79,2,0,8,M,3
80,1,9,2,M,5
80,2,4,9,M,3
81,1,8,5,M,5
81,2,0,6,M,3
82,1,0,0,M,5
82,2,1,7,M,3
83,1,3,8,H,4
83,2,3,1,M,3
84,1,2,7,M,4
84,2,5,0,M,3
85,1,8,2,M,4
85,2,7,9,M,3
86,1,0,4,M,4
86,2,5,9,M,3
87,1,7,2,M,4
87,2,2,8,M,3
88,1,2,0,M,4
88,2,9,8,M,3
89,1,1,2,M,4
89,2,1,9,M,3
90,1,8,6,M,4
90,2,7,4,M,3
91,1,2,3,M,4
91,2,3,3,M,3
92,1,4,1,M,4
92,2,0,9,M,3
93,1,4,3,H,3
93,2,8,6,M,3
94,1,1,3,M,3
94,2,1,1,M,3
95,1,5,2,H,2
95,2,6,2,M,3
96,1,5,9,M,2
96,2,0,0,H,2
97,1,7,7,M,2
97,2,3,5,H,1
98,1,6,9,H,1
98,2,1,2,M,1
99,1,7,9,M,1
99,2,6,3,M,1
100,1,6,2,H,0
100,2,5,4,H,0
